DateTime	Duration	API0221_MCU_FAILURE_FLAGS	API0221_MCU_EVENT	API0221_FBK_ACTUAL_SPEED	API0221_FBK_BUS_VOLTAGE	API0221_FBK_INSTANT_LOAD_TORQUE_X10	API0221_FBK_SHAFT_POWER_FILT_10HZ_X10	API221_CMD_Target_Speed	API221_CMD_Target_Acceleration	API221_CMD_T_On	API221_CMD_T_Off
06/11/2018 12:39:02.2310	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	0	950	0	0
06/11/2018 12:39:02.3110	0.0800	NaN	NaN	1.0	320.0	0.0	0.0	0	950	0	0
06/11/2018 12:39:03.3310	1.1000	NaN	NaN	-2.0	320.0	0.0	0.0	0	950	0	0
06/11/2018 12:39:04.2490	2.0180	NaN	NaN	-2.0	318.0	0.0	0.0	0	950	0	0
06/11/2018 12:39:05.2860	3.0550	NaN	NaN	0.0	320.0	0.0	0.0	0	950	0	0
06/11/2018 12:39:06.3060	4.0750	NaN	NaN	-2.0	319.0	0.0	0.0	0	950	0	0
06/11/2018 12:39:07.3120	5.0810	NaN	NaN	-5.0	319.0	0.0	0.0	0	950	0	0
06/11/2018 12:39:08.3180	6.0870	NaN	NaN	-4.0	319.0	0.0	0.0	0	950	0	0
06/11/2018 12:39:09.3200	7.0890	NaN	NaN	-2.0	319.0	0.0	0.0	0	950	0	0
06/11/2018 12:39:10.3050	8.0740	NaN	NaN	-3.0	320.0	0.0	0.0	0	950	0	0
06/11/2018 12:39:11.3320	9.1010	NaN	NaN	-2.0	320.0	0.0	0.0	0	950	0	0
06/11/2018 12:39:12.3320	10.1010	NaN	NaN	-2.0	320.0	0.0	0.0	0	950	0	0
06/11/2018 12:39:12.4320	10.2010	NaN	NaN	-2.0	320.0	0.0	0.0	-2755	902	0	0
06/11/2018 12:39:13.3280	11.0970	NaN	NaN	-676.0	315.0	29.0	300.0	-2755	902	0	0
06/11/2018 12:39:14.3540	12.1230	NaN	NaN	-1435.0	311.0	39.0	710.0	-2755	902	0	0
06/11/2018 12:39:15.2570	13.0260	NaN	NaN	-2127.0	307.0	47.0	1250.0	-2755	902	0	0
06/11/2018 12:39:15.5510	13.3200	0.0	NaN	-2127.0	307.0	47.0	1250.0	-2755	902	0	0
06/11/2018 12:39:16.2560	14.0250	0.0	NaN	-2792.0	304.0	45.0	1560.0	-2755	902	0	0
06/11/2018 12:39:16.4610	14.2300	0.0	NaN	-2792.0	304.0	45.0	1560.0	0	950	0	0
06/11/2018 12:39:17.2790	15.0480	0.0	NaN	-2283.0	311.0	24.0	700.0	0	950	0	0
06/11/2018 12:39:18.3060	16.0750	0.0	NaN	-1576.0	315.0	16.0	320.0	0	950	0	0
06/11/2018 12:39:18.4100	16.1790	0.0	NaN	-1576.0	315.0	16.0	320.0	2755	902	0	0
06/11/2018 12:39:19.2970	17.0660	0.0	NaN	-848.0	317.0	12.0	120.0	2755	902	0	0
06/11/2018 12:39:20.3020	18.0710	0.0	NaN	-157.0	320.0	0.0	0.0	2755	902	0	0
06/11/2018 12:39:20.5230	18.2920	0.0	NaN	-157.0	320.0	0.0	0.0	2755	902	0	0
06/11/2018 12:39:21.3190	19.0880	0.0	NaN	844.0	314.0	32.0	390.0	2755	902	0	0
06/11/2018 12:39:22.3130	20.0820	0.0	NaN	1575.0	311.0	36.0	740.0	2755	902	0	0
06/11/2018 12:39:23.3100	21.0790	0.0	NaN	2284.0	303.0	36.0	1030.0	2755	902	0	0
06/11/2018 12:39:23.3260	21.0950	0.0	NaN	2284.0	303.0	36.0	1030.0	0	950	0	0
06/11/2018 12:39:24.3260	22.0950	0.0	NaN	1811.0	314.0	14.0	290.0	0	950	0	0
06/11/2018 12:39:25.3250	23.0940	0.0	NaN	1102.0	316.0	10.0	140.0	0	950	0	0
06/11/2018 12:39:25.5440	23.3130	0.0	NaN	1102.0	316.0	10.0	140.0	0	950	0	0
06/11/2018 12:39:26.2450	24.0140	0.0	NaN	406.0	317.0	8.0	30.0	0	950	0	0
06/11/2018 12:39:27.3340	25.1030	0.0	NaN	-3.0	318.0	0.0	0.0	0	950	0	0
06/11/2018 12:39:28.2440	26.0130	0.0	NaN	-4.0	319.0	0.0	0.0	0	950	0	0
06/11/2018 12:39:29.2490	27.0180	0.0	NaN	0.0	319.0	0.0	0.0	0	950	0	0
