Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	motor_temperature_2	motor_temperature_3	temperature_tamb	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	Mcl_Quantities.Stator_Resistance	My_Measured_Temp	SR_Motor_Fault	BD_Select_Method	BD_Manual_Method	BD_Level_x32	BD_Level_Rate_x32	BD_Param_x32	BD_Param_Rate_x32	BD_Reset	SR_SquaredCurrentRmsA	SR_SquaredCurrentRmsB	SR_SquaredCurrentRmsC
0.5285	0.0000	-0.0410	0.0065	0.0000	0.0000	-0.0200	230.5710	0.0000	1.3300	0.0000	0.0000	0.0000	0.0000	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.0642	0.0000	-0.0410	0.0065	0.0000	0.0000	-0.0200	230.5730	0.0000	1.3300	40.8617	40.4670	41.1118	26.9129	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.5962	0.0000	-0.0410	0.0065	0.0000	0.0000	-0.0200	230.5720	0.0000	1.3300	40.8508	40.4321	41.1192	26.9317	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.1634	0.0000	-0.0410	0.0065	0.0000	0.0000	-0.0200	230.5730	0.0000	1.3400	40.8654	40.4384	41.1154	26.9377	NOT CONNECTED	5000.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0371	0.6250	-0.3849	0.4920	-0.5447	0.0000	0.0000	320.5773	0.0000	74.2333	0.7340	0.0050	45.5752	3.4667	30.0000	0.0000	1.0000	3.0000	190.0000	190.0000	96.0000	96.0000	255.0000	0.0000	0.0000	0.0000
2.3903	0.0000	-0.0410	0.0065	0.0000	0.0000	-0.0200	230.5730	0.0000	1.3400	40.8654	40.4384	41.1154	26.9377	NOT CONNECTED	5000.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0371	0.6250	-0.3849	0.4920	-0.5447	0.0000	0.0000	320.5773	0.0000	74.2333	0.7340	0.0050	45.5752	3.4667	30.0000	0.0000	1.0000	3.0000	190.0000	190.0000	96.0000	96.0000	255.0000	0.0000	0.0000	0.0000
2.8308	0.0000	-0.0410	0.0065	0.0000	0.0000	-0.0200	230.5730	0.0000	1.3200	40.8494	40.4399	41.1076	26.9585	NOT CONNECTED	5000.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0371	0.6250	-0.3849	0.4920	-0.5447	0.0000	0.0000	320.5611	0.0000	74.2300	0.7340	0.0053	45.5704	3.4666	30.0000	0.0000	1.0000	3.0000	190.0000	190.0000	96.0000	96.0000	255.0000	0.0000	0.0000	0.0000
2.9243	0.0000	-0.0410	0.0065	0.0000	0.0000	-0.0200	230.5730	0.0000	1.3200	40.8494	40.4399	41.1076	26.9585	NOT CONNECTED	5000.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0371	0.6250	-0.3849	0.4920	-0.5447	0.0000	0.0000	320.5611	0.0000	74.2300	0.7340	0.0053	45.5704	3.4666	30.0000	0.0000	1.0000	3.0000	190.0000	190.0000	96.0000	96.0000	255.0000	0.0000	0.0000	0.0000
3.4552	0.0000	-0.0410	0.0065	0.0000	0.0000	-0.0200	230.5730	0.0000	1.3400	40.8494	40.4281	41.1143	26.9550	NOT CONNECTED	5000.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0371	0.6250	-0.3849	0.4920	-0.5447	0.0000	0.0000	320.5678	0.0000	74.2267	0.7340	0.0052	45.5657	3.4666	30.0000	0.0000	1.0000	3.0000	190.0000	190.0000	96.0000	96.0000	255.0000	0.0000	0.0000	0.0000
3.4988	0.0000	-0.0410	0.0065	0.0000	0.0000	-0.0200	230.5730	0.0000	1.3400	40.8494	40.4281	41.1143	26.9550	NOT CONNECTED	5000.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0371	0.6250	-0.3849	0.4920	-0.5447	0.0000	0.0000	320.5678	0.0000	74.2267	0.7340	0.0052	45.5657	3.4666	30.0000	0.0000	1.0000	3.0000	190.0000	190.0000	96.0000	96.0000	255.0000	0.0000	0.0000	0.0000
3.9867	0.0000	-0.0410	0.0065	0.0000	0.0000	-0.0200	230.5720	0.0000	1.3300	40.8484	40.4212	41.0878	26.9519	NOT CONNECTED	5000.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0371	0.6250	-0.3849	0.4920	-0.5447	0.0000	0.0000	320.5895	0.0000	74.2235	0.7340	0.0053	45.5657	3.4665	30.0000	0.0000	1.0000	3.0000	190.0000	190.0000	96.0000	96.0000	255.0000	0.0000	0.0000	0.0000
