Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	SR_SquaredCurrentRmsA	SR_SquaredCurrentRmsB	SR_SquaredCurrentRmsC
0.7376	0.0000	-0.0130	0.0058	0.0000	0.0000	-0.0200	230.7690	0.0306	2.0700	45.9648	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4663	0.0000	-0.0130	0.0058	0.0000	0.0000	-0.0200	230.7880	0.0306	2.0700	45.9458	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.2024	0.0000	-0.0130	0.0058	0.0000	0.0000	-0.0200	230.8250	0.0306	2.0700	45.9119	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.9365	0.0000	-0.0140	0.0214	0.0000	0.8950	-0.0100	230.8420	0.0363	2.3500	45.8862	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.6944	0.0000	-0.0140	0.0058	0.0000	0.0000	-0.0200	230.8750	0.0305	2.0600	45.8729	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.0200	0.0000	-0.0140	0.0058	0.0000	0.0000	-0.0200	230.8750	0.0305	2.0600	45.8729	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0366	-2.1099	0.0209	-2.1100	0.0079	0.0000	0.0000	321.4542	0.0000	74.9525	2.1100	0.0052	47.5452	0.0000	0.0000	0.0000
4.4350	0.0000	-0.0140	0.0058	0.0000	0.0000	-0.0200	230.8910	0.0304	2.0800	45.8450	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0366	-2.1099	0.0209	-2.1100	0.0079	0.0000	0.0000	321.0957	0.0000	74.9360	2.1100	0.0210	47.5356	0.0000	0.0000	0.0000
4.6450	0.0000	-0.0140	0.0058	0.0000	0.0000	-0.0200	230.8910	0.0304	2.0800	45.8450	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0366	-2.1099	0.0209	-2.1100	0.0079	0.0000	0.0000	321.0957	0.0000	74.9360	2.1100	0.0210	47.5356	0.0000	0.0000	0.0000
5.1829	0.0000	-0.0140	0.0058	0.0000	0.0000	-0.0200	230.9180	0.0304	2.0700	45.8075	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0366	-2.1099	0.0209	-2.1100	0.0079	0.0000	0.0000	321.5204	0.0000	74.9206	2.1100	0.0051	47.5356	0.0000	0.0000	0.0000
5.2490	0.0000	-0.0140	0.0058	0.0000	0.0000	-0.0200	230.9180	0.0304	2.0700	45.8075	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0366	-2.1099	0.0209	-2.1100	0.0079	0.0000	0.0000	321.5204	0.0000	74.9206	2.1100	0.0051	47.5356	0.0000	0.0000	0.0000
