Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7480	0.0000	-0.0140	0.0071	0.0000	0.0000	-0.0200	230.3890	0.0346	1.9700	60.0645	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4828	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3760	0.0346	1.9700	59.9992	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.8589	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3540	0.0346	1.9800	59.9151	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.4136	0.0000	68.4931	1.8523	0.0051	95.6805
2.2271	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3540	0.0346	1.9800	59.9151	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.4001	0.0000	68.1987	1.8523	0.0051	95.6805
2.4650	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3540	0.0346	1.9800	59.9151	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.4001	0.0000	68.1987	1.8523	0.0051	95.6805
2.9654	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3470	0.0346	1.9800	59.8314	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.3811	0.0000	67.9255	1.8523	0.0050	95.5386
3.0702	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3470	0.0346	1.9800	59.8314	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.3811	0.0000	67.9255	1.8523	0.0050	95.5386
3.6765	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3370	0.0345	1.9800	59.7840	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.3865	0.0000	67.6611	1.8523	0.0050	95.3974
3.7286	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3370	0.0345	1.9800	59.7840	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.3865	0.0000	67.6611	1.8523	0.0050	95.3974
4.2821	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3360	0.0345	1.9800	59.7064	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.3663	0.0000	67.4053	1.8523	0.0051	95.3974
4.4713	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3360	0.0345	1.9800	59.7064	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.3663	0.0000	67.4053	1.8523	0.0051	95.3974
4.8724	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3430	0.0344	1.9800	59.6382	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.3906	0.0000	67.1578	1.8523	0.0048	95.2569
5.2118	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3430	0.0344	1.9800	59.6382	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.3716	0.0000	66.9183	1.8523	0.0050	95.2569
5.4774	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3430	0.0344	1.9800	59.6382	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.3716	0.0000	66.9183	1.8523	0.0050	95.2569
5.9484	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3510	0.0342	1.9700	59.5742	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.3906	0.0000	66.6863	1.8523	0.0049	95.1170
6.0826	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3510	0.0342	1.9700	59.5742	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.3906	0.0000	66.6863	1.8523	0.0049	95.1170
6.6882	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3800	0.0341	1.9600	59.4730	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.4690	0.0000	66.4618	1.8523	0.0049	94.9778
6.7138	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3800	0.0341	1.9600	59.4730	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.4690	0.0000	66.4618	1.8523	0.0049	94.9778
7.2939	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3990	0.0341	1.9600	59.4330	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.4420	0.0000	66.2355	1.8523	0.0050	94.9778
7.4560	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.3990	0.0341	1.9600	59.4330	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.4420	0.0000	66.2355	1.8523	0.0050	94.9778
7.9155	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.4480	0.0340	1.9600	59.3763	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.5286	0.0000	66.0167	1.8523	0.0049	94.8393
8.2038	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.4480	0.0340	1.9600	59.3763	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.5286	0.0000	66.0167	1.8523	0.0049	94.8393
8.5212	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.4480	0.0340	1.9600	59.3763	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.5367	0.0000	65.8133	1.8523	0.0051	94.8393
8.9392	0.0000	-0.0110	0.0072	0.0000	0.0000	-0.0200	230.4750	0.0340	1.9700	59.3101	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.5867	0.0000	65.6163	1.8523	0.0048	94.7013
9.1267	0.0000	-0.0110	0.0072	0.0000	0.0000	-0.0200	230.4750	0.0340	1.9700	59.3101	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.5867	0.0000	65.6163	1.8523	0.0048	94.7013
9.7123	0.0000	-0.0110	0.0071	0.0000	0.0000	-0.0200	230.5030	0.0341	1.9800	59.2644	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0360	-1.7296	0.6630	-1.8289	0.2932	0.0000	0.0000	321.6300	0.0000	65.4254	1.8523	0.0048	94.5641
