Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7379	0.0000	-0.0130	0.0069	0.0000	0.0000	-0.0200	230.3880	0.0307	1.9800	74.4349	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4755	0.0000	-0.0130	0.0069	0.0000	0.0000	-0.0200	230.3790	0.0306	1.9800	74.2433	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.2094	0.0000	-0.0130	0.0244	0.0000	0.7750	-0.0100	230.3690	0.0373	2.3000	74.0474	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.9438	0.0000	-0.0130	0.0069	0.0000	0.0000	-0.0200	230.3720	0.0306	1.9900	73.8771	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.6941	0.0000	-0.0120	0.0069	0.0000	0.0000	-0.0200	230.3880	0.0306	1.9800	73.6924	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.0638	0.0000	-0.0140	0.0068	0.0000	0.0000	-0.0200	230.4030	0.0305	1.9800	73.5236	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0370	-1.7946	0.9691	-1.9963	0.4181	0.0000	0.0000	321.0362	0.0000	74.0790	2.0396	0.0046	115.9200
4.4307	0.0000	-0.0140	0.0068	0.0000	0.0000	-0.0200	230.4030	0.0305	1.9800	73.5236	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0370	-1.7946	0.9691	-1.9963	0.4181	0.0000	0.0000	321.0253	0.0000	73.9541	2.0396	0.0049	115.9200
4.6678	0.0000	-0.0140	0.0068	0.0000	0.0000	-0.0200	230.4030	0.0305	1.9800	73.5236	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0370	-1.7946	0.9691	-1.9963	0.4181	0.0000	0.0000	321.0253	0.0000	73.9541	2.0396	0.0049	115.9200
5.1946	0.0000	-0.0130	0.0068	0.0000	0.0000	-0.0200	230.4420	0.0302	1.9700	73.3083	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0370	-1.7946	0.9691	-1.9963	0.4181	0.0000	0.0000	321.0700	0.0000	73.8215	2.0396	0.0049	115.6669
5.2723	0.0000	-0.0130	0.0068	0.0000	0.0000	-0.0200	230.4420	0.0302	1.9700	73.3083	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0370	-1.7946	0.9691	-1.9963	0.4181	0.0000	0.0000	321.0700	0.0000	73.8215	2.0396	0.0049	115.6669
5.8626	0.0000	-0.0130	0.0068	0.0000	0.0000	-0.0200	230.4660	0.0302	1.9600	73.1364	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0370	-1.7946	0.9691	-1.9963	0.4181	0.0000	0.0000	321.0673	0.0000	73.6972	2.0396	0.0048	115.4154
5.9310	0.0000	-0.0130	0.0068	0.0000	0.0000	-0.0200	230.4660	0.0302	1.9600	73.1364	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0370	-1.7946	0.9691	-1.9963	0.4181	0.0000	0.0000	321.0673	0.0000	73.6972	2.0396	0.0048	115.4154
