WindyBPMp40_OrcaH24_Dyno_Low_Speed_Torque_YC_B3Y03_40C_20250403_100456
Report created on: 2025/04/03: 11:43:25


Step N. = 	0
Target Speed = 	400

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
394.3081	401.7778	7.4697	1.8592	2.2012	2.5450	2.4714	-0.2701	-12.2722	0.1145	0.1141	13.8810	3.8646	3.5898	-1.7114	4.9546	3.7417	3.7528	-0.0111	-0.2971	0.0000	24.3140	42.9442	60.4743	59.5127	-0.9616	-1.6159	371.8031	370.3544	-1.4487	-0.3912	230.4157	3.1298	430.3578	0.5968	nan	208.1394	92.6144	25.0080	86.0565	21.5208	42.8233	87.1157	0.9602	380.4746	-10.1202	-2.7326	28.5927	43.6444	0.5883	
405.0781	397.8750	-7.2031	-1.8104	2.0996	2.3910	2.4346	-0.3350	-15.9551	0.1115	0.1111	12.9001	3.5353	3.6470	-1.4203	4.8893	3.5550	3.5642	-0.0092	-0.2589	0.0000	25.2596	43.9683	62.1158	59.6771	-2.4386	-4.0864	374.4113	354.7675	-19.6438	-5.5371	230.3105	3.0510	409.0825	0.5822	nan	209.3288	87.4817	24.6600	86.7225	21.3857	47.4879	103.0857	0.9654	365.6847	-10.9172	-3.0773	28.5088	52.2600	0.5906	
394.4440	399.7500	5.3060	1.3273	2.0000	2.3809	2.2801	-0.2801	-14.0057	0.1098	0.1102	11.3460	3.2914	3.4413	-1.4355	4.4563	3.3806	3.3897	-0.0092	-0.2714	0.0000	22.1076	43.9797	60.2941	59.1634	-1.1307	-1.9112	336.2834	335.9388	-0.3446	-0.1026	230.2415	2.9266	385.9787	0.5728	nan	210.4037	83.7234	24.9227	87.0354	21.6915	53.2163	112.9983	0.9697	345.6733	-9.7345	-2.8977	28.1190	53.6627	0.5916	
393.4889	398.6250	5.1361	1.2885	1.9000	2.3291	2.2824	-0.3824	-20.1285	0.1083	0.1088	9.8093	2.7971	3.5094	-1.4174	4.3315	3.2174	3.2276	-0.0102	-0.3165	0.0000	21.4130	43.1619	59.0138	58.1696	-0.8442	-1.4512	317.0265	315.5762	-1.4502	-0.4595	230.2241	2.7835	361.9588	0.5648	nan	211.3241	79.3134	25.1333	87.1856	21.9126	59.1077	118.8457	0.9735	320.4770	-4.9007	-1.5529	27.5263	52.5828	0.5905	
398.8455	398.5714	-0.2741	-0.0688	1.8013	2.2413	2.1889	-0.3876	-21.5161	0.1073	0.1068	8.8789	2.6171	3.3949	-1.4167	4.0694	3.0631	3.0726	-0.0095	-0.3098	0.0000	19.0737	42.8230	57.4406	56.8107	-0.6299	-1.1087	292.6197	294.4886	1.8688	0.6346	230.2239	2.6264	337.5786	0.5583	nan	212.3881	75.1826	25.5302	87.2355	22.2714	64.7171	121.6281	0.9770	299.8476	-5.3590	-1.8198	26.7486	49.5094	0.5881	
398.9600	399.5000	0.5400	0.1352	1.7002	2.1760	2.1763	-0.4761	-28.0009	0.1059	0.1053	8.2022	2.3960	3.4238	-1.3246	3.8886	2.9188	2.9282	-0.0094	-0.3231	0.0000	17.1380	42.6170	56.2642	55.1975	-1.0667	-1.9326	280.4251	273.5420	-6.8831	-2.5163	230.2536	2.4692	313.7000	0.5518	nan	213.3200	71.1287	26.0032	87.1986	22.6744	69.7159	122.3310	0.9803	278.9488	-5.4068	-1.9766	25.8755	45.5604	0.5825	
397.6562	400.4444	2.7882	0.6963	1.5992	2.1075	2.0554	-0.4562	-28.5245	0.1032	0.1035	6.7249	2.0344	3.3061	-1.4437	3.6481	2.7831	2.7925	-0.0093	-0.3354	0.0000	15.1288	41.1973	53.7555	53.4571	-0.2984	-0.5582	250.4078	253.3611	2.9533	1.1656	230.3107	2.3134	290.9400	0.5461	nan	214.2451	67.0625	26.4692	87.0836	23.0504	74.0992	121.6466	0.9832	257.7704	-4.4093	-1.7403	24.9514	41.5536	0.5746	
400.4410	398.7500	-1.6910	-0.4241	1.4990	2.0030	2.0416	-0.5426	-36.2004	0.1011	0.1014	5.7473	1.7007	3.3777	-1.3064	3.5356	2.6486	2.6581	-0.0096	-0.3607	0.0000	14.1387	40.0987	52.0751	51.4928	-0.5823	-1.1308	239.2756	232.8875	-6.3881	-2.7430	230.4382	2.1541	267.9425	0.5398	nan	215.3194	62.5940	26.8772	86.9169	23.3608	77.6115	119.8172	0.9859	236.0059	-3.1184	-1.3390	23.9146	37.6568	0.5660	
399.2511	399.0000	-0.2511	-0.0629	1.4005	1.8923	1.8684	-0.4679	-33.4120	0.0987	0.0985	4.9489	1.5759	3.1433	-1.3959	3.2516	2.5045	2.5133	-0.0088	-0.3500	0.0000	11.6366	38.9117	49.7437	49.2140	-0.5297	-1.0762	210.9352	211.0050	0.0698	0.0331	230.5842	1.9810	243.4675	0.5330	nan	216.3940	58.5174	27.7329	86.6666	24.0351	80.3444	117.2763	0.9884	214.7120	-3.7070	-1.7568	22.7428	32.8110	0.5592	
402.1522	399.6250	-2.5272	-0.6324	1.3003	1.7463	1.7423	-0.4420	-33.9956	0.0955	0.0951	4.1275	1.3598	3.0353	-1.3191	3.0522	2.3541	2.3629	-0.0088	-0.3726	0.0000	9.9203	37.3743	47.3590	46.7391	-0.6199	-1.3263	190.4119	188.7925	-1.6194	-0.8578	230.6695	1.8024	218.6587	0.5259	nan	217.3622	54.4137	28.8220	86.3412	24.8853	82.4774	114.0770	0.9906	191.8826	-3.0901	-1.6368	21.5029	27.9011	0.5523	
400.9498	398.8889	-2.0609	-0.5167	1.1997	1.6089	1.6181	-0.4184	-34.8755	0.0919	0.0919	3.0588	1.0439	2.9333	-1.2823	2.8450	2.1955	2.2033	-0.0078	-0.3554	0.0000	8.5102	35.5208	44.7361	44.0813	-0.6548	-1.4854	169.6012	166.4167	-3.1846	-1.9136	230.6511	1.6218	193.7544	0.5180	nan	218.2492	50.1119	30.1124	85.8905	25.8637	83.8386	110.4556	0.9928	168.5249	-2.1083	-1.2669	20.1977	23.2764	0.5464	
