Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7526	0.0000	-0.0020	0.0069	0.0000	0.0000	-0.0200	230.5260	0.0310	1.9500	60.4494	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4899	0.0000	-0.0030	0.0069	0.0000	0.0000	-0.0200	230.5150	0.0310	1.9400	60.3437	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.9370	0.0000	-0.0020	0.0069	0.0000	0.0000	-0.0200	230.4970	0.0309	1.9500	60.1883	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	0.1581	-0.4565	0.0155	-0.4828	0.0000	0.0000	321.2851	0.0000	60.8828	0.4831	0.0048	117.9111
2.2335	0.0000	-0.0020	0.0069	0.0000	0.0000	-0.0200	230.4970	0.0309	1.9500	60.1883	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	0.1581	-0.4565	0.0155	-0.4828	0.0000	0.0000	321.2851	0.0000	60.8828	0.4831	0.0048	117.9111
2.5427	0.0000	-0.0020	0.0069	0.0000	0.0000	-0.0200	230.4970	0.0309	1.9500	60.1883	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	0.1581	-0.4565	0.0155	-0.4828	0.0000	0.0000	321.2147	0.0000	60.7875	0.4831	0.0049	117.6453
3.1474	0.0000	-0.0050	0.0069	0.0000	0.0000	-0.0200	230.4830	0.0309	1.9500	60.0009	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	0.1581	-0.4565	0.0155	-0.4828	0.0000	0.0000	321.2391	0.0000	60.6945	0.4831	0.0055	117.6453
3.2360	0.0000	-0.0050	0.0069	0.0000	0.0000	-0.0200	230.4830	0.0309	1.9500	60.0009	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	0.1581	-0.4565	0.0155	-0.4828	0.0000	0.0000	321.2391	0.0000	60.6945	0.4831	0.0055	117.6453
3.7539	0.0000	-0.0030	0.0069	0.0000	0.0000	-0.0200	230.4780	0.0309	1.9400	59.8952	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	0.1581	-0.4565	0.0155	-0.4828	0.0000	0.0000	321.2026	0.0000	60.6039	0.4831	0.0050	117.3812
3.9781	0.0000	-0.0030	0.0069	0.0000	0.0000	-0.0200	230.4780	0.0309	1.9400	59.8952	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	0.1581	-0.4565	0.0155	-0.4828	0.0000	0.0000	321.2026	0.0000	60.6039	0.4831	0.0050	117.3812
4.3591	0.0000	-0.0040	0.0069	0.0000	0.0000	-0.0200	230.4670	0.0308	1.9500	59.7536	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	0.1581	-0.4565	0.0155	-0.4828	0.0000	0.0000	321.2256	0.0000	60.5154	0.4831	0.0049	117.3812
