Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7843	0.0000	-0.0140	0.0141	0.0000	0.7610	-0.0400	230.9250	0.0336	1.9900	68.4409	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.5252	0.0000	-0.0140	0.0141	0.0000	0.7610	-0.0400	230.9220	0.0336	1.9900	68.3617	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.6955	0.0000	-0.0140	0.0141	0.0000	0.7610	-0.0400	230.9220	0.0336	1.9900	68.3617	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.7888	0.2596	-1.8040	0.1138	0.0000	0.0000	322.0320	0.0000	77.4198	1.8076	0.0052	84.4863
2.2667	0.0000	-0.0130	0.0264	0.0000	1.4230	-0.0300	230.9180	0.0393	2.2600	68.2563	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.7888	0.2596	-1.8040	0.1138	0.0000	0.0000	322.0496	0.0000	77.2283	1.8076	0.0051	84.3923
2.2936	0.0000	-0.0130	0.0264	0.0000	1.4230	-0.0300	230.9180	0.0393	2.2600	68.2563	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.7888	0.2596	-1.8040	0.1138	0.0000	0.0000	322.0496	0.0000	77.2283	1.8076	0.0051	84.3923
2.8990	0.0000	-0.0130	0.0141	0.0000	0.7610	-0.0400	230.9160	0.0334	1.9900	68.1677	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.7888	0.2596	-1.8040	0.1138	0.0000	0.0000	322.0198	0.0000	77.0433	1.8076	0.0052	84.3923
3.0039	0.0000	-0.0130	0.0141	0.0000	0.7610	-0.0400	230.9160	0.0334	1.9900	68.1677	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.7888	0.2596	-1.8040	0.1138	0.0000	0.0000	322.0198	0.0000	77.0433	1.8076	0.0052	84.3923
3.5054	0.0000	-0.0130	0.0141	0.0000	0.7610	-0.0400	230.9130	0.0334	1.9900	68.0269	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.7888	0.2596	-1.8040	0.1138	0.0000	0.0000	322.0347	0.0000	76.8646	1.8076	0.0051	84.2987
3.7857	0.0000	-0.0130	0.0141	0.0000	0.7610	-0.0400	230.9130	0.0334	1.9900	68.0269	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.7888	0.2596	-1.8040	0.1138	0.0000	0.0000	322.0347	0.0000	76.8646	1.8076	0.0051	84.2987
4.1102	0.0000	-0.0130	0.0141	0.0000	0.7610	-0.0400	230.9130	0.0334	1.9900	68.0269	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.7888	0.2596	-1.8040	0.1138	0.0000	0.0000	322.0252	0.0000	76.6848	1.8076	0.0051	84.2054
4.5149	0.0000	-0.0130	0.0141	0.0000	0.7610	-0.0400	230.9050	0.0333	1.9800	67.9120	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.7888	0.2596	-1.8040	0.1138	0.0000	0.0000	321.9941	0.0000	76.5182	1.8076	0.0049	84.2054
