Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7305	0.0000	-0.0090	0.0065	0.0000	0.3060	-0.0200	230.7990	0.0324	1.9700	53.8726	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.9863	0.0000	-0.0090	0.0066	0.0000	0.3060	-0.0200	230.7380	0.0320	1.9500	53.5289	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.7275	0.0000	-0.0090	0.0066	0.0000	0.3060	-0.0200	230.7230	0.0319	1.9400	53.4327	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.3292	0.0000	-0.0090	0.0066	0.0000	0.3060	-0.0200	230.7230	0.0319	1.9400	53.4327	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	-1.9204	0.5065	-1.9746	0.2128	0.0000	0.0000	321.8412	0.0000	54.6869	1.9860	0.0053	72.8304
4.9347	0.0000	-0.0000	0.0065	0.0000	0.3070	-0.0200	230.6450	0.0319	1.9500	53.0843	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	-1.9204	0.5065	-1.9746	0.2128	0.0000	0.0000	321.8019	0.0000	54.4780	1.9860	0.0052	72.7759
5.5411	0.0000	-0.0000	0.0065	0.0000	0.3070	-0.0200	230.6450	0.0319	1.9500	53.0843	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	-1.9204	0.5065	-1.9746	0.2128	0.0000	0.0000	321.8060	0.0000	54.2761	1.9860	0.0049	72.7759
5.9909	0.0000	-0.0000	0.0065	0.0000	0.3070	-0.0200	230.6450	0.0319	1.9500	53.0843	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	-1.9204	0.5065	-1.9746	0.2128	0.0000	0.0000	321.7668	0.0000	54.0809	1.9860	0.0049	72.7215
6.1458	0.0000	-0.0000	0.0065	0.0000	0.3070	-0.0200	230.6450	0.0319	1.9500	53.0843	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	-1.9204	0.5065	-1.9746	0.2128	0.0000	0.0000	321.7668	0.0000	54.0809	1.9860	0.0049	72.7215
6.7224	0.0000	-0.0000	0.0066	0.0000	0.3070	-0.0200	230.6300	0.0318	1.9600	52.9309	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	-1.9204	0.5065	-1.9746	0.2128	0.0000	0.0000	321.7167	0.0000	53.8921	1.9860	0.0050	72.7215
6.7518	0.0000	-0.0000	0.0066	0.0000	0.3070	-0.0200	230.6300	0.0318	1.9600	52.9309	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	-1.9204	0.5065	-1.9746	0.2128	0.0000	0.0000	321.7167	0.0000	53.8921	1.9860	0.0050	72.7215
7.3408	0.0000	-0.0000	0.0065	0.0000	0.3070	-0.0200	230.5990	0.0318	1.9400	52.8335	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	-1.9204	0.5065	-1.9746	0.2128	0.0000	0.0000	321.7154	0.0000	53.7096	1.9860	0.0052	72.6674
7.4735	0.0000	-0.0000	0.0065	0.0000	0.3070	-0.0200	230.5990	0.0318	1.9400	52.8335	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	-1.9204	0.5065	-1.9746	0.2128	0.0000	0.0000	321.7154	0.0000	53.7096	1.9860	0.0052	72.6674
7.9476	0.0000	-0.0000	0.0066	0.0000	0.3070	-0.0200	230.5830	0.0318	1.9600	52.6772	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0356	-1.9204	0.5065	-1.9746	0.2128	0.0000	0.0000	321.6612	0.0000	53.5329	1.9860	0.0048	72.6134
