Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7389	0.0000	-0.0300	0.0080	0.0000	0.6350	-0.0300	230.7840	0.0345	1.9900	67.2399	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4370	0.0000	-0.0310	0.0080	0.0000	0.6350	-0.0300	230.7800	0.0344	1.9900	66.9463	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0350	-2.0100	0.2516	-2.0230	0.1034	0.0000	0.0000	321.9819	0.0000	68.0674	2.0256	0.0050	104.2323
1.4782	0.0000	-0.0310	0.0080	0.0000	0.6350	-0.0300	230.7800	0.0344	1.9900	66.9463	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0350	-2.0100	0.2516	-2.0230	0.1034	0.0000	0.0000	321.9819	0.0000	68.0674	2.0256	0.0050	104.2323
2.0429	0.0000	-0.0290	0.0080	0.0000	0.6350	-0.0300	230.7700	0.0344	1.9900	66.7099	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0350	-2.0100	0.2516	-2.0230	0.1034	0.0000	0.0000	322.0022	0.0000	67.7878	2.0256	0.0054	104.0473
2.2079	0.0000	-0.0290	0.0080	0.0000	0.6350	-0.0300	230.7700	0.0344	1.9900	66.7099	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0350	-2.0100	0.2516	-2.0230	0.1034	0.0000	0.0000	322.0022	0.0000	67.7878	2.0256	0.0054	104.0473
2.6474	0.0000	-0.0290	0.0080	0.0000	0.6350	-0.0300	230.7630	0.0343	1.9900	66.5100	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0350	-2.0100	0.2516	-2.0230	0.1034	0.0000	0.0000	321.9575	0.0000	67.5061	2.0256	0.0052	104.0473
2.9424	0.0000	-0.0290	0.0080	0.0000	0.6350	-0.0300	230.7630	0.0343	1.9900	66.5100	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0350	-2.0100	0.2516	-2.0230	0.1034	0.0000	0.0000	321.9575	0.0000	67.5061	2.0256	0.0052	104.0473
3.2539	0.0000	-0.0290	0.0080	0.0000	0.6350	-0.0300	230.7630	0.0343	1.9900	66.5100	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0350	-2.0100	0.2516	-2.0230	0.1034	0.0000	0.0000	321.9494	0.0000	67.2446	2.0256	0.0051	103.8633
3.6674	0.0000	-0.0230	0.0080	0.0000	0.6350	-0.0300	230.7470	0.0342	1.9800	66.1972	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0350	-2.0100	0.2516	-2.0230	0.1034	0.0000	0.0000	321.9305	0.0000	66.9917	2.0256	0.0047	103.8633
3.8587	0.0000	-0.0230	0.0080	0.0000	0.6350	-0.0300	230.7470	0.0342	1.9800	66.1972	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0350	-2.0100	0.2516	-2.0230	0.1034	0.0000	0.0000	321.9305	0.0000	66.9917	2.0256	0.0047	103.8633
