Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7464	0.0000	-0.0130	0.0148	0.0000	0.7500	-0.0400	230.6630	0.0325	1.9400	63.5412	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4880	0.0000	-0.0150	0.0148	0.0000	0.7500	-0.0400	230.6520	0.0325	1.9600	63.5069	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.6061	0.0000	-0.0150	0.0148	0.0000	0.7500	-0.0400	230.6520	0.0325	1.9600	63.5069	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0354	-1.8715	0.2953	-1.8904	0.1268	0.0000	0.0000	321.5718	0.0000	73.8349	1.8947	0.0051	69.7086
2.2118	0.0000	-0.0140	0.0148	0.0000	0.7500	-0.0400	230.6280	0.0325	1.9500	63.4652	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0354	-1.8715	0.2953	-1.8904	0.1268	0.0000	0.0000	321.5447	0.0000	73.7326	1.8947	0.0051	69.6629
2.2751	0.0000	-0.0140	0.0148	0.0000	0.7500	-0.0400	230.6280	0.0325	1.9500	63.4652	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0354	-1.8715	0.2953	-1.8904	0.1268	0.0000	0.0000	321.5447	0.0000	73.7326	1.8947	0.0051	69.6629
2.8174	0.0000	-0.0150	0.0148	0.0000	0.7490	-0.0400	230.6150	0.0325	1.9600	63.4277	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0354	-1.8715	0.2953	-1.8904	0.1268	0.0000	0.0000	321.4893	0.0000	73.6336	1.8947	0.0052	69.6629
3.0071	0.0000	-0.0150	0.0148	0.0000	0.7490	-0.0400	230.6150	0.0325	1.9600	63.4277	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0354	-1.8715	0.2953	-1.8904	0.1268	0.0000	0.0000	321.4893	0.0000	73.6336	1.8947	0.0052	69.6629
3.4229	0.0000	-0.0140	0.0148	0.0000	0.7500	-0.0400	230.5900	0.0325	1.9500	63.3445	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0354	-1.8715	0.2953	-1.8904	0.1268	0.0000	0.0000	321.4907	0.0000	73.5380	1.8947	0.0051	69.6173
3.7501	0.0000	-0.0140	0.0148	0.0000	0.7500	-0.0400	230.5900	0.0325	1.9500	63.3445	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0354	-1.8715	0.2953	-1.8904	0.1268	0.0000	0.0000	321.4947	0.0000	73.4456	1.8947	0.0050	69.5719
4.0124	0.0000	-0.0140	0.0148	0.0000	0.7500	-0.0400	230.5900	0.0325	1.9500	63.3445	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0354	-1.8715	0.2953	-1.8904	0.1268	0.0000	0.0000	321.4947	0.0000	73.4456	1.8947	0.0050	69.5719
