Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7344	0.0000	-0.0000	0.0329	0.0000	1.5860	-0.0000	264.7810	0.0527	3.0300	42.8352	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4333	0.0000	-0.0000	0.0059	0.0000	0.0000	-0.0200	264.7800	0.0332	2.1900	42.7288	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0364	-1.8558	0.8175	-1.9983	0.3448	0.0000	0.0000	369.7508	0.0000	32.4097	2.0279	0.0051	69.5372
1.4663	0.0000	-0.0000	0.0059	0.0000	0.0000	-0.0200	264.7800	0.0332	2.1900	42.7288	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0364	-1.8558	0.8175	-1.9983	0.3448	0.0000	0.0000	369.7508	0.0000	32.4097	2.0279	0.0051	69.5372
2.0382	0.0000	-0.0000	0.0059	0.0000	0.0000	-0.0200	264.7780	0.0331	2.1800	42.5861	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0364	-1.8558	0.8175	-1.9983	0.3448	0.0000	0.0000	369.7617	0.0000	32.1696	2.0279	0.0049	69.4919
2.1990	0.0000	-0.0000	0.0059	0.0000	0.0000	-0.0200	264.7780	0.0331	2.1800	42.5861	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0364	-1.8558	0.8175	-1.9983	0.3448	0.0000	0.0000	369.7617	0.0000	32.1696	2.0279	0.0049	69.4919
2.6288	0.0000	-0.0000	0.0059	0.0000	0.0000	-0.0200	264.7760	0.0331	2.2000	42.4610	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0364	-1.8558	0.8175	-1.9983	0.3448	0.0000	0.0000	369.7089	0.0000	31.9561	2.0279	0.0049	69.4919
2.9329	0.0000	-0.0000	0.0059	0.0000	0.0000	-0.0200	264.7760	0.0331	2.2000	42.4610	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0364	-1.8558	0.8175	-1.9983	0.3448	0.0000	0.0000	369.7386	0.0000	31.7405	2.0279	0.0049	69.4468
3.2337	0.0000	-0.0000	0.0059	0.0000	0.0000	-0.0200	264.7760	0.0331	2.2000	42.4610	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0364	-1.8558	0.8175	-1.9983	0.3448	0.0000	0.0000	369.7386	0.0000	31.7405	2.0279	0.0049	69.4468
3.6755	0.0000	-0.0000	0.0059	0.0000	0.0000	-0.0200	264.7720	0.0330	2.2000	42.3444	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0364	-1.8558	0.8175	-1.9983	0.3448	0.0000	0.0000	369.7116	0.0000	31.5321	2.0279	0.0048	69.4468
3.8403	0.0000	-0.0000	0.0059	0.0000	0.0000	-0.0200	264.7720	0.0330	2.2000	42.3444	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0364	-1.8558	0.8175	-1.9983	0.3448	0.0000	0.0000	369.7116	0.0000	31.5321	2.0279	0.0048	69.4468
