WindyBPMp40_OrcaH24__YC105__Dyno_Low_Speed_Torque__230Vac_40C_20250210_164829
Report created on: 2025/02/10: 17:08:49


Step N. = 	0
Target Speed = 	2000

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
2011.5609	1996.6250	-14.9359	-0.7481	2.0008	2.0420	2.1259	-0.1252	-6.2569	0.1030	0.1021	11.8821	3.4012	3.4799	-1.8435	4.7960	3.5245	3.5327	-0.0082	-0.2317	0.0000	28.0122	118.6988	149.4782	138.1020	-11.3762	-8.2375	761.9082	665.2225	-96.6857	-14.5343	230.5699	5.1456	737.9212	0.6220	nan	199.5387	418.3291	62.8861	90.1481	56.6905	55.1536	68.3493	0.7891	662.2491	2.9734	0.4470	69.2106	29.5572	0.5677	
2024.2531	2001.4545	-22.7985	-1.1391	1.8995	1.9332	2.0049	-0.1055	-5.5521	0.1009	0.0991	11.2088	3.4016	3.2839	-1.7689	4.2119	3.3217	3.4112	-0.0895	-2.6955	0.0000	25.3497	97.8967	124.3411	133.7935	9.4524	7.0649	619.8073	628.8500	9.0427	1.4380	230.7338	4.9114	693.8682	0.6123	nan	201.0028	398.1102	63.3079	90.6296	57.3756	66.5970	84.6518	0.8169	648.1731	-19.3231	-3.0728	66.5634	29.7621	0.5718	
2010.7510	1999.5556	-11.1955	-0.5599	1.8000	1.8818	1.9706	-0.1706	-9.4762	0.1005	0.0984	10.5833	3.2158	3.2631	-1.6045	4.1565	3.1334	3.2251	-0.0917	-2.9266	0.0000	15.5146	107.7674	133.9183	130.6254	-3.2929	-2.5209	605.4108	590.8733	-14.5375	-2.4603	230.4939	4.6812	650.4456	0.6028	nan	202.3060	376.9073	63.7883	90.8413	57.9461	76.6948	95.6475	0.8335	604.0704	-13.1971	-2.2335	64.5685	28.8939	0.5745	
1972.0545	2001.1111	29.0566	1.4520	1.7009	1.9179	1.8335	-0.1326	-7.7951	0.0979	0.0991	9.2897	3.0057	3.0828	-1.6841	3.9588	2.9480	3.0428	-0.0948	-3.2147	0.0000	20.6278	105.2846	132.1435	127.0040	-5.1395	-4.0468	586.8720	550.2911	-36.5809	-6.6476	230.3387	4.3998	604.8278	0.5968	nan	203.4430	356.4313	64.7715	90.9831	58.9311	84.3001	101.5833	0.8486	566.5874	-16.2963	-2.9614	62.4276	25.8830	0.5770	
2013.5371	1999.4444	-14.0927	-0.7048	1.5988	1.6638	1.7096	-0.1109	-6.9337	0.0941	0.0932	7.7079	2.5380	3.0353	-1.3700	3.7118	2.7687	2.8356	-0.0669	-2.4156	0.0000	21.8153	98.0404	123.1222	123.2931	0.1709	0.1386	528.2949	509.2767	-19.0182	-3.7344	230.5043	4.1142	559.2100	0.5897	nan	204.9994	334.7541	65.7314	91.0707	59.8620	89.9980	104.2237	0.8614	521.4608	-12.1841	-2.3924	60.1436	23.6149	0.5775	
1987.0566	1999.7500	12.6934	0.6348	1.4995	1.6565	1.6063	-0.1068	-7.1239	0.0921	0.0927	7.0516	2.4022	2.9406	-1.3241	3.5937	2.5992	2.6569	-0.0577	-2.2188	0.0000	18.3376	98.6157	122.9742	119.5488	-3.4255	-2.8653	503.7660	469.8050	-33.9610	-7.2287	230.7608	3.8419	515.6400	0.5816	nan	206.7400	314.0153	66.8395	91.1110	60.8982	93.9849	104.5065	0.8729	482.3467	-12.5417	-2.6696	57.8263	21.0979	0.5769	
2006.2501	1999.0000	-7.2501	-0.3627	1.3998	1.4962	1.4980	-0.0983	-7.0197	0.0895	0.0896	6.0017	2.1276	2.8135	-1.0839	3.2567	2.4327	2.4978	-0.0652	-2.6795	0.0000	12.4735	94.5406	116.8513	115.7493	-1.1020	-0.9520	439.3844	430.7533	-8.6311	-2.0037	230.6861	3.5641	472.7378	0.5750	nan	208.1669	293.0223	68.0255	91.1189	61.9841	96.3763	103.2249	0.8832	446.8786	-16.1252	-3.7435	55.6047	18.8573	0.5754	
1997.9383	2000.7500	2.8117	0.1405	1.2991	1.4152	1.3906	-0.0915	-7.0403	0.0871	0.0874	4.9140	1.8567	2.6450	-1.0246	3.1053	2.2626	2.3225	-0.0599	-2.6461	0.0000	10.7306	90.8171	112.0752	111.7818	-0.2934	-0.2625	390.6943	391.3738	0.6794	0.1736	230.3957	3.2824	429.5900	0.5681	nan	209.4491	272.1903	69.5474	91.1040	63.3605	97.7690	100.8260	0.8934	403.5441	-12.1704	-3.1097	53.3698	15.8997	0.5742	
2003.5362	2000.0000	-3.5362	-0.1768	1.2000	1.2943	1.3190	-0.1190	-9.9157	0.0856	0.0851	4.5006	1.7471	2.5710	-0.8845	2.9198	2.0912	2.1579	-0.0667	-3.1894	0.0000	12.1497	87.7644	108.6410	107.7289	-0.9121	-0.8467	370.3912	352.5844	-17.8067	-5.0503	230.5133	3.0009	387.3100	0.5599	nan	210.7544	251.3276	71.2815	91.0342	64.8906	98.0306	97.7974	0.9036	365.8605	-13.2760	-3.7654	51.1165	12.9572	0.5738	
1994.4713	1999.5556	5.0843	0.2543	1.0996	1.2223	1.1884	-0.0888	-8.0779	0.0828	0.0834	3.4293	1.4290	2.3932	-0.8556	2.6928	1.9280	1.9934	-0.0655	-3.3950	0.0000	10.7480	86.5281	106.8078	103.8420	-2.9658	-2.8560	334.0302	316.7378	-17.2924	-5.4595	230.7960	2.7324	348.3144	0.5523	nan	212.5637	230.2392	72.6909	90.9344	66.1010	97.4466	94.2148	0.9134	329.6486	-12.9108	-4.0762	48.8527	11.5834	0.5703	
