Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7694	0.0000	-0.0330	0.0053	0.0000	0.3480	-0.0100	230.7170	0.0000	1.9800	20.9388	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.5015	0.0000	-0.0330	0.0052	0.0000	0.3480	-0.0100	230.6990	0.0000	1.9800	20.9333	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.8006	0.0000	-0.0330	0.0052	0.0000	0.3480	-0.0100	230.6990	0.0000	1.9800	20.9333	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.3906	0.0000	25.0000	0.0000	0.0050	40.0000
2.2334	0.0000	-0.0330	0.0053	0.0000	0.3480	-0.0100	230.6890	0.0000	1.9800	20.9133	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.3230	0.0000	25.0000	0.0000	0.0046	40.0000
2.4064	0.0000	-0.0330	0.0053	0.0000	0.3480	-0.0100	230.6890	0.0000	1.9800	20.9133	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.3230	0.0000	25.0000	0.0000	0.0046	40.0000
3.0128	0.0000	-0.0330	0.0053	0.0000	0.3480	-0.0100	230.6610	0.0000	1.9800	20.9154	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.2905	0.0000	25.0000	0.0000	0.0045	40.0000
3.2146	0.0000	-0.0330	0.0053	0.0000	0.3480	-0.0100	230.6610	0.0000	1.9800	20.9154	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.2905	0.0000	25.0000	0.0000	0.0045	40.0000
3.6185	0.0000	-0.0330	0.0052	0.0000	0.3470	-0.0100	230.6270	0.0000	1.9900	20.9416	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.3014	0.0000	25.0000	0.0000	0.0049	40.0000
3.9636	0.0000	-0.0330	0.0052	0.0000	0.3470	-0.0100	230.6270	0.0000	1.9900	20.9416	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.2404	0.0000	25.0000	0.0000	0.0051	40.0000
4.2234	0.0000	-0.0330	0.0052	0.0000	0.3470	-0.0100	230.6270	0.0000	1.9900	20.9416	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.2404	0.0000	25.0000	0.0000	0.0051	40.0000
4.7033	0.0000	-0.0330	0.0053	0.0000	0.3480	-0.0100	230.6080	0.0000	1.9900	20.9180	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.2039	0.0000	25.0000	0.0000	0.0049	40.0000
4.8290	0.0000	-0.0330	0.0053	0.0000	0.3480	-0.0100	230.6080	0.0000	1.9900	20.9180	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.2039	0.0000	25.0000	0.0000	0.0049	40.0000
5.4340	0.0000	-0.0330	0.0052	0.0000	0.3480	-0.0100	230.5650	0.0000	1.9800	20.9161	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.1701	0.0000	25.0000	0.0000	0.0051	40.0000
5.4458	0.0000	-0.0330	0.0052	0.0000	0.3480	-0.0100	230.5650	0.0000	1.9800	20.9161	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.1701	0.0000	25.0000	0.0000	0.0051	40.0000
6.0406	0.0000	-0.0330	0.0053	0.0000	0.3480	-0.0100	230.5430	0.0000	1.9700	20.9189	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.1159	0.0000	25.0000	0.0000	0.0050	40.0000
