WindyBPMp40_OrcaH24__YC105__Dyno_Speed_Torque__230Vac_40C_20250210_114347
Report created on: 2025/02/10: 11:49:25


Step N. = 	0
Target Speed = 	780

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
780.2823	771.5000	-8.7823	-1.1383	2.3981	2.5724	2.3968	0.0014	0.0566	0.1145	0.1157	14.4238	4.2053	3.4325	-1.6639	5.2748	4.0110	4.0231	-0.0121	-0.3015	0.0000	26.8260	60.4570	81.1453	80.5845	-0.5608	-0.6959	479.1559	505.6775	26.5216	5.2448	230.2215	4.0928	577.5000	0.6129	nan	203.2183	193.7477	38.3159	87.5629	33.5503	53.2370	78.8231	0.9032	518.9531	-13.2756	-2.6253	39.6542	32.3921	0.5979	
776.8023	779.2222	2.4199	0.3106	2.2982	2.4803	2.4451	-0.1468	-6.3890	0.1127	0.1125	14.1809	3.9465	3.6137	-1.7523	5.1799	3.8041	3.8166	-0.0125	-0.3294	0.0000	28.0246	60.6852	81.9718	80.7089	-1.2629	-1.5647	492.8058	485.3789	-7.4269	-1.5301	230.2238	3.9659	550.6933	0.6031	nan	204.3174	187.5348	38.6375	88.1395	34.0548	67.1561	95.6127	0.9127	496.8983	-11.5194	-2.3733	39.5018	33.7413	0.6041	
762.5411	781.0000	18.4589	2.3635	2.1990	2.4655	2.3500	-0.1510	-6.8648	0.1102	0.1103	12.9058	3.6258	3.5496	-2.0827	4.9328	3.6192	3.6281	-0.0088	-0.2440	0.0000	26.6372	61.5381	82.1644	80.0817	-2.0827	-2.6007	472.1310	462.2300	-9.9010	-2.1420	230.2020	3.8121	522.5125	0.5954	nan	205.5542	179.8478	38.9094	88.4629	34.4203	79.7281	107.0151	0.9208	470.3590	-8.1290	-1.7587	38.9590	32.9722	0.6076	
769.1800	778.3750	9.1950	1.1813	2.1011	2.3509	2.3227	-0.2215	-10.5443	0.1088	0.1085	12.1236	3.3980	3.5649	-1.6989	4.5505	3.4402	3.4531	-0.0129	-0.3752	0.0000	23.5907	60.5768	79.6750	78.7717	-0.9032	-1.1467	443.3579	435.4475	-7.9104	-1.8166	230.2437	3.6260	491.1825	0.5883	nan	206.8126	171.2651	39.3312	88.6529	34.8682	89.5902	113.4221	0.9277	443.2620	-7.8145	-1.7946	38.0885	31.5027	0.6108	
773.6843	779.3333	5.6490	0.7249	1.9996	2.2498	2.2007	-0.2012	-10.0617	0.1063	0.1066	10.5444	3.0748	3.4308	-1.5677	4.3067	3.2685	3.2778	-0.0093	-0.2860	0.0000	21.0797	60.0434	77.9477	77.0401	-0.9076	-1.1781	406.0904	407.3822	1.2919	0.3171	230.4000	3.4251	459.0067	0.5817	nan	208.1797	163.1867	40.0574	88.7530	35.5522	97.3302	116.3326	0.9341	413.8768	-6.4945	-1.5942	37.0065	28.9629	0.6118	
785.2431	778.0000	-7.2431	-0.9310	1.9013	2.1040	2.0941	-0.1928	-10.1392	0.1036	0.1041	9.1051	2.7161	3.3522	-1.3512	4.1939	3.0997	3.1081	-0.0084	-0.2713	0.0000	20.9067	57.8823	75.3891	74.9341	-0.4550	-0.6071	376.1728	378.1557	1.9829	0.5244	230.5831	3.2121	425.8486	0.5750	nan	209.6701	154.9014	40.9623	88.8005	36.3748	103.2673	116.7665	0.9400	382.7761	-4.6204	-1.2218	35.7391	26.0964	0.6134	
784.0454	779.0000	-5.0454	-0.6477	1.7998	2.0171	2.0625	-0.2627	-14.5989	0.1026	0.1015	8.4758	2.5340	3.3446	-1.3935	3.8759	2.9354	2.9445	-0.0091	-0.3106	0.0000	17.8193	56.8083	72.9466	72.5522	-0.3944	-0.5436	352.4663	348.8067	-3.6597	-1.0492	230.6448	2.9988	392.8656	0.5680	nan	210.9077	146.8199	42.0920	88.7852	37.3715	107.6717	115.4592	0.9456	352.8002	-3.9936	-1.1449	34.4000	22.7836	0.6131	
777.5595	779.7500	2.1905	0.2809	1.7003	1.9517	1.8930	-0.1927	-11.3355	0.0992	0.0999	6.9575	2.2016	3.1565	-1.3237	3.6742	2.7781	2.7856	-0.0075	-0.2690	0.0000	16.2259	55.2779	70.5622	70.0252	-0.5369	-0.7667	315.3231	320.4500	5.1269	1.5999	230.5465	2.7910	361.1575	0.5613	nan	212.0276	138.8344	43.3248	88.7286	38.4415	110.5532	112.8578	0.9510	323.8325	-3.3825	-1.0555	33.0265	19.7056	0.6120	
774.1580	778.3333	4.1754	0.5364	1.5996	1.8804	1.7908	-0.1912	-11.9535	0.0965	0.0981	5.8750	1.9179	3.0654	-1.2443	3.4697	2.6444	2.6516	-0.0072	-0.2723	0.0000	14.5453	53.7500	68.2152	67.7019	-0.5133	-0.7582	288.8318	296.3356	7.5038	2.5322	230.4486	2.6111	334.2800	0.5555	nan	212.9281	130.3747	43.9956	88.6489	39.0017	112.1001	109.7038	0.9556	299.1607	-2.8251	-0.9534	31.7957	18.5822	0.6049	
784.6987	779.4286	-5.2701	-0.6762	1.4993	1.7175	1.7568	-0.2575	-17.1766	0.0953	0.0947	5.5301	1.7938	3.0855	-1.1850	3.3683	2.4947	2.5021	-0.0074	-0.2971	0.0000	13.2679	52.0192	65.7536	65.0269	-0.7268	-1.1176	276.3442	269.8657	-6.4784	-2.4006	230.4173	2.4117	304.8014	0.5485	nan	213.9607	122.3740	45.3463	88.5382	40.1488	112.7172	106.2430	0.9605	272.1025	-2.2368	-0.8288	30.3920	16.0839	0.6010	
