Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7464	0.0000	-0.0130	0.0051	0.0000	0.0000	-0.0100	230.9700	0.0308	2.2100	58.0437	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4846	0.0000	-0.0130	0.0051	0.0000	0.0000	-0.0100	230.9710	0.0307	2.2100	58.0360	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.2200	0.0000	-0.0130	0.0050	0.0000	0.0000	-0.0100	230.9700	0.0307	2.2100	57.9378	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.4211	0.0000	-0.0130	0.0050	0.0000	0.0000	-0.0100	230.9700	0.0307	2.2100	57.9378	NOT CONNECTED	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.3798	0.0000	25.0000	0.0000	0.0053	25.0000
3.0100	0.0000	-0.0130	0.0050	0.0000	0.0000	-0.0100	230.9670	0.0306	2.2200	57.8204	NOT CONNECTED	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.3663	0.0000	25.0000	0.0000	0.0051	25.0000
3.2074	0.0000	-0.0130	0.0050	0.0000	0.0000	-0.0100	230.9670	0.0306	2.2200	57.8204	NOT CONNECTED	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.3663	0.0000	25.0000	0.0000	0.0051	25.0000
3.6157	0.0000	-0.0130	0.0050	0.0000	0.0000	-0.0100	230.9660	0.0307	2.2100	57.7595	NOT CONNECTED	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.3906	0.0000	25.0000	0.0000	0.0051	25.0000
3.9361	0.0000	-0.0130	0.0050	0.0000	0.0000	-0.0100	230.9660	0.0307	2.2100	57.7595	NOT CONNECTED	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.3893	0.0000	25.0000	0.0000	0.0056	25.0000
4.2208	0.0000	-0.0130	0.0050	0.0000	0.0000	-0.0100	230.9660	0.0307	2.2100	57.7595	NOT CONNECTED	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.3893	0.0000	25.0000	0.0000	0.0056	25.0000
4.6794	0.0000	-0.0130	0.0050	0.0000	0.0000	-0.0100	230.9630	0.0306	2.2200	57.6636	NOT CONNECTED	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.3487	0.0000	25.0000	0.0000	0.0053	25.0000
