sBPM_OrcaH34_Dyno_Curves_Low_Speed_Static_Curve_680rpm__230Vac_50C_20240805_115519
Report created on: 2024/08/05: 12:10:49


Step N. = 	0
Target Speed = 	680

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
668.1308	667.4000	-0.7308	-0.1095	3.0998	3.2448	3.3225	-0.2227	-7.1837	0.1453	0.1456	16.2235	4.2594	3.8086	-3.2772	4.6332	4.0488	4.0592	-0.0104	-0.2579	0.0000	26.6796	68.2459	89.7806	89.6406	-0.1400	-0.1562	560.6346	565.2320	4.5974	0.8134	230.0616	4.5569	637.4840	0.6081	nan	201.5629	216.6449	38.3300	88.6655	33.9853	50.7987	81.8312	0.8991	573.0941	-7.8621	-1.3910	44.4728	49.9840	0.7656	
683.2856	677.8462	-5.4394	-0.8025	2.9999	3.1322	3.1604	-0.1605	-5.3503	0.1463	0.1422	15.7500	4.3419	3.6281	-3.1539	4.5941	3.9074	3.9188	-0.0114	-0.2917	0.0000	31.5201	69.6288	93.6621	91.2165	-2.4456	-2.6811	583.8142	559.5254	-24.2889	-4.3410	230.2831	4.5335	626.9792	0.6006	nan	202.3697	212.9462	38.0592	89.2412	33.9644	61.6461	101.2347	0.9064	568.3192	-8.7939	-1.5717	45.0742	57.4572	0.7678	
684.8749	679.6154	-5.2595	-0.7739	2.8992	3.0143	3.0808	-0.1816	-6.2643	0.1412	0.1404	14.2629	3.8887	3.6627	-2.9530	4.4276	3.7752	3.7863	-0.0111	-0.2950	0.0000	31.0365	68.1172	91.7789	91.6592	-0.1196	-0.1305	556.9276	546.4392	-10.4884	-1.9194	230.5801	4.4431	610.3115	0.5957	nan	203.3463	206.3303	37.7597	89.5344	33.8078	72.0239	117.5956	0.9117	551.2435	-4.8043	-0.8792	45.0754	60.3867	0.7680	
675.3638	681.2500	5.8862	0.8640	2.7994	2.9581	2.9221	-0.1227	-4.3816	0.1378	0.1386	13.1225	3.7114	3.5366	-2.8111	4.3294	3.6437	3.6540	-0.0104	-0.2854	0.0000	30.6911	68.4467	92.0012	91.3183	-0.6829	-0.7478	535.1458	527.9608	-7.1849	-1.3609	230.6794	4.3139	588.3958	0.5913	nan	204.3498	199.7112	37.8271	89.7288	33.9418	81.6032	131.3773	0.9161	532.2976	-4.3368	-0.8214	44.6873	59.2231	0.7683	
687.6528	680.9091	-6.7437	-0.9904	2.6989	2.7274	2.8088	-0.1099	-4.0724	0.1360	0.1360	12.6084	3.6714	3.4339	-2.3991	4.2053	3.5140	3.5247	-0.0107	-0.3049	0.0000	29.7902	68.0341	91.0884	90.4722	-0.6162	-0.6811	515.6087	506.1891	-9.4196	-1.8609	230.3965	4.1656	563.6136	0.5873	nan	204.9582	192.4447	38.0185	89.8114	34.1449	89.8073	142.4014	0.9193	512.8979	-6.7088	-1.3253	44.1418	56.7897	0.7680	
688.3977	679.4000	-8.9977	-1.3244	2.5992	2.5901	2.6854	-0.0862	-3.3153	0.1327	0.1320	11.6773	3.4432	3.3941	-2.5192	4.1158	3.3846	3.3948	-0.0101	-0.2998	0.0000	28.7491	67.6434	90.1327	89.1571	-0.9756	-1.0943	494.1251	481.5520	-12.5731	-2.6109	229.9883	3.9967	535.8760	0.5830	nan	205.4268	184.9242	38.4017	89.8626	34.5088	96.4015	150.5828	0.9213	486.0599	-4.5079	-0.9361	43.4009	53.2204	0.7679	
675.6620	680.6667	5.0046	0.7353	2.4993	2.5613	2.5259	-0.0266	-1.0658	0.1308	0.1306	10.6009	3.3081	3.2033	-2.3497	3.9829	3.2585	3.2694	-0.0109	-0.3347	0.0000	27.6297	66.0278	87.7126	87.5882	-0.1244	-0.1421	454.5279	456.1550	1.6271	0.3567	229.8619	3.8194	507.5850	0.5782	nan	206.3207	178.1446	39.0535	89.8677	35.0965	101.8511	156.8717	0.9228	459.8669	-3.7119	-0.8137	42.4524	48.5620	0.7670	
670.2366	680.0000	9.7634	1.4358	2.4002	2.4808	2.4140	-0.0138	-0.5739	0.1272	0.1291	9.8141	3.1137	3.1560	-2.1099	3.8673	3.1334	3.1430	-0.0096	-0.3050	0.0000	26.2244	65.2850	86.2178	85.7990	-0.4188	-0.4881	432.2109	430.0636	-2.1473	-0.4993	229.9112	3.6300	478.5836	0.5734	nan	207.3777	170.9156	39.7420	89.8617	35.7128	106.3105	161.4965	0.9236	434.6237	-4.5601	-1.0603	41.3733	44.0636	0.7660	
672.0933	680.9091	8.8158	1.2947	2.2999	2.3484	2.2743	0.0256	1.1143	0.1262	0.1261	9.1633	3.0533	3.0008	-1.9569	3.7838	3.0100	3.0192	-0.0092	-0.3045	0.0000	25.9412	63.7181	84.2946	83.8207	-0.4739	-0.5654	405.7144	403.8191	-1.8953	-0.4694	230.0714	3.4391	449.5436	0.5681	nan	208.5929	163.9943	40.6108	89.8287	36.4802	109.5800	164.3608	0.9241	406.6398	-2.8207	-0.6985	40.1839	39.3777	0.7641	
680.0193	678.6364	-1.3829	-0.2038	2.1997	2.1722	2.1756	0.0241	1.0952	0.1234	0.1233	8.4539	2.8593	2.9597	-1.7530	3.6225	2.8853	2.8954	-0.0100	-0.3482	0.0000	24.1506	61.5278	81.0081	81.6654	0.6573	0.8049	376.8785	377.2255	0.3470	0.0920	230.2969	3.2418	420.2945	0.5630	nan	209.8349	156.3271	41.4413	89.7527	37.1947	112.1157	165.9028	0.9243	379.4523	-2.2268	-0.5903	38.9189	35.3066	0.7624	
