sBPM_OrcaH34_Dyno_Curves_Speed_Torque__230Vac_40C_20240805_155839
Report created on: 2024/08/05: 17:12:36


Step N. = 	0
Target Speed = 	381

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
378.6147	381.3077	2.6930	0.7063	2.9007	3.1303	3.0379	-0.1372	-4.7302	0.1390	0.1417	12.9650	3.5806	3.6209	-3.0937	4.3640	3.7514	3.7653	-0.0139	-0.3710	0.0000	23.9644	46.6556	64.2875	66.6798	2.3923	3.5877	382.0978	410.1615	28.0637	6.8421	230.8337	3.4407	469.9369	0.5917	nan	207.7081	115.8259	28.2405	87.2795	24.6480	49.9007	77.2002	0.9467	412.1080	-1.9464	-0.4746	32.1026	38.8334	0.7732	
377.7385	380.1667	2.4282	0.6387	2.7249	2.9535	2.9302	-0.2053	-7.5335	0.1392	0.1387	12.5753	3.5837	3.5106	-2.5839	4.2734	3.5183	3.5341	-0.0157	-0.4473	0.0000	25.1496	47.9279	66.3172	65.8689	-0.4482	-0.6805	387.6455	381.9625	-5.6830	-1.4878	230.7247	3.2635	435.4392	0.5783	nan	209.2467	108.4816	28.4016	87.7188	24.9135	58.7606	93.6015	0.9516	385.7610	-3.7985	-0.9945	31.4791	41.4439	0.7745	
376.9570	381.5833	4.6263	1.2124	2.5496	2.7331	2.6957	-0.1461	-5.7299	0.1338	0.1340	10.8881	3.2452	3.3569	-2.3896	4.0765	3.2921	3.3054	-0.0133	-0.4047	0.0000	24.0124	47.2432	64.9460	64.1793	-0.7667	-1.1946	354.9296	349.2600	-5.6696	-1.6233	230.5404	3.0334	397.5383	0.5685	nan	210.6055	101.8796	29.1701	87.8556	25.6276	66.5978	105.5941	0.9544	352.6975	-3.4375	-0.9842	30.4737	38.5790	0.7745	
378.5990	381.8182	3.2192	0.8431	2.3744	2.4979	2.4525	-0.0781	-3.2909	0.1287	0.1291	9.2880	2.9308	3.1715	-2.0828	3.8210	3.0703	3.0824	-0.0122	-0.3962	0.0000	21.9167	45.5114	61.8791	61.8543	-0.0248	-0.0401	312.9064	314.4091	1.5027	0.4780	230.6352	2.7783	357.8636	0.5585	nan	212.1262	94.9361	30.1953	87.8572	26.5288	72.9352	113.8602	0.9559	317.2756	-2.8665	-0.9117	29.1592	33.8903	0.7733	
378.8453	381.8182	2.9729	0.7786	2.1992	2.2798	2.2302	-0.0310	-1.4082	0.1240	0.1255	7.9237	2.6465	2.9920	-1.7238	3.6335	2.8511	2.8620	-0.0109	-0.3818	0.0000	20.3480	44.1450	59.5533	59.1333	-0.4200	-0.7103	279.1365	279.3118	0.1753	0.0628	230.7576	2.5125	318.5018	0.5493	nan	213.7535	87.9320	31.4817	87.6955	27.6080	77.9141	119.3629	0.9565	282.8034	-3.4916	-1.2501	27.6642	28.6521	0.7713	
380.1164	381.3333	1.2170	0.3191	2.0245	2.0691	2.0464	-0.0219	-1.0831	0.1203	0.1210	6.8676	2.4185	2.8378	-1.4994	3.4237	2.6353	2.6457	-0.0103	-0.3926	0.0000	18.5234	42.1391	56.3897	56.1255	-0.2642	-0.4707	246.7043	245.0775	-1.6268	-0.6638	230.8195	2.2489	280.2717	0.5399	nan	215.2876	80.8449	32.9875	87.4428	28.8452	81.4624	122.4118	0.9566	249.5814	-4.5039	-1.8377	26.0700	23.5655	0.7682	
383.5277	380.0000	-3.5277	-0.9283	1.8496	1.8501	1.8591	-0.0096	-0.5169	0.1169	0.1170	5.6973	2.1528	2.6475	-1.2334	3.1981	2.4176	2.4292	-0.0117	-0.4835	0.0000	16.6894	40.0576	53.1521	52.8806	-0.2715	-0.5135	212.9390	211.7622	-1.1767	-0.5557	230.7834	1.9871	243.2278	0.5304	nan	216.6506	73.6004	34.7562	87.0634	30.2600	83.7426	123.4836	0.9563	214.4768	-2.7146	-1.2819	24.4082	18.8968	0.7651	
384.8878	380.3846	-4.5031	-1.1838	1.6738	1.6572	1.6772	-0.0034	-0.2048	0.1135	0.1134	4.7452	1.9230	2.4655	-0.9638	2.9739	2.1940	2.2112	-0.0171	-0.7814	0.0000	14.5829	38.2531	50.1434	49.4114	-0.7320	-1.4815	183.5244	179.4792	-4.0452	-2.2538	230.7206	1.7283	207.2300	0.5197	nan	217.9457	66.6725	37.1479	86.6087	32.1733	84.9454	122.8981	0.9558	183.1698	-3.6905	-2.0563	22.6714	14.1910	0.7629	
384.4039	381.8182	-2.5857	-0.6772	1.5000	1.4832	1.5074	-0.0074	-0.4908	0.1107	0.1105	3.7967	1.6719	2.2700	-0.7371	2.7299	1.9777	1.9919	-0.0142	-0.7176	0.0000	12.8321	35.9137	46.7139	45.9620	-0.7519	-1.6360	154.5554	150.4218	-4.1336	-2.7480	230.6706	1.4898	175.0300	0.5093	nan	219.1011	59.9760	39.8721	85.9406	34.2663	85.2915	120.9332	0.9554	153.4923	-3.0705	-2.0412	20.9775	10.2274	0.7585	
385.1548	379.4615	-5.6932	-1.5003	1.3240	1.3107	1.3403	-0.0163	-1.2295	0.1079	0.1075	2.9714	1.4348	2.0698	-0.5284	2.4453	1.7604	1.7723	-0.0119	-0.6783	0.0000	10.4037	33.6437	43.1310	42.4742	-0.6568	-1.5463	126.8652	123.7431	-3.1221	-2.5231	230.5394	1.2645	145.2892	0.4984	nan	220.1250	52.6119	42.5171	85.1702	36.2120	84.8488	117.9802	0.9555	126.8657	-3.1226	-2.5235	19.2955	7.6678	0.7521	
380.0487	380.1667	0.1180	0.0310	1.1493	1.1862	1.1663	-0.0170	-1.4793	0.1049	0.1053	2.0965	1.1327	1.8498	-0.3397	2.1583	1.5377	1.5485	-0.0108	-0.7047	0.0000	8.4122	31.3115	39.7098	38.8982	-0.8116	-2.0866	101.1955	99.1358	-2.0597	-2.0777	230.2702	1.0516	117.8617	0.4867	nan	220.8675	45.7561	46.1550	84.1121	38.8220	83.6993	114.1007	0.9569	101.8188	-2.6830	-2.7063	17.6115	5.1367	0.7474	
379.6033	381.3333	1.7300	0.4537	0.9739	1.0296	1.0138	-0.0398	-4.0912	0.1028	0.1028	1.3481	0.8194	1.6436	-0.2505	1.8163	1.3036	1.3134	-0.0098	-0.7501	0.0000	5.9998	28.7625	35.9898	35.1453	-0.8444	-2.4027	78.3201	76.3750	-1.9451	-2.5468	230.1532	0.8470	92.3533	0.4738	nan	221.6360	38.8915	50.9219	82.6987	42.1118	82.0530	109.7364	0.9624	78.7940	-2.4190	-3.1673	15.8572	2.9963	0.7471	
383.4268	381.6000	-1.8268	-0.4787	0.7990	0.8333	0.8606	-0.0616	-7.7089	0.1008	0.1002	0.8641	0.6050	1.4268	-0.1529	1.5083	1.0685	1.0812	-0.0127	-1.1854	0.0000	4.1446	26.4692	32.8156	31.4504	-1.3652	-4.3407	60.4142	56.4620	-3.9522	-6.9997	230.3291	0.6569	70.0030	0.4626	nan	222.6005	31.9289	56.5492	80.6566	45.6107	80.0384	105.1739	0.9701	59.7074	-3.2454	-5.7479	14.1286	1.5169	0.7478	
381.9786	381.0000	-0.9786	-0.2568	0.6253	0.6683	0.6692	-0.0440	-7.0306	0.0980	0.0981	0.3857	0.3362	1.1427	-0.1366	1.1876	0.8323	0.8445	-0.0122	-1.4700	0.0000	2.5401	24.0246	29.5900	27.8322	-1.7578	-6.3157	42.4799	39.3382	-3.1417	-7.9864	230.5749	0.4913	50.5800	0.4465	nan	223.4128	24.9471	63.4171	77.7744	49.3224	77.7915	100.4803	0.9805	42.2860	-2.9478	-7.4936	12.4577	0.5296	0.7513	
381.9777	382.0909	0.1133	0.0296	0.4495	0.4854	0.4782	-0.0286	-6.3728	0.0957	0.0958	0.1213	0.1458	0.8370	-0.0888	0.8479	0.5967	0.6129	-0.0162	-2.7079	0.0000	1.1427	21.2921	26.1161	24.4212	-1.6949	-6.9402	27.0083	24.9482	-2.0601	-8.2575	230.5990	0.3476	34.2127	0.4269	nan	224.2873	17.9875	72.1011	72.9206	52.5762	75.3548	95.8808	0.9884	27.3881	-2.4399	-9.7798	10.8883	-0.1071	0.7533	
383.6475	380.0769	-3.5705	-0.9394	0.2774	0.2934	0.3042	-0.0268	-9.6795	0.0944	0.0943	0.1076	0.2007	0.5372	0.0909	0.5583	0.3792	0.4063	-0.0271	-7.1429	0.0000	1.1038	18.8916	23.1775	21.9023	-1.2752	-5.8223	15.5694	13.6131	-1.9563	-14.3710	230.4867	0.2294	21.2462	0.4019	nan	224.9583	11.0404	81.1099	64.0710	51.9666	72.9651	91.5348	0.9462	15.4407	-1.8276	-13.4256	9.7362	-0.2587	0.7315	
