Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7336	0.0000	-0.0410	0.0050	0.0000	0.0000	-0.0100	230.6490	0.0300	2.1900	44.0626	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4699	0.0000	-0.0410	0.0050	0.0000	0.0000	-0.0100	230.5420	0.0000	2.2000	44.0545	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.2015	0.0000	-0.0410	0.0050	0.0000	0.0000	-0.0100	230.4830	0.0000	2.1900	44.0331	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.9389	0.0000	-0.0420	0.0050	0.0000	0.0000	-0.0100	230.3660	0.0000	2.1900	43.9633	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.6750	0.0000	-0.0410	0.0050	0.0000	0.0000	-0.0100	230.3100	0.0000	2.1900	43.9306	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.4314	0.0000	-0.0410	0.0050	0.0000	0.0000	-0.0100	230.2100	0.0000	2.2000	43.9051	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.4403	0.0000	-0.0410	0.0050	0.0000	0.0000	-0.0100	230.2100	0.0000	2.2000	43.9051	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.1469	4.6407	3.7273	-3.6651	4.6899	0.0000	0.0000	320.5936	0.0000	55.0537	5.9522	0.0056	25.0000
5.0466	0.0000	-0.0410	0.0050	0.0000	0.0000	-0.0100	230.2100	0.0000	2.2000	43.9051	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.1469	4.6407	3.7273	-3.6651	4.6899	0.0000	0.0000	320.4799	0.0000	55.0252	5.9522	0.0051	25.0000
5.6509	0.0000	-0.0410	0.0050	0.0000	0.0000	-0.0100	230.0810	0.0000	2.1900	43.8177	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.1469	4.6407	3.7273	-3.6651	4.6899	0.0000	0.0000	320.3919	0.0000	54.9966	5.9522	0.0048	25.0000
6.2565	0.0000	-0.0410	0.0050	0.0000	0.0000	-0.0100	230.0810	0.0000	2.1900	43.8177	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.1469	4.6407	3.7273	-3.6651	4.6899	0.0000	0.0000	320.2892	0.0000	54.9685	5.9522	0.0054	25.0000
6.6723	0.0000	-0.0410	0.0050	0.0000	0.0000	-0.0100	230.0810	0.0000	2.1900	43.8177	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.1469	4.6407	3.7273	-3.6651	4.6899	0.0000	0.0000	320.1850	0.0000	54.9406	5.9522	0.0048	25.0000
6.8621	0.0000	-0.0410	0.0050	0.0000	0.0000	-0.0100	230.0810	0.0000	2.1900	43.8177	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.1469	4.6407	3.7273	-3.6651	4.6899	0.0000	0.0000	320.1850	0.0000	54.9406	5.9522	0.0048	25.0000
7.4280	0.0000	-0.0410	0.0050	0.0000	0.0000	-0.0100	230.0630	0.0000	2.1900	43.7474	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.1469	4.6407	3.7273	-3.6651	4.6899	0.0000	0.0000	320.1065	0.0000	54.9128	5.9522	0.0050	25.0000
7.4677	0.0000	-0.0410	0.0050	0.0000	0.0000	-0.0100	230.0630	0.0000	2.1900	43.7474	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.1469	4.6407	3.7273	-3.6651	4.6899	0.0000	0.0000	320.1065	0.0000	54.9128	5.9522	0.0050	25.0000
