Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	SR_SquaredCurrentRmsA	SR_SquaredCurrentRmsB	SR_SquaredCurrentRmsC
0.7327	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	230.9140	0.0171	1.3420	38.4393	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4606	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	230.9400	0.0268	1.7250	38.4098	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.5474	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	230.9400	0.0268	1.7250	38.4098	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.6626	0.0000	74.0289	2.1635	0.0052	48.8262	0.0000	0.0000	0.0000
2.1612	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	230.9500	0.0171	1.3390	38.3861	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.6896	0.0000	73.9979	2.1635	0.0056	48.8262	0.0000	0.0000	0.0000
2.1882	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	230.9500	0.0171	1.3390	38.3861	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.6896	0.0000	73.9979	2.1635	0.0056	48.8262	0.0000	0.0000	0.0000
2.7716	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0000	230.9700	0.0171	1.3380	38.3549	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.6950	0.0000	73.9689	2.1635	0.0055	48.8203	0.0000	0.0000	0.0000
2.9154	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0000	230.9700	0.0171	1.3380	38.3549	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.6950	0.0000	73.9689	2.1635	0.0055	48.8203	0.0000	0.0000	0.0000
3.3905	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	230.9800	0.0171	1.3350	38.3136	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7126	0.0000	73.9396	2.1635	0.0052	48.8144	0.0000	0.0000	0.0000
3.6446	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	230.9800	0.0171	1.3350	38.3136	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7126	0.0000	73.9396	2.1635	0.0052	48.8144	0.0000	0.0000	0.0000
4.0099	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	230.9800	0.0171	1.3350	38.3136	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7140	0.0000	73.9113	2.1635	0.0053	48.8144	0.0000	0.0000	0.0000
4.3887	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	230.9930	0.0171	1.3400	38.3165	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7194	0.0000	73.8848	2.1635	0.0050	48.8085	0.0000	0.0000	0.0000
4.6099	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	230.9930	0.0171	1.3400	38.3165	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7194	0.0000	73.8848	2.1635	0.0050	48.8085	0.0000	0.0000	0.0000
5.1275	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0000	230.9980	0.0171	1.3380	38.3200	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7410	0.0000	73.8592	2.1635	0.0052	48.8026	0.0000	0.0000	0.0000
5.2105	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0000	230.9980	0.0171	1.3380	38.3200	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7410	0.0000	73.8592	2.1635	0.0052	48.8026	0.0000	0.0000	0.0000
5.8351	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	231.0040	0.0171	1.3370	38.2618	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7113	0.0000	73.8342	2.1635	0.0051	48.8026	0.0000	0.0000	0.0000
5.8589	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	231.0040	0.0171	1.3370	38.2618	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7113	0.0000	73.8342	2.1635	0.0051	48.8026	0.0000	0.0000	0.0000
6.4528	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	231.0070	0.0171	1.3370	38.2325	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7316	0.0000	73.8090	2.1635	0.0050	48.7967	0.0000	0.0000	0.0000
6.5866	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	231.0070	0.0171	1.3370	38.2325	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7316	0.0000	73.8090	2.1635	0.0050	48.7967	0.0000	0.0000	0.0000
7.0541	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	231.0080	0.0170	1.3350	38.2254	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7045	0.0000	73.7845	2.1635	0.0051	48.7967	0.0000	0.0000	0.0000
7.3234	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	231.0080	0.0170	1.3350	38.2254	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7045	0.0000	73.7845	2.1635	0.0051	48.7967	0.0000	0.0000	0.0000
7.6704	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	231.0080	0.0170	1.3350	38.2254	NOT CONNECTED	0.0000	465.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7221	0.0000	73.7616	2.1635	0.0053	48.7908	0.0000	0.0000	0.0000
8.0521	0.0000	-0.0410	0.0000	0.0000	0.0000	0.0000	231.0060	0.0171	1.3350	38.2110	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0378	-2.0108	-0.7983	-2.1413	-0.3092	0.0000	0.0000	321.7005	0.0000	73.7384	2.1635	0.0051	48.7850	0.0000	0.0000	0.0000
