WindyBPMp50_330uF__HefeiH24_ID12__HighSpeedPower_230Vac_20250603_103940
Report created on: 2025/06/03: 10:46:18


Step N. = 	0
Target Speed = 	16300

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
16296.4113	16296.4113	0.0000	0.0000	0.1780	0.2005	0.1877	-0.0097	-5.4324	0.0238	0.0235	-3.1837	-2.4124	1.3282	-2.7583	0.3368	1.9366	1.9145	0.0221	1.1418	0.0000	-10.7209	177.0859	217.3549	210.6665	-6.6884	-3.1749	390.6065	366.6800	-23.9265	-6.5252	230.7038	2.3374	392.5450	0.7280	nan	207.7861	303.7670	82.8417	93.4108	77.3831	40.8645	71.7514	0.5189	400.5001	-33.8201	-9.2233	101.3862	28.5357	0.0919	
16302.2903	16302.2903	0.0000	0.0000	0.1950	0.2039	0.2204	-0.0254	-13.0428	0.0226	0.0240	-3.5911	-2.2927	1.5661	-2.6560	0.3463	1.9496	1.9187	0.0309	1.5850	0.0000	-10.4289	171.7965	210.7947	209.9340	-0.8607	-0.4100	439.4871	386.5980	-52.8891	-13.6806	230.6142	2.4519	413.4940	0.7313	nan	207.3059	332.8985	86.1097	93.4954	80.5087	41.2354	72.0738	0.5453	415.1530	-28.5550	-7.3862	101.2677	18.8050	0.1000	
16300.4555	16300.4555	0.0000	0.0000	0.2112	0.2194	0.2552	-0.0439	-20.7942	0.0226	0.0239	-4.2701	-2.2251	1.9203	-2.7379	0.3685	1.9632	1.9467	0.0166	0.8431	0.0000	-3.6108	172.2364	210.9958	209.2805	-1.7153	-0.8196	508.3740	408.9892	-99.3848	-24.3001	230.4665	2.5807	437.0050	0.7347	nan	206.7383	360.5999	88.1724	93.5890	82.5197	41.6556	72.3935	0.5747	442.9145	-33.9253	-8.2949	101.2297	12.9477	0.1076	
16304.3079	16304.3079	0.0000	0.0000	0.2297	0.2358	0.2143	0.0154	6.7189	0.0232	0.0228	-3.5912	-2.3654	1.5170	-2.8251	0.3405	1.9909	1.9798	0.0111	0.5578	0.0000	-9.5245	177.0338	217.1668	207.9081	-9.2586	-4.4532	436.5655	446.8186	10.2530	2.2947	230.2944	2.7979	477.0171	0.7403	nan	205.8106	392.2102	87.7785	93.6693	82.2216	42.0841	72.7281	0.6232	484.8006	-37.9821	-8.5006	101.0191	18.0984	0.1154	
16294.1593	16294.1593	0.0000	0.0000	0.2475	0.2659	0.2647	-0.0172	-6.9611	0.0219	0.0228	-4.3657	-2.1757	2.0167	-3.0085	0.4277	2.0127	1.9941	0.0186	0.9227	0.0000	-4.6426	169.1953	207.3280	207.1523	-0.1757	-0.0848	525.3749	477.7250	-47.6499	-9.9743	230.2838	2.9735	509.7167	0.7444	nan	205.3584	422.3148	88.4011	93.7236	82.8527	42.4538	73.0278	0.6615	510.2141	-32.4891	-6.8008	100.8736	18.0401	0.1230	
16301.5566	16301.5566	0.0000	0.0000	0.2621	0.2719	0.3135	-0.0514	-19.6110	0.0224	0.0232	-4.4176	-1.8584	2.3807	-2.8579	0.4745	2.0335	2.0202	0.0133	0.6541	0.0000	-5.0672	174.8553	214.2495	206.4543	-7.7953	-3.7758	638.5502	504.2513	-134.2989	-26.6333	230.4499	3.1218	537.8262	0.7476	nan	205.0486	447.4726	88.7442	93.7572	83.2041	42.8362	73.3140	0.6935	544.7595	-40.5082	-8.0333	100.6855	18.5744	0.1289	
16298.1141	16298.1141	0.0000	0.0000	0.2806	0.2932	0.3301	-0.0495	-17.6549	0.0238	0.0219	-4.5235	-1.9039	2.3842	-3.1212	0.5359	2.0609	2.0387	0.0222	1.0780	0.0000	-5.5830	178.7092	218.9831	205.6236	-13.3595	-6.4971	654.5859	536.1660	-118.4199	-22.0864	230.5976	3.3016	571.8100	0.7511	nan	204.6234	478.9096	89.3217	93.7664	83.7537	43.2039	73.6005	0.7305	584.6163	-48.4503	-9.0364	100.4888	17.9579	0.1362	
16300.4717	16300.4717	0.0000	0.0000	0.2984	0.3054	0.2663	0.0321	10.7507	0.0235	0.0219	-3.9810	-2.1559	1.8475	-3.0328	0.5330	2.0877	2.0749	0.0128	0.6119	0.0000	-8.8694	177.2715	217.4626	204.6667	-12.7959	-6.2521	519.7436	564.5917	44.8481	7.9435	230.6284	3.4624	602.1717	0.7541	nan	204.2257	509.3918	90.2232	93.7592	84.5925	43.5924	73.9355	0.7629	609.1115	-44.5198	-7.8853	100.2159	14.8091	0.1429	
16300.2053	16300.2053	0.0000	0.0000	0.3149	0.3247	0.3039	0.0110	3.4952	0.0227	0.0229	-4.1532	-1.8627	2.2705	-2.9584	0.5221	2.1212	2.1092	0.0120	0.5668	0.0000	-5.9605	174.9453	214.5063	203.5931	-10.9131	-5.3603	612.6207	597.8043	-14.8164	-2.4785	230.6121	3.6507	637.7814	0.7576	nan	203.6541	537.4464	89.9039	93.7319	84.2687	44.0071	74.2942	0.7992	638.4126	-40.6083	-6.7929	99.9701	18.5921	0.1484	
16302.4666	16302.4666	0.0000	0.0000	0.3315	0.3388	0.3971	-0.0656	-19.7909	0.0221	0.0227	-3.6683	-1.1884	3.0837	-3.0676	0.5617	2.1571	2.1512	0.0059	0.2717	0.0000	-2.0952	170.5842	208.9467	202.5235	-6.4232	-3.1716	792.4388	629.4950	-162.9438	-25.8849	230.5765	3.8316	671.9850	0.7606	nan	203.1185	565.9333	89.9031	93.6769	84.2185	44.3718	74.6276	0.8319	676.0292	-46.5342	-7.3923	99.7071	20.3063	0.1537	
