Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	SR_SquaredCurrentRmsA	SR_SquaredCurrentRmsB	SR_SquaredCurrentRmsC
0.7581	0.0000	-0.0140	0.0052	0.0000	0.0000	-0.0100	231.0130	0.0000	1.3800	29.8730	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.5044	0.0000	-0.0140	0.0052	0.0000	0.0000	-0.0100	231.0150	0.0000	1.3800	29.8919	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.5237	0.0000	-0.0140	0.0052	0.0000	0.0000	-0.0100	231.0150	0.0000	1.3800	29.8919	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1133	0.0000	25.0000	0.0000	0.0051	39.8916	0.0000	0.0000	0.0000
2.1456	0.0000	-0.0140	0.0052	0.0000	0.0000	-0.0100	231.0140	0.0000	1.3800	29.8822	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1051	0.0000	25.0000	0.0000	0.0052	39.8885	0.0000	0.0000	0.0000
2.2435	0.0000	-0.0140	0.0052	0.0000	0.0000	-0.0100	231.0140	0.0000	1.3800	29.8822	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1051	0.0000	25.0000	0.0000	0.0052	39.8885	0.0000	0.0000	0.0000
2.7666	0.0000	-0.0140	0.0052	0.0000	0.0000	-0.0100	231.0070	0.0000	1.3800	29.8910	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1160	0.0000	25.0000	0.0000	0.0050	39.8854	0.0000	0.0000	0.0000
3.2105	0.0000	-0.0140	0.0052	0.0000	0.0000	-0.0100	231.0070	0.0000	1.3800	29.8910	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1106	0.0000	25.0000	0.0000	0.0053	39.8854	0.0000	0.0000	0.0000
3.3872	0.0000	-0.0140	0.0052	0.0000	0.0000	-0.0100	231.0070	0.0000	1.3800	29.8910	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1106	0.0000	25.0000	0.0000	0.0053	39.8854	0.0000	0.0000	0.0000
3.9621	0.0000	-0.0140	0.0052	0.0000	0.0000	-0.0100	231.0020	0.0000	1.3800	29.9141	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0862	0.0000	25.0000	0.0000	0.0054	39.8824	0.0000	0.0000	0.0000
4.0084	0.0000	-0.0140	0.0052	0.0000	0.0000	-0.0100	231.0020	0.0000	1.3800	29.9141	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0862	0.0000	25.0000	0.0000	0.0054	39.8824	0.0000	0.0000	0.0000
