WindyBPMp50_330uF__HefeiH24_LowSpeedTorque_230Vac_20250620_163218
Report created on: 2025/06/20: 16:36:19


Step N. = 	0
Target Speed = 	582

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
565.8753	567.2222	1.3469	0.2375	2.6002	2.7762	2.6492	-0.0490	-1.8843	0.1285	0.1278	16.3779	4.7200	3.4711	-2.4059	5.5171	4.1943	4.2262	-0.0319	-0.7613	0.0000	14.8363	42.2038	54.7955	53.6263	-1.1691	-2.1802	324.6732	323.8267	-0.8466	-0.2614	230.5121	2.3085	390.8111	0.7344	nan	206.1286	154.4516	47.6958	82.8601	39.5208	32.7934	61.7521	0.8312	340.9130	-17.0863	-5.2764	26.0159	13.3691	0.6199	
579.7752	582.0000	2.2248	0.3823	2.5002	2.6307	2.6764	-0.1761	-7.0433	0.1253	0.1239	15.9010	4.4597	3.5681	-2.2044	5.1431	3.9601	3.9912	-0.0311	-0.7845	0.0000	13.9692	42.4922	54.8398	53.0725	-1.7673	-3.3300	320.7839	304.9150	-15.8689	-5.2044	230.4133	2.1778	364.6450	0.7267	nan	207.5171	152.3824	49.9754	83.6197	41.7892	35.1581	63.9366	0.8376	320.3071	-15.3921	-5.0480	25.5750	12.0871	0.6314	
585.4079	581.5000	-3.9079	-0.6720	2.4005	2.4870	2.5078	-0.1073	-4.4696	0.1207	0.1212	13.9706	4.0444	3.4557	-1.8956	4.9634	3.7408	3.7704	-0.0296	-0.7920	0.0000	13.5799	41.0724	53.0046	51.7139	-1.2907	-2.4958	295.3937	283.3950	-11.9987	-4.2339	230.5727	2.0340	337.7250	0.7201	nan	208.6829	146.1773	51.5808	83.9130	43.2829	37.1987	65.2585	0.8458	296.0528	-12.6578	-4.4665	24.7811	10.8427	0.6417	
581.0353	582.6667	1.6314	0.2800	2.2999	2.3957	2.3852	-0.0853	-3.7079	0.1189	0.1183	12.5153	3.7509	3.3396	-1.8396	4.6695	3.5312	3.5596	-0.0284	-0.8043	0.0000	11.8187	40.9446	52.1975	50.3446	-1.8530	-3.6806	271.7352	262.7000	-9.0352	-3.4394	230.7530	1.8961	312.4422	0.7141	nan	209.6262	140.3317	53.4190	84.0795	44.9145	38.8063	66.0328	0.8532	274.1004	-11.4004	-4.3397	24.0164	9.0198	0.6513	
581.3651	582.5000	1.1349	0.1948	2.2000	2.2834	2.3127	-0.1127	-5.1242	0.1163	0.1158	11.4207	3.4316	3.3285	-1.6918	4.4780	3.3384	3.3647	-0.0262	-0.7859	0.0000	11.6927	39.3204	50.2522	49.0648	-1.1874	-2.4201	256.4307	243.9550	-12.4757	-5.1139	230.8353	1.7717	289.8475	0.7087	nan	210.3654	134.1984	55.0095	84.1667	46.2996	40.1612	66.4893	0.8599	253.5010	-9.5460	-3.9130	23.3236	7.8862	0.6590	
583.8507	582.5000	-1.3507	-0.2319	2.1000	2.1726	2.1871	-0.0871	-4.1487	0.1148	0.1147	10.1382	3.2013	3.1674	-1.5038	4.2980	3.1737	3.1993	-0.0256	-0.8075	0.0000	10.7646	38.8722	49.4003	48.1330	-1.2673	-2.6330	236.3808	228.1800	-8.2008	-3.5940	230.8782	1.6673	271.0275	0.7041	nan	210.9642	128.0984	56.1392	84.1907	47.2640	41.0442	66.7624	0.8624	236.5046	-8.3246	-3.6483	22.8157	7.6897	0.6617	
580.6428	582.7778	2.1350	0.3663	2.0008	2.0801	2.0545	-0.0537	-2.6843	0.1142	0.1141	9.1260	3.0459	2.9967	-1.1915	4.0916	2.9966	3.0200	-0.0235	-0.7830	0.0000	10.0115	38.1302	48.2830	47.2644	-1.0186	-2.1550	217.1253	211.2967	-5.8286	-2.7585	230.8754	1.5556	250.9422	0.6987	nan	211.5387	122.1042	57.7881	84.2013	48.6583	41.7927	66.9066	0.8613	218.6741	-7.3774	-3.4915	22.3432	6.5748	0.6677	
581.8703	582.5000	0.6297	0.1081	1.9007	1.9633	1.9355	-0.0348	-1.8283	0.1136	0.1137	8.0837	2.8494	2.8374	-0.9545	3.9021	2.8261	2.8487	-0.0225	-0.7977	0.0000	9.3524	37.3309	47.1339	46.3920	-0.7419	-1.5991	198.8554	195.2100	-3.6454	-1.8674	230.7797	1.4491	231.9125	0.6935	nan	211.9940	115.9443	59.3946	84.1740	49.9948	42.3701	66.9605	0.8596	202.2677	-7.0577	-3.6155	21.8836	5.6101	0.6726	
584.4079	582.8571	-1.5507	-0.2661	1.7997	1.8411	1.8555	-0.0558	-3.1023	0.1134	0.1134	7.1518	2.6190	2.7307	-0.7172	3.7184	2.6669	2.6883	-0.0214	-0.8024	0.0000	8.7931	36.9625	46.5330	45.5909	-0.9421	-2.0665	185.9424	180.2457	-5.6966	-3.1605	230.5899	1.3506	214.3371	0.6882	nan	212.3331	109.8486	60.9438	84.0945	51.2503	42.6413	66.9539	0.8559	186.0874	-5.8417	-3.2410	21.4714	4.7374	0.6748	
584.6895	583.8000	-0.8895	-0.1524	1.6998	1.7331	1.7670	-0.0672	-3.9507	0.1132	0.1132	6.3953	2.4590	2.6008	-0.4938	3.5666	2.5171	2.5362	-0.0191	-0.7588	0.0000	8.3550	36.5050	45.8655	44.8221	-1.0434	-2.3279	173.2226	166.3120	-6.9106	-4.1552	230.4938	1.2579	198.0350	0.6830	nan	212.7918	103.9181	62.4838	83.9811	52.4746	42.7823	66.9099	0.8511	171.6402	-5.3282	-3.2037	21.0638	3.8685	0.6753	
