Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7423	0.0000	-0.0130	0.0000	0.0000	0.0000	-0.0100	230.3670	0.0000	1.3100	42.5816	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4705	0.0000	-0.0130	0.0000	0.0000	0.0000	-0.0100	230.3670	0.0000	1.3100	42.5563	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.7380	0.0000	-0.0130	0.0000	0.0000	0.0000	-0.0100	230.3670	0.0000	1.3100	42.5563	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-2.0225	0.5634	-2.0805	0.2821	0.0000	0.0000	320.5746	0.0000	13.6047	2.0995	0.0053	41.5831
2.2172	0.0000	-0.0130	0.0000	0.0000	0.0000	-0.0100	230.3690	0.0000	1.3000	42.5443	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-2.0225	0.5634	-2.0805	0.2821	0.0000	0.0000	320.5963	0.0000	13.5875	2.0995	0.0052	41.5831
2.3278	0.0000	-0.0130	0.0000	0.0000	0.0000	-0.0100	230.3690	0.0000	1.3000	42.5443	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-2.0225	0.5634	-2.0805	0.2821	0.0000	0.0000	320.5963	0.0000	13.5875	2.0995	0.0052	41.5831
2.9338	0.0000	-0.0110	0.0000	0.0000	0.0000	-0.0100	230.3740	0.0000	1.3200	42.4906	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-2.0225	0.5634	-2.0805	0.2821	0.0000	0.0000	320.5584	0.0000	13.5710	2.0995	0.0060	41.5331
2.9559	0.0000	-0.0110	0.0000	0.0000	0.0000	-0.0100	230.3740	0.0000	1.3200	42.4906	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-2.0225	0.5634	-2.0805	0.2821	0.0000	0.0000	320.5584	0.0000	13.5710	2.0995	0.0060	41.5331
3.5390	0.0000	-0.0140	0.0000	0.0000	0.0000	-0.0100	230.3770	0.0000	1.3100	42.4407	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-2.0225	0.5634	-2.0805	0.2821	0.0000	0.0000	320.6139	0.0000	13.5554	2.0995	0.0057	41.4833
3.6944	0.0000	-0.0140	0.0000	0.0000	0.0000	-0.0100	230.3770	0.0000	1.3100	42.4407	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-2.0225	0.5634	-2.0805	0.2821	0.0000	0.0000	320.6139	0.0000	13.5554	2.0995	0.0057	41.4833
4.1454	0.0000	-0.0140	0.0000	0.0000	0.0000	-0.0100	230.3850	0.0000	1.3100	42.4007	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-2.0225	0.5634	-2.0805	0.2821	0.0000	0.0000	320.5719	0.0000	13.5403	2.0995	0.0050	41.4833
