Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	My_Measured_Temp
0.7317	0.0000	-0.0090	0.0079	0.0000	0.0000	-0.0200	230.6550	0.0000	1.5100	30.0768	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4667	0.0000	-0.0060	0.0080	0.0000	0.0000	-0.0200	230.6240	0.0000	1.5100	30.0615	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.8360	0.0000	-0.0070	0.0079	0.0000	0.0000	-0.0200	230.6130	0.0000	1.5100	30.0622	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-1.4547	-0.6285	-1.5426	-0.3631	0.0000	0.0000	320.9874	0.0000	28.7536	1.5847	0.0054	48.1126	28.7536
2.1979	0.0000	-0.0070	0.0079	0.0000	0.0000	-0.0200	230.6130	0.0000	1.5100	30.0622	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-1.4547	-0.6285	-1.5426	-0.3631	0.0000	0.0000	320.9157	0.0000	28.7536	1.5847	0.0053	48.1126	28.7536
2.4577	0.0000	-0.0070	0.0079	0.0000	0.0000	-0.0200	230.6130	0.0000	1.5100	30.0622	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-1.4547	-0.6285	-1.5426	-0.3631	0.0000	0.0000	320.9157	0.0000	28.7536	1.5847	0.0053	48.1126	28.7536
2.9455	0.0000	-0.0070	0.0080	0.0000	0.0000	-0.0200	230.5900	0.0000	1.5100	30.0483	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-1.4547	-0.6285	-1.5426	-0.3631	0.0000	0.0000	320.8968	0.0000	28.7536	1.5847	0.0057	48.0315	28.7536
3.0788	0.0000	-0.0070	0.0080	0.0000	0.0000	-0.0200	230.5900	0.0000	1.5100	30.0483	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-1.4547	-0.6285	-1.5426	-0.3631	0.0000	0.0000	320.8968	0.0000	28.7536	1.5847	0.0057	48.0315	28.7536
3.6771	0.0000	-0.0070	0.0080	0.0000	0.0000	-0.0200	230.5790	0.0000	1.5100	30.0555	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-1.4547	-0.6285	-1.5426	-0.3631	0.0000	0.0000	320.8237	0.0000	28.7536	1.5847	0.0054	48.0315	28.7536
3.7003	0.0000	-0.0070	0.0080	0.0000	0.0000	-0.0200	230.5790	0.0000	1.5100	30.0555	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-1.4547	-0.6285	-1.5426	-0.3631	0.0000	0.0000	320.8237	0.0000	28.7536	1.5847	0.0054	48.0315	28.7536
4.3066	0.0000	-0.0080	0.0080	0.0000	0.0000	-0.0200	230.5600	0.0000	1.5200	30.0439	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.0527	-1.4547	-0.6285	-1.5426	-0.3631	0.0000	0.0000	320.9103	0.0000	28.7536	1.5847	0.0053	47.9512	28.7536
