WindyBPMp50_AtlasH32_Dyno_Speed_Torque__230Vac_40C_20241120_144232
Report created on: 2024/11/20: 15:18:33


Step N. = 	0
Target Speed = 	349

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
349.7719	349.2222	-0.5496	-0.1574	3.1011	3.4287	3.3967	-0.2956	-9.5305	0.1408	0.1408	15.6819	3.9041	4.0192	-1.9487	5.3589	3.9789	4.0100	-0.0311	-0.7828	0.0000	14.7097	34.6939	46.1640	45.2890	-0.8750	-1.9320	295.5336	288.6944	-6.8392	-2.3690	230.2794	2.0815	346.9311	0.7238	nan	207.5067	113.4092	39.2836	83.2137	32.6893	41.6290	47.9320	0.9250	299.1653	-10.4708	-3.6270	21.8253	7.0371	0.7794	
356.6612	347.7500	-8.9112	-2.5625	3.0011	3.3156	3.3154	-0.3142	-10.4711	0.1394	0.1388	15.0055	3.7985	3.9500	-1.8702	5.2143	3.8479	3.9058	-0.0579	-1.5052	0.0000	14.2356	34.9734	46.2507	44.6968	-1.5540	-3.4768	288.3818	276.7263	-11.6555	-4.2119	230.2833	2.0013	331.3887	0.7191	nan	208.3876	109.2900	39.4939	83.5050	32.9794	44.4820	50.9386	0.9289	291.1049	-14.3787	-5.1960	21.4489	8.3872	0.7799	
356.0544	349.1429	-6.9115	-1.9796	2.8981	3.2602	3.3093	-0.4112	-14.1880	0.1380	0.1379	14.4456	3.6081	4.0035	-1.7075	5.0814	3.7220	3.7998	-0.0778	-2.0898	0.0000	13.3518	35.0312	45.9157	44.0011	-1.9146	-4.3512	282.6947	264.5271	-18.1675	-6.8679	230.2941	1.9205	316.3400	0.7153	nan	208.9393	105.9627	40.0573	83.6211	33.4964	46.9059	52.1457	0.9325	281.5700	-17.0429	-6.4428	21.0593	8.4020	0.7786	
352.7416	347.8333	-4.9083	-1.4111	2.8000	3.1893	3.2562	-0.4562	-16.2917	0.1368	0.1364	13.4519	3.3836	3.9759	-1.6413	4.8618	3.5955	3.6581	-0.0626	-1.7417	0.0000	12.5244	34.5004	44.9589	43.2639	-1.6950	-3.9177	269.4502	252.2392	-17.2110	-6.8233	230.3067	1.8393	301.4008	0.7115	nan	209.5595	101.9900	40.4340	83.6889	33.8388	49.6953	52.8517	0.9362	265.0355	-12.7963	-5.0731	20.6452	8.6782	0.7788	
348.1151	347.1250	-0.9901	-0.2852	2.6997	3.1255	3.0647	-0.3650	-13.5187	0.1345	0.1349	12.1665	3.2129	3.7866	-1.7120	4.7372	3.4691	3.5176	-0.0484	-1.3964	0.0000	12.4313	33.3160	43.5539	42.4645	-1.0894	-2.5655	249.1961	239.7300	-9.4661	-3.9486	230.3048	1.7566	286.3600	0.7079	nan	210.0294	98.1381	40.9371	83.7163	34.2710	52.1424	53.3824	0.9395	252.1935	-12.4635	-5.1990	20.2184	8.6121	0.7782	
351.4099	348.0000	-3.4099	-0.9799	2.5995	2.9895	2.9632	-0.3637	-13.9904	0.1329	0.1328	11.1389	3.0060	3.7054	-1.4759	4.5435	3.3438	3.3862	-0.0424	-1.2689	0.0000	11.5333	32.8160	42.6042	41.6130	-0.9912	-2.3818	234.4308	227.1250	-7.3058	-3.2166	230.3182	1.6734	271.3900	0.7041	nan	210.5351	94.7322	41.7093	83.6895	34.9063	54.0849	53.7346	0.9424	236.7883	-9.6633	-4.2546	19.7653	7.9769	0.7774	
355.7148	349.5000	-6.2148	-1.7782	2.5000	2.8499	2.8651	-0.3651	-14.6030	0.1305	0.1303	10.0474	2.7404	3.6661	-1.4066	4.3898	3.2159	3.2731	-0.0572	-1.7778	0.0000	10.6459	32.8017	42.2399	40.7013	-1.5387	-3.7805	224.1746	214.2275	-9.9471	-4.6432	230.3438	1.5881	256.1475	0.7002	nan	210.9926	91.4989	42.7111	83.6344	35.7212	55.8184	53.9912	0.9449	222.9316	-8.7041	-4.0630	19.2904	6.9289	0.7774	
352.9520	348.8889	-4.0631	-1.1646	2.3994	2.7501	2.7059	-0.3065	-12.7731	0.1282	0.1287	9.0181	2.5683	3.5120	-1.3112	4.2350	3.0894	3.1305	-0.0411	-1.3293	0.0000	10.1095	31.7540	40.8189	39.7907	-1.0282	-2.5840	206.2618	201.6533	-4.6085	-2.2854	230.3580	1.5047	241.3378	0.6962	nan	211.4467	87.6651	43.4732	83.5565	36.3247	57.2493	54.1667	0.9471	209.4476	-7.7943	-3.8652	18.8183	6.5689	0.7767	
355.0960	349.7500	-5.3460	-1.5285	2.2988	2.6157	2.6505	-0.3518	-15.3038	0.1272	0.1265	8.4811	2.4404	3.4755	-1.1769	4.0281	2.9638	3.0143	-0.0505	-1.7047	0.0000	9.4496	30.7286	39.3783	38.8612	-0.5170	-1.3305	194.8762	189.3075	-5.5687	-2.9416	230.3593	1.4229	226.8525	0.6921	nan	211.8698	84.1936	44.4745	83.4496	37.1138	58.4549	54.2861	0.9490	195.8671	-6.5596	-3.4651	18.3420	5.8312	0.7756	
354.0892	349.2500	-4.8392	-1.3856	2.2000	2.5050	2.5154	-0.3154	-14.3347	0.1243	0.1245	7.4990	2.2216	3.3754	-1.1424	3.8571	2.8351	2.8927	-0.0576	-2.0307	0.0000	8.5308	30.9269	39.2964	37.8755	-1.4209	-3.7516	185.0325	176.8775	-8.1550	-4.6105	230.3570	1.3401	212.2950	0.6877	nan	212.3073	80.4615	45.4900	83.3168	37.9008	59.4288	54.3537	0.9510	184.1730	-7.2955	-4.1246	17.8399	5.2505	0.7760	
