Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	SR_SquaredCurrentRmsA	SR_SquaredCurrentRmsB	SR_SquaredCurrentRmsC
0.7502	0.0000	-0.0010	0.0060	0.0000	0.0000	-0.0100	230.8630	0.0000	1.5000	21.9509	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4848	0.0000	-0.0010	0.0060	0.0000	0.0000	-0.0100	230.8420	0.0000	1.4900	21.9307	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.2233	0.0000	-0.0000	0.0060	0.0000	0.0000	-0.0100	230.8300	0.0000	1.5100	21.9407	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.2127	0.0000	-0.0010	0.0060	0.0000	0.0000	-0.0100	230.8080	0.0000	1.5000	21.9339	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.8846	0.0000	-0.0030	0.0060	0.0000	0.0000	-0.0100	230.7840	0.0000	1.5000	21.9501	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.6735	0.0000	25.0000	0.8473	0.0055	39.5178	0.0000	0.0000	0.0000
3.9584	0.0000	-0.0030	0.0060	0.0000	0.0000	-0.0100	230.7840	0.0000	1.5000	21.9501	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.6735	0.0000	25.0000	0.8473	0.0055	39.5178	0.0000	0.0000	0.0000
4.5033	0.0000	-0.0010	0.0060	0.0000	0.0000	-0.0100	230.7710	0.0000	1.5000	21.9468	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.6531	0.0000	25.0000	0.8473	0.0056	39.5178	0.0000	0.0000	0.0000
4.6991	0.0000	-0.0010	0.0060	0.0000	0.0000	-0.0100	230.7710	0.0000	1.5000	21.9468	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.6531	0.0000	25.0000	0.8473	0.0056	39.5178	0.0000	0.0000	0.0000
5.1244	0.0000	-0.0010	0.0060	0.0000	0.0000	-0.0100	230.7450	0.0000	1.5000	21.9418	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.6572	0.0000	25.0000	0.8473	0.0055	39.5118	0.0000	0.0000	0.0000
5.4507	0.0000	-0.0010	0.0060	0.0000	0.0000	-0.0100	230.7450	0.0000	1.5000	21.9418	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.6125	0.0000	25.0000	0.8473	0.0058	39.5057	0.0000	0.0000	0.0000
5.7439	0.0000	-0.0010	0.0060	0.0000	0.0000	-0.0100	230.7450	0.0000	1.5000	21.9418	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.6125	0.0000	25.0000	0.8473	0.0058	39.5057	0.0000	0.0000	0.0000
6.1952	0.0000	-0.0000	0.0060	0.0000	0.0000	-0.0100	230.7310	0.0000	1.5000	21.9363	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.5949	0.0000	25.0000	0.8473	0.0056	39.5057	0.0000	0.0000	0.0000
6.3646	0.0000	-0.0000	0.0060	0.0000	0.0000	-0.0100	230.7310	0.0000	1.5000	21.9363	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.5949	0.0000	25.0000	0.8473	0.0056	39.5057	0.0000	0.0000	0.0000
6.9586	0.0000	-0.0030	0.0060	0.0000	0.0000	-0.0100	230.7040	0.0000	1.4900	21.9422	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.5408	0.0000	25.0000	0.8473	0.0057	39.4996	0.0000	0.0000	0.0000
6.9842	0.0000	-0.0030	0.0060	0.0000	0.0000	-0.0100	230.7040	0.0000	1.4900	21.9422	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.5408	0.0000	25.0000	0.8473	0.0057	39.4996	0.0000	0.0000	0.0000
7.6040	0.0000	-0.0010	0.0060	0.0000	0.0000	-0.0100	230.6890	0.0000	1.4900	21.9167	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.5340	0.0000	25.0000	0.8473	0.0055	39.4935	0.0000	0.0000	0.0000
7.6968	0.0000	-0.0010	0.0060	0.0000	0.0000	-0.0100	230.6890	0.0000	1.4900	21.9167	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.5340	0.0000	25.0000	0.8473	0.0055	39.4935	0.0000	0.0000	0.0000
8.2254	0.0000	-0.0030	0.0060	0.0000	0.0000	-0.0100	230.6590	0.0000	1.4900	21.9180	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.5407	0.0000	25.0000	0.8473	0.0055	39.4935	0.0000	0.0000	0.0000
8.4499	0.0000	-0.0030	0.0060	0.0000	0.0000	-0.0100	230.6590	0.0000	1.4900	21.9180	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.5407	0.0000	25.0000	0.8473	0.0055	39.4935	0.0000	0.0000	0.0000
8.8449	0.0000	-0.0000	0.0060	0.0000	0.0000	-0.0100	230.6450	0.0000	1.5000	21.9235	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.4853	0.0000	25.0000	0.8473	0.0053	39.4875	0.0000	0.0000	0.0000
9.2018	0.0000	-0.0000	0.0060	0.0000	0.0000	-0.0100	230.6450	0.0000	1.5000	21.9235	NOT CONNECTED	1000.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.4704	0.0000	25.0000	0.8473	0.0055	39.4875	0.0000	0.0000	0.0000
9.4647	0.0000	-0.0000	0.0060	0.0000	0.0000	-0.0100	230.6450	0.0000	1.5000	21.9235	NOT CONNECTED	1000.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.4704	0.0000	25.0000	0.8473	0.0055	39.4875	0.0000	0.0000	0.0000
9.9592	0.0000	-0.0020	0.0060	0.0000	0.0000	-0.0100	230.6190	0.0000	1.4900	21.9398	NOT CONNECTED	1000.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.4244	0.0000	25.0000	0.8473	0.0055	39.4814	0.0000	0.0000	0.0000
10.0845	0.0000	-0.0020	0.0060	0.0000	0.0000	-0.0100	230.6190	0.0000	1.4900	21.9398	NOT CONNECTED	1000.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.4244	0.0000	25.0000	0.8473	0.0055	39.4814	0.0000	0.0000	0.0000
10.6964	0.0000	-0.0030	0.0060	0.0000	0.0000	-0.0100	230.6060	0.0000	1.5000	21.9560	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.4081	0.0000	25.0000	0.8473	0.0055	39.4754	0.0000	0.0000	0.0000
10.7210	0.0000	-0.0030	0.0060	0.0000	0.0000	-0.0100	230.6060	0.0000	1.5000	21.9560	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.4081	0.0000	25.0000	0.8473	0.0055	39.4754	0.0000	0.0000	0.0000
11.3415	0.0000	-0.0000	0.0060	0.0000	0.0000	-0.0100	230.5850	0.0000	1.4900	21.9374	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.3987	0.0000	25.0000	0.8473	0.0059	39.4754	0.0000	0.0000	0.0000
11.4509	0.0000	-0.0000	0.0060	0.0000	0.0000	-0.0100	230.5850	0.0000	1.4900	21.9374	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0437	0.1865	-0.8265	-0.1224	-0.8384	0.0000	0.0000	320.3987	0.0000	25.0000	0.8473	0.0059	39.4754	0.0000	0.0000	0.0000
