WindyBPMp50_HefeiH24_DynoSpeedTorque_230Vac_ID12_20250521_100329
Report created on: 2025/05/21: 10:06:34


Step N. = 	0
Target Speed = 	580

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
564.6964	573.7273	9.0308	1.5741	2.6002	2.7303	2.6717	-0.0715	-2.7496	0.1320	0.1306	16.7725	4.9401	3.3968	-2.0217	5.4403	4.1251	4.1593	-0.0342	-0.8293	0.0000	13.5856	42.5630	54.7636	54.0657	-0.6979	-1.2908	317.4908	314.5036	-2.9871	-0.9498	230.4732	2.2504	379.2100	0.7311	nan	206.4185	156.2205	49.6721	82.9365	41.1963	24.8953	57.3548	0.8142	331.4385	-16.9348	-5.3846	26.1923	12.3443	0.6303	
575.1631	579.7692	4.6061	0.7945	2.3911	2.5260	2.4236	-0.0325	-1.3596	0.1236	0.1245	13.5023	4.1361	3.2589	-1.7881	4.9533	3.6416	3.7771	-0.1355	-3.7219	0.0000	12.7251	41.3117	52.9754	51.2344	-1.7411	-3.3982	281.1912	270.0277	-11.1635	-4.1342	230.3773	1.9521	322.8462	0.7179	nan	208.2821	145.1704	53.7613	83.6397	44.9658	27.1813	60.7806	0.8356	292.2744	-22.2467	-8.2387	24.5988	10.0755	0.6566	
583.7090	579.8182	-3.8908	-0.6710	2.1825	2.2596	2.2462	-0.0637	-2.9202	0.1178	0.1168	11.0289	3.4517	3.1955	-1.4978	4.3623	3.2229	3.3437	-0.1208	-3.7491	0.0000	10.5394	39.2535	49.7788	48.1709	-1.6079	-3.3378	242.7275	230.6500	-12.0775	-5.2363	230.7527	1.6880	274.9573	0.7059	nan	210.2755	132.5152	57.4529	83.8858	48.1948	28.8560	61.2298	0.8577	245.3710	-14.7210	-6.3824	22.9086	7.6285	0.6772	
586.1739	579.4615	-6.7124	-1.1584	1.9746	2.0216	2.0497	-0.0751	-3.8023	0.1150	0.1150	8.5797	2.8902	2.9679	-0.9887	3.9941	2.8733	2.9584	-0.0851	-2.9627	0.0000	9.5388	37.8295	47.7817	46.3977	-1.3840	-2.9830	209.8228	198.0515	-11.7713	-5.9435	230.6212	1.4710	235.8892	0.6953	nan	211.5990	119.8217	60.5010	83.9595	50.7963	29.9848	60.4193	0.8577	209.0863	-11.0348	-5.5717	21.9272	5.9737	0.6872	
584.6721	580.7273	-3.9448	-0.6793	1.7662	1.8467	1.8715	-0.1053	-5.9608	0.1142	0.1141	7.0127	2.5649	2.7332	-0.6579	3.6422	2.5724	2.6626	-0.0902	-3.5056	0.0000	8.2541	36.9025	46.3133	44.7431	-1.5702	-3.5093	183.1033	170.7082	-12.3951	-7.2610	230.4160	1.2888	203.5364	0.6854	nan	212.2726	107.4080	62.9191	83.8711	52.7709	30.5956	59.3543	0.8563	181.3368	-10.6286	-6.2262	21.0782	5.2427	0.6866	
585.8898	579.9231	-5.9667	-1.0289	1.5571	1.6237	1.6503	-0.0932	-5.9866	0.1126	0.1123	5.4270	2.2142	2.4505	-0.3204	3.1939	2.2628	2.3392	-0.0764	-3.3784	0.0000	6.8727	35.3775	44.1387	42.8350	-1.3037	-3.0436	152.9103	143.7800	-9.1303	-6.3502	230.6182	1.1064	171.8746	0.6736	nan	213.5667	94.5604	65.7674	83.6540	55.0171	30.9181	58.1823	0.8564	152.1419	-8.3619	-5.8158	20.0570	4.2409	0.6881	
579.2977	578.9000	-0.3977	-0.0687	1.3495	1.4603	1.4285	-0.0790	-5.8516	0.1096	0.1099	3.9903	1.8404	2.1655	-0.1744	2.8473	1.9465	2.0358	-0.0893	-4.5888	0.0000	5.9843	33.9925	42.2814	40.5529	-1.7285	-4.2623	127.0482	118.2660	-8.7822	-7.4258	230.8517	0.9306	141.9370	0.6607	nan	214.8666	81.8100	69.1747	83.3229	57.6383	31.0016	57.0415	0.8650	128.2062	-9.9402	-8.4049	18.8736	3.1619	0.6933	
583.5940	579.2308	-4.3633	-0.7533	1.1416	1.2162	1.2117	-0.0701	-6.1402	0.1042	0.1040	2.5186	1.3000	1.9368	-0.1687	2.3201	1.6130	1.6947	-0.0817	-5.0663	0.0000	4.5191	31.7783	39.3164	37.5295	-1.7870	-4.7615	101.1505	93.8738	-7.2767	-7.7516	230.8300	0.7602	113.2746	0.6455	nan	216.2745	69.2470	73.7659	82.8727	61.1318	30.8738	55.9215	0.8953	100.9849	-7.1111	-7.5751	17.3528	1.7767	0.7078	
583.6192	580.7000	-2.9192	-0.5027	0.9347	1.0344	1.0516	-0.1169	-12.5117	0.1002	0.0999	1.6183	0.9170	1.7593	-0.1451	1.9095	1.3086	1.4094	-0.1007	-7.6964	0.0000	2.8630	29.8466	36.7253	34.5653	-2.1600	-6.2490	82.8149	72.9180	-9.8969	-13.5726	230.7016	0.6113	88.7670	0.6294	nan	217.2715	56.8400	77.9555	82.1450	64.0363	30.6341	54.8887	0.9307	81.1731	-8.2551	-11.3210	15.9089	1.0508	0.7143	
584.1350	580.0000	-4.1350	-0.7129	0.7237	0.8195	0.8050	-0.0813	-11.2367	0.0951	0.0955	0.6815	0.4759	1.4137	-0.1668	1.5022	1.0261	1.0923	-0.0662	-6.4468	0.0000	2.1823	27.6739	34.0020	31.7145	-2.2874	-7.2125	60.3761	54.4869	-5.8892	-10.8085	230.5507	0.4778	67.3569	0.6114	nan	218.4225	43.9552	80.6712	80.8928	65.2572	30.3206	53.9365	0.9667	61.4615	-6.9745	-12.8004	14.5199	1.3042	0.7053	
