Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	SR_SquaredCurrentRmsA	SR_SquaredCurrentRmsB	SR_SquaredCurrentRmsC
0.7442	0.0000	-0.0550	0.0000	0.0000	0.0000	-0.0000	230.9830	0.0000	1.5000	40.1983	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4825	0.0000	-0.0550	0.0000	0.0000	0.0000	-0.0000	230.9810	0.0000	1.5100	40.1712	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.6288	0.0000	-0.0550	0.0000	0.0000	0.0000	-0.0000	230.9810	0.0000	1.5100	40.1712	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.2567	0.0000	25.0000	0.0000	0.0055	39.7816	0.0000	0.0000	0.0000
2.2178	0.0000	-0.0550	0.0000	0.0000	0.0000	-0.0000	230.9800	0.0000	1.5100	40.1739	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.2594	0.0000	25.0000	0.0000	0.0056	39.7754	0.0000	0.0000	0.0000
2.2484	0.0000	-0.0550	0.0000	0.0000	0.0000	-0.0000	230.9800	0.0000	1.5100	40.1739	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.2594	0.0000	25.0000	0.0000	0.0056	39.7754	0.0000	0.0000	0.0000
2.8692	0.0000	-0.0550	0.0000	0.0000	0.0000	-0.0000	230.9770	0.0000	1.5100	40.1493	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1945	0.0000	25.0000	0.0000	0.0056	39.7693	0.0000	0.0000	0.0000
3.1711	0.0000	-0.0550	0.0000	0.0000	0.0000	-0.0000	230.9770	0.0000	1.5100	40.1493	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1945	0.0000	25.0000	0.0000	0.0056	39.7693	0.0000	0.0000	0.0000
3.4894	0.0000	-0.0550	0.0000	0.0000	0.0000	-0.0000	230.9770	0.0000	1.5100	40.1493	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.2161	0.0000	25.0000	0.0000	0.0055	39.7693	0.0000	0.0000	0.0000
3.9139	0.0000	-0.0550	0.0000	0.0000	0.0000	-0.0000	230.9720	0.0000	1.5000	40.1333	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1972	0.0000	25.0000	0.0000	0.0056	39.7631	0.0000	0.0000	0.0000
4.1085	0.0000	-0.0550	0.0000	0.0000	0.0000	-0.0000	230.9720	0.0000	1.5000	40.1333	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1972	0.0000	25.0000	0.0000	0.0056	39.7631	0.0000	0.0000	0.0000
