WindyBPMp50_HefeiH24_LowSpeedTorque_230Vac_ID12_20250527_171645
Report created on: 2025/05/27: 17:21:39


Step N. = 	0
Target Speed = 	349

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
330.6872	347.0000	16.3128	4.7011	2.4995	2.5484	2.4839	0.0156	0.6258	0.1207	0.1221	15.7210	4.5987	3.4213	-2.4296	5.1658	4.0243	4.0561	-0.0319	-0.7921	0.0000	15.4979	30.1868	41.6015	39.9829	-1.6186	-4.0481	261.9908	249.9369	-12.0538	-4.8228	230.8047	1.8637	308.6431	0.7175	nan	208.5409	90.8276	36.3405	80.9792	29.4281	43.8230	77.8714	0.8968	265.3406	-15.4037	-6.1630	19.1727	9.6191	0.6211	
353.7776	349.3636	-4.4139	-1.2634	2.3996	2.3395	2.3661	0.0335	1.3981	0.1175	0.1180	13.9730	4.1618	3.3576	-2.0361	4.9602	3.7979	3.8281	-0.0301	-0.7938	0.0000	14.8392	29.1550	40.0765	39.0405	-1.0361	-2.6539	239.4970	231.0000	-8.4970	-3.6784	230.8205	1.7340	283.8100	0.7091	nan	209.9146	87.7913	38.0050	81.3925	30.9332	45.9909	80.6891	0.8995	243.0608	-12.0608	-5.2211	18.5983	8.9783	0.6318	
345.5922	349.4545	3.8623	1.1052	2.2996	2.2892	2.2689	0.0308	1.3383	0.1157	0.1164	12.7574	3.9137	3.2620	-1.9461	4.7281	3.5841	3.6131	-0.0290	-0.8094	0.0000	14.0383	28.6861	39.1175	37.9215	-1.1960	-3.1540	222.7845	212.4373	-10.3472	-4.8707	230.8504	1.6075	260.6945	0.7025	nan	210.8744	84.1548	39.6140	81.4890	32.2810	47.9341	81.5236	0.9024	223.6521	-11.2149	-5.2791	17.9830	7.8805	0.6416	
350.8324	348.4545	-2.3779	-0.6824	2.2001	2.1684	2.1988	0.0013	0.0591	0.1149	0.1146	11.5802	3.6281	3.1923	-1.7105	4.5257	3.3857	3.4117	-0.0260	-0.7679	0.0000	12.7501	28.4580	38.1927	36.8970	-1.2957	-3.5117	205.6812	195.4191	-10.2621	-5.2513	230.8569	1.4918	239.8355	0.6964	nan	211.5816	80.2815	41.0817	81.4805	33.4735	49.4867	81.5975	0.9032	203.7136	-8.2945	-4.2445	17.4387	7.0821	0.6498	
348.3337	348.7692	0.4355	0.1249	2.0998	2.0929	2.0942	0.0056	0.2646	0.1143	0.1143	10.4021	3.4093	3.0523	-1.4176	4.3371	3.2072	3.2324	-0.0252	-0.7866	0.0000	12.0078	27.9775	37.2882	35.9892	-1.2990	-3.6094	189.4808	180.2777	-9.2031	-5.1050	230.8146	1.3887	221.4323	0.6908	nan	212.1899	76.6902	42.5400	81.4144	34.6337	50.9356	81.2649	0.9017	188.3283	-8.0506	-4.4657	16.9609	6.1084	0.6547	
349.8460	348.1000	-1.7460	-0.5016	2.0002	1.9940	2.0069	-0.0067	-0.3357	0.1138	0.1138	9.2720	3.1597	2.9348	-1.1420	4.1897	3.0365	3.0594	-0.0229	-0.7528	0.0000	11.1969	27.5459	36.4174	35.0836	-1.3338	-3.8017	174.3421	166.0610	-8.2811	-4.9868	230.6915	1.2922	204.3080	0.6854	nan	212.6352	72.9133	43.9076	81.2797	35.6879	51.5077	80.7595	0.9000	172.9084	-6.8474	-4.1234	16.4994	5.5865	0.6587	
349.7448	348.2727	-1.4721	-0.4227	1.8999	1.9007	1.9042	-0.0043	-0.2243	0.1135	0.1135	8.3333	2.9812	2.7955	-0.8963	4.0072	2.8744	2.8972	-0.0228	-0.7937	0.0000	10.4024	26.8351	35.2495	34.2092	-1.0403	-3.0410	159.0266	152.7900	-6.2366	-4.0818	230.5956	1.2014	188.3591	0.6799	nan	213.0720	69.2917	45.3509	81.1163	36.7870	52.2065	80.2170	0.8971	158.9700	-6.1800	-4.0447	16.0552	4.8385	0.6610	
346.7736	347.3636	0.5900	0.1699	1.7990	1.8251	1.8061	-0.0071	-0.3921	0.1133	0.1133	7.4794	2.8125	2.6594	-0.6742	3.8119	2.7217	2.7434	-0.0217	-0.7969	0.0000	9.7770	26.2692	34.3295	33.3724	-0.9572	-2.8681	146.0259	140.5373	-5.4887	-3.9055	230.6199	1.1169	173.7009	0.6743	nan	213.6381	65.4401	46.5642	80.9076	37.6740	52.5156	79.6325	0.8933	146.6314	-6.0941	-4.3363	15.6210	4.4913	0.6610	
351.7059	347.3333	-4.3725	-1.2589	1.7000	1.7063	1.7263	-0.0263	-1.5480	0.1131	0.1132	6.7284	2.6422	2.5463	-0.4816	3.6221	2.5766	2.5964	-0.0199	-0.7708	0.0000	9.2045	25.8091	33.5599	32.5464	-1.0134	-3.1138	135.0371	129.1583	-5.8788	-4.5516	230.5867	1.0378	160.0642	0.6689	nan	214.0632	61.8335	47.8742	80.6916	38.6304	52.5710	79.0393	0.8892	134.3894	-5.2311	-4.0502	15.2041	4.0360	0.6598	
353.9458	349.1667	-4.7791	-1.3687	1.6000	1.6006	1.6290	-0.0290	-1.8145	0.1125	0.1121	6.0732	2.5094	2.4203	-0.3111	3.4166	2.4245	2.4438	-0.0193	-0.7976	0.0000	8.4747	25.1294	32.4816	31.6144	-0.8671	-2.7429	123.1152	117.8108	-5.3044	-4.5025	230.4787	0.9588	146.5392	0.6631	nan	214.4726	58.5034	49.6587	80.3955	39.9234	53.0767	78.4071	0.8874	122.8105	-4.9997	-4.2438	14.7405	3.1669	0.6599	
