WindyBPMp50_HefeiH24_LowSpeedTorque_230Vac_ID12__330uF_20250529_134907
Report created on: 2025/05/29: 14:46:12


Step N. = 	0
Target Speed = 	349

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
342.0344	349.7778	7.7433	2.2138	2.4998	2.5587	2.5054	-0.0056	-0.2258	0.1218	0.1219	15.6588	4.5702	3.4305	-2.5114	5.1528	4.0175	4.0492	-0.0317	-0.7902	0.0000	15.5218	30.1340	41.5340	40.3428	-1.1912	-2.9528	261.5285	251.9167	-9.6119	-3.8155	230.4341	1.8748	310.3644	0.7184	nan	208.0913	91.5634	36.3469	81.1680	29.5020	43.5413	78.3620	0.8974	265.9095	-13.9929	-5.5546	19.3871	11.5221	0.6222	
350.2407	348.1111	-2.1296	-0.6118	2.3983	2.3894	2.3947	0.0037	0.1527	0.1182	0.1183	13.9788	4.1402	3.3789	-2.1987	4.9363	3.7942	3.8248	-0.0306	-0.8060	0.0000	14.8032	29.8073	40.7708	39.1998	-1.5711	-4.0078	243.0513	232.0789	-10.9724	-4.7279	230.4560	1.7402	284.7244	0.7100	nan	209.4608	87.4290	37.6721	81.5100	30.7066	45.2701	80.8935	0.9009	243.6077	-11.5288	-4.9676	18.7146	11.0422	0.6321	
349.1237	349.5556	0.4318	0.1235	2.2997	2.2935	2.2762	0.0235	1.0214	0.1165	0.1161	12.9436	3.9758	3.2570	-1.9946	4.7400	3.5862	3.6161	-0.0298	-0.8322	0.0000	13.8670	28.8548	39.2112	38.0780	-1.1332	-2.9759	223.6876	213.7678	-9.9198	-4.6405	230.5227	1.6156	261.9222	0.7033	nan	210.4249	84.1801	39.3792	81.6150	32.1393	47.2198	81.8429	0.9038	225.0167	-11.2489	-5.2622	18.0958	9.3598	0.6413	
346.9407	349.5000	2.5593	0.7323	2.1993	2.2058	2.2083	-0.0091	-0.4137	0.1148	0.1149	11.5591	3.6081	3.2055	-1.6980	4.5400	3.3870	3.4139	-0.0269	-0.7931	0.0000	12.8235	28.7834	38.5927	37.0118	-1.5809	-4.2714	207.8097	196.4575	-11.3522	-5.7785	230.6647	1.4976	240.7525	0.6969	nan	211.3931	80.4916	40.9715	81.6014	33.4333	48.7444	81.9937	0.9048	205.3308	-8.8733	-4.5166	17.5085	8.1191	0.6493	
350.8038	350.0000	-0.8038	-0.2296	2.0999	2.0904	2.1045	-0.0046	-0.2199	0.1143	0.1144	10.4201	3.4047	3.0620	-1.3929	4.3386	3.2055	3.2326	-0.0271	-0.8442	0.0000	11.9366	28.0289	37.3117	36.0951	-1.2166	-3.3704	189.6911	180.9733	-8.7178	-4.8172	230.8271	1.3915	221.9778	0.6911	nan	212.1752	76.9649	42.5283	81.5277	34.6724	49.8201	81.7529	0.9030	189.4877	-8.5143	-4.7047	17.0119	7.0278	0.6551	
347.2814	348.7500	1.4686	0.4211	2.0002	2.0152	1.9964	0.0039	0.1943	0.1138	0.1139	9.3662	3.1987	2.9281	-1.1496	4.1612	3.0344	3.0597	-0.0253	-0.8331	0.0000	11.0712	27.3027	36.0835	35.1726	-0.9109	-2.5898	173.0375	166.5613	-6.4763	-3.8882	230.9144	1.2931	204.6413	0.6854	nan	212.8432	73.0512	43.8586	81.3918	35.6973	51.0362	81.3142	0.9010	174.4753	-7.9141	-4.7515	16.5251	6.2186	0.6592	
348.9878	347.7500	-1.2378	-0.3559	1.8993	1.9123	1.9164	-0.0171	-0.9025	0.1135	0.1135	8.3715	2.9758	2.8134	-0.9393	3.9779	2.8734	2.8967	-0.0233	-0.8099	0.0000	10.3927	26.8010	35.2059	34.2950	-0.9109	-2.6562	159.5001	153.3025	-6.1976	-4.0427	230.8787	1.2025	188.7400	0.6798	nan	213.3558	69.1638	45.1158	81.2242	36.6450	50.9924	80.7706	0.8982	159.4707	-6.1682	-4.0235	16.0741	5.8784	0.6610	
348.1436	349.3000	1.1564	0.3311	1.7996	1.8252	1.8191	-0.0195	-1.0851	0.1134	0.1133	7.4786	2.7981	2.6730	-0.6950	3.8206	2.7208	2.7438	-0.0229	-0.8420	0.0000	9.7631	26.3987	34.4720	33.4578	-1.0142	-3.0312	146.8219	141.0520	-5.7699	-4.0906	230.7068	1.1186	174.0620	0.6745	nan	213.6849	65.8269	46.6686	81.0355	37.8181	51.4998	80.1854	0.8946	146.6296	-5.5776	-3.9543	15.6575	4.9242	0.6614	
350.2743	349.5000	-0.7743	-0.2215	1.6993	1.7206	1.7207	-0.0214	-1.2607	0.1132	0.1132	6.7650	2.6663	2.5367	-0.4877	3.6446	2.5746	2.5956	-0.0210	-0.8160	0.0000	9.0265	25.6380	33.2896	32.6145	-0.6751	-2.0698	133.6436	129.5175	-4.1261	-3.1858	230.5565	1.0396	160.2900	0.6688	nan	214.0301	62.1918	48.0181	80.8020	38.7996	51.9088	79.5859	0.8905	134.6332	-5.1157	-3.9498	15.2383	4.2853	0.6600	
348.6955	349.5556	0.8601	0.2460	1.6003	1.6344	1.6318	-0.0315	-1.9668	0.1124	0.1125	5.9443	2.4573	2.4190	-0.3095	3.4576	2.4239	2.4444	-0.0205	-0.8462	0.0000	8.4340	25.2224	32.5749	31.6961	-0.8788	-2.7725	122.6063	118.1989	-4.4074	-3.7288	230.5324	0.9605	146.8256	0.6631	nan	214.5390	58.5807	49.5612	80.5029	39.8982	51.7246	79.0045	0.8882	122.9373	-4.7384	-4.0088	14.7741	3.7791	0.6602	
