Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	SR_SquaredCurrentRmsA	SR_SquaredCurrentRmsB	SR_SquaredCurrentRmsC
0.4610	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	348.0000	406.0000	0.0000	0.0000	0.0000	0.0000	0.0825	0.0454	0.1555	-0.6193	-0.0202	-0.6382	0.0000	0.0000	320.6843	0.0000	49.3342	0.6385	0.0052	30.5179	0.0000	0.0000	0.0000
0.7624	0.0000	-0.0160	0.0057	0.0000	0.0000	-0.0100	230.6880	0.0000	1.2700	22.3150	NOT CONNECTED	348.0000	406.0000	0.0000	0.0000	0.0000	0.0000	0.0825	0.0454	0.1555	-0.6193	-0.0202	-0.6382	0.0000	0.0000	320.6843	0.0000	49.3342	0.6385	0.0052	30.5179	0.0000	0.0000	0.0000
1.0825	0.0000	-0.0160	0.0057	0.0000	0.0000	-0.0100	230.6880	0.0000	1.2700	22.3150	NOT CONNECTED	348.0000	406.0000	0.0000	0.0000	0.0000	0.0000	0.0825	0.0454	0.1555	-0.6193	-0.0202	-0.6382	0.0000	0.0000	320.6450	0.0000	49.3327	0.6385	0.0051	30.5156	0.0000	0.0000	0.0000
1.5001	0.0000	-0.0170	0.0057	0.0000	0.0000	-0.0100	230.6690	0.0000	1.2800	22.3447	NOT CONNECTED	348.0000	406.0000	0.0000	0.0000	0.0000	0.0000	0.0825	0.0454	0.1555	-0.6193	-0.0202	-0.6382	0.0000	0.0000	320.6545	0.0000	49.3312	0.6385	0.0052	30.5156	0.0000	0.0000	0.0000
1.6899	0.0000	-0.0170	0.0057	0.0000	0.0000	-0.0100	230.6690	0.0000	1.2800	22.3447	NOT CONNECTED	348.0000	406.0000	0.0000	0.0000	0.0000	0.0000	0.0825	0.0454	0.1555	-0.6193	-0.0202	-0.6382	0.0000	0.0000	320.6545	0.0000	49.3312	0.6385	0.0052	30.5156	0.0000	0.0000	0.0000
2.2376	0.0000	-0.0170	0.0057	0.0000	0.0000	-0.0100	230.6610	0.0000	1.2800	22.3633	NOT CONNECTED	348.0000	406.0000	0.0000	0.0000	0.0000	0.0000	0.0825	0.0454	0.1555	-0.6193	-0.0202	-0.6382	0.0000	0.0000	320.6166	0.0000	49.3297	0.6385	0.0053	30.5133	0.0000	0.0000	0.0000
2.3151	0.0000	-0.0170	0.0057	0.0000	0.0000	-0.0100	230.6610	0.0000	1.2800	22.3633	NOT CONNECTED	348.0000	406.0000	0.0000	0.0000	0.0000	0.0000	0.0825	0.0454	0.1555	-0.6193	-0.0202	-0.6382	0.0000	0.0000	320.6166	0.0000	49.3297	0.6385	0.0053	30.5133	0.0000	0.0000	0.0000
2.9372	0.0000	-0.0180	0.0057	0.0000	0.0000	-0.0100	230.6460	0.0000	1.2800	22.3377	NOT CONNECTED	348.0000	406.0000	0.0000	0.0000	0.0000	0.0000	0.0825	0.0454	0.1555	-0.6193	-0.0202	-0.6382	0.0000	0.0000	320.5936	0.0000	49.3282	0.6385	0.0053	30.5111	0.0000	0.0000	0.0000
3.2073	0.0000	-0.0180	0.0057	0.0000	0.0000	-0.0100	230.6460	0.0000	1.2800	22.3377	NOT CONNECTED	348.0000	406.0000	0.0000	0.0000	0.0000	0.0000	0.0825	0.0454	0.1555	-0.6193	-0.0202	-0.6382	0.0000	0.0000	320.5936	0.0000	49.3282	0.6385	0.0053	30.5111	0.0000	0.0000	0.0000
3.5401	0.0000	-0.0180	0.0057	0.0000	0.0000	-0.0100	230.6460	0.0000	1.2800	22.3377	NOT CONNECTED	348.0000	406.0000	0.0000	0.0000	0.0000	0.0000	0.0825	0.0454	0.1555	-0.6193	-0.0202	-0.6382	0.0000	0.0000	320.5773	0.0000	49.3267	0.6385	0.0054	30.5111	0.0000	0.0000	0.0000
3.9286	0.0000	-0.0150	0.0057	0.0000	0.0000	-0.0100	230.6320	0.0000	1.2800	22.3567	NOT CONNECTED	348.0000	406.0000	0.0000	0.0000	0.0000	0.0000	0.0825	0.0454	0.1555	-0.6193	-0.0202	-0.6382	0.0000	0.0000	320.5597	0.0000	49.3253	0.6385	0.0050	30.5088	0.0000	0.0000	0.0000
