Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7613	0.0000	-0.0410	0.0066	0.0000	0.3920	-0.0200	230.9160	0.0000	0.9600	29.3941	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.5029	0.0000	-0.0410	0.0066	0.0000	0.3920	-0.0200	230.9170	0.0000	0.9700	29.3707	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.7984	0.0000	-0.0410	0.0066	0.0000	0.3920	-0.0200	230.9170	0.0000	0.9700	29.3707	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.5069	0.0000	25.0000	0.0000	0.0052	40.0000
2.2442	0.0000	-0.0410	0.0066	0.0000	0.3920	-0.0200	230.9200	0.0000	0.9700	29.3786	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.5069	0.0000	25.0000	0.0000	0.0051	40.0000
2.4038	0.0000	-0.0410	0.0066	0.0000	0.3920	-0.0200	230.9200	0.0000	0.9700	29.3786	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.5069	0.0000	25.0000	0.0000	0.0051	40.0000
3.0089	0.0000	-0.0410	0.0066	0.0000	0.3920	-0.0200	230.9230	0.0000	0.9600	29.3410	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.4582	0.0000	25.0000	0.0000	0.0049	40.0000
3.2222	0.0000	-0.0410	0.0066	0.0000	0.3920	-0.0200	230.9230	0.0000	0.9600	29.3410	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.4582	0.0000	25.0000	0.0000	0.0049	40.0000
3.6152	0.0000	-0.0410	0.0066	0.0000	0.3920	-0.0200	230.9220	0.0000	0.9700	29.3721	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.4582	0.0000	25.0000	0.0000	0.0055	40.0000
3.9621	0.0000	-0.0410	0.0066	0.0000	0.3920	-0.0200	230.9220	0.0000	0.9700	29.3721	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.4596	0.0000	25.0000	0.0000	0.0049	40.0000
4.2196	0.0000	-0.0410	0.0066	0.0000	0.3920	-0.0200	230.9220	0.0000	0.9700	29.3721	NOT CONNECTED	750.0000	525.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.4596	0.0000	25.0000	0.0000	0.0049	40.0000
