WindyBPMp50_OrcaH24_Dyno_Speed_Torque__230Vac_30C_20250130_161947
Report created on: 2025/01/30: 16:24:16


Step N. = 	0
Target Speed = 	780

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
778.1025	779.2857	1.1833	0.1518	2.0000	2.1392	2.1658	-0.1658	-8.2920	0.1052	0.1043	12.0645	3.5380	3.4068	-1.5462	4.4951	3.3562	3.3802	-0.0240	-0.7156	0.0000	18.9823	56.3476	72.8289	71.1807	-1.6482	-2.3156	388.9970	377.7586	-11.2384	-2.9750	230.7037	2.5436	433.2657	0.7383	nan	206.2004	163.2132	43.2064	87.1884	37.6709	43.1800	74.8199	0.9129	390.8139	-13.0554	-3.4560	34.5201	25.9510	0.5959	
770.7519	780.0909	9.3390	1.1972	1.9011	2.0688	2.0324	-0.1313	-6.9045	0.1015	0.1017	10.0936	3.0302	3.3316	-1.6297	4.2190	3.1774	3.2005	-0.0231	-0.7281	0.0000	19.8990	54.9769	71.6288	70.4527	-1.1761	-1.6693	365.1074	357.1845	-7.9229	-2.2181	230.6605	2.4114	407.2200	0.7321	nan	207.2797	155.3020	43.4801	87.7128	38.1375	53.3252	87.9335	0.9212	367.4608	-10.2763	-2.8770	33.9892	26.4096	0.5983	
778.8499	779.5714	0.7215	0.0926	1.7983	1.9362	1.9591	-0.1608	-8.9437	0.0994	0.0991	8.9840	2.6942	3.3335	-1.4851	4.1129	3.0014	3.0241	-0.0227	-0.7556	0.0000	20.5772	54.0962	70.8970	69.2010	-1.6960	-2.4508	353.8760	334.1300	-19.7460	-5.9097	230.6266	2.2662	379.7814	0.7267	nan	208.0886	146.8059	43.9368	87.9795	38.6554	62.3200	95.9579	0.9288	341.9949	-7.8649	-2.3538	33.2555	25.6538	0.5991	
768.6720	780.2222	11.5502	1.4804	1.7001	1.8985	1.8515	-0.1514	-8.9034	0.0972	0.0981	7.9437	2.5157	3.1617	-1.3295	3.8160	2.8324	2.8541	-0.0217	-0.7665	0.0000	17.3176	53.3634	68.7337	67.4147	-1.3191	-1.9567	318.3874	309.4400	-8.9474	-2.8915	230.6220	2.1123	351.2389	0.7210	nan	208.8460	138.9071	44.8900	88.0996	39.5479	68.9911	99.5165	0.9356	317.6897	-8.2497	-2.6660	32.2796	23.1938	0.6002	
775.8605	779.4444	3.5839	0.4598	1.6002	1.7877	1.7468	-0.1465	-9.1568	0.0957	0.0957	7.0315	2.3226	3.0357	-1.3188	3.6198	2.6921	2.7115	-0.0194	-0.7189	0.0000	16.1100	52.0781	66.7874	65.7160	-1.0714	-1.6304	293.0956	288.4178	-4.6778	-1.6219	230.5361	1.9819	327.2344	0.7162	nan	209.3487	130.6152	45.2868	88.1380	39.9149	74.2125	100.7452	0.9412	295.6513	-7.2336	-2.5080	31.3907	22.3184	0.5944	
778.5914	778.5714	-0.0200	-0.0026	1.4996	1.6801	1.7162	-0.2166	-14.4462	0.0938	0.0936	6.2507	2.0384	3.0665	-1.1618	3.3737	2.5345	2.5534	-0.0188	-0.7423	0.0000	13.9003	51.0009	64.7620	63.4979	-1.2641	-1.9908	277.0086	263.9700	-13.0386	-4.9394	230.3856	1.8307	299.5943	0.7103	nan	209.9073	122.2628	46.3170	88.1092	40.8095	77.9678	100.1690	0.9470	270.3710	-6.4010	-2.4249	30.2504	20.1032	0.5917	
777.1035	780.5455	3.4420	0.4410	1.4005	1.5870	1.6148	-0.2143	-15.3049	0.0917	0.0912	5.4124	1.8346	2.9515	-1.1794	3.1539	2.3719	2.3902	-0.0183	-0.7731	0.0000	11.9185	49.0553	61.8404	60.9815	-0.8588	-1.4083	249.9100	238.6927	-11.2173	-4.6995	230.4672	1.6722	271.1582	0.7036	nan	210.7687	114.4711	47.9575	88.0271	42.2156	80.5098	98.2894	0.9528	244.5176	-5.8249	-2.4403	28.9329	16.8284	0.5904	
785.6338	781.2000	-4.4338	-0.5676	1.2992	1.4294	1.4496	-0.1504	-11.5771	0.0885	0.0883	4.2312	1.5578	2.7239	-1.0964	2.8802	2.2060	2.2235	-0.0175	-0.7951	0.0000	9.6847	47.3322	59.1709	58.2986	-0.8723	-1.4963	216.0468	213.4760	-2.5708	-1.2042	230.7310	1.5124	242.9440	0.6962	nan	211.8007	106.2838	49.7873	87.8705	43.7483	81.9600	95.4769	0.9584	219.0135	-5.5375	-2.5940	27.5252	13.8534	0.5890	
786.5309	779.2222	-7.3087	-0.9379	1.2001	1.3084	1.3243	-0.1242	-10.3483	0.0855	0.0855	3.2229	1.2499	2.5790	-0.9996	2.7367	2.0398	2.0560	-0.0163	-0.7968	0.0000	9.3625	45.2334	56.5756	55.5152	-1.0604	-1.9101	192.5589	189.0933	-3.4655	-1.8327	230.8221	1.3580	215.7067	0.6881	nan	212.6962	97.9289	51.7887	87.6623	45.3991	82.3072	92.3322	0.9641	193.7893	-4.6960	-2.4834	26.1007	11.2674	0.5884	
780.9127	781.0000	0.0873	0.0112	1.1004	1.2223	1.2278	-0.1274	-11.5743	0.0837	0.0837	2.7239	1.1110	2.4530	-0.9279	2.5160	1.8808	1.8951	-0.0143	-0.7600	0.0000	7.4953	43.3565	53.8921	52.8267	-1.0654	-2.0168	172.0009	166.8467	-5.1542	-3.0892	230.6170	1.2173	190.9078	0.6801	nan	213.2674	90.0012	53.9424	87.3965	47.1438	81.9135	88.9780	0.9695	171.0517	-4.2051	-2.5203	24.7701	9.0017	0.5851	
