Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7423	0.0000	-0.0000	0.0080	0.0000	0.6960	-0.0300	230.8490	0.0000	1.6500	54.1783	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4833	0.0000	-0.0000	0.0080	0.0000	0.6960	-0.0300	230.8520	0.0000	1.6400	54.1392	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.2183	0.0000	-0.0000	0.0080	0.0000	0.6960	-0.0300	230.8540	0.0000	1.6500	54.0864	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.9531	0.0000	-0.0020	0.0080	0.0000	0.6960	-0.0300	230.8550	0.0000	1.6600	54.0807	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.6952	0.0000	-0.0000	0.0080	0.0000	0.6960	-0.0300	230.8570	0.0000	1.6500	54.0497	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.3632	0.0000	-0.0000	0.0080	0.0000	0.6950	-0.0300	230.8570	0.0000	1.6500	54.0338	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.9845	0.2081	-1.9935	0.0865	0.0000	0.0000	321.8777	0.0000	73.7530	1.9954	0.0047	83.8185
4.4359	0.0000	-0.0000	0.0080	0.0000	0.6950	-0.0300	230.8570	0.0000	1.6500	54.0338	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.9845	0.2081	-1.9935	0.0865	0.0000	0.0000	321.8777	0.0000	73.7530	1.9954	0.0047	83.8185
4.9684	0.0000	-0.0010	0.0080	0.0000	0.6950	-0.0300	230.8550	0.0000	1.6500	54.0025	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.9845	0.2081	-1.9935	0.0865	0.0000	0.0000	321.8452	0.0000	73.5803	1.9954	0.0047	83.7270
5.1657	0.0000	-0.0010	0.0080	0.0000	0.6950	-0.0300	230.8550	0.0000	1.6500	54.0025	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.9845	0.2081	-1.9935	0.0865	0.0000	0.0000	321.8452	0.0000	73.5803	1.9954	0.0047	83.7270
5.5744	0.0000	-0.0000	0.0080	0.0000	0.6950	-0.0300	230.8540	0.0000	1.6400	53.9563	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0352	-1.9845	0.2081	-1.9935	0.0865	0.0000	0.0000	321.8669	0.0000	73.4065	1.9954	0.0049	83.6359
