Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7302	0.0000	0.0000	0.0050	0.0000	0.0000	-0.0100	230.3630	0.0000	1.6400	58.7105	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4609	0.0000	0.0000	0.0051	0.0000	0.0000	-0.0100	230.3520	0.0000	1.6300	58.6518	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.1940	0.0000	0.0000	0.0050	0.0000	0.0000	-0.0100	230.3480	0.0000	1.6300	58.5872	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.9372	0.0000	-0.0000	0.0050	0.0000	0.0000	-0.0100	230.3410	0.0000	1.6300	58.5161	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.6684	0.0000	-0.0000	0.0050	0.0000	0.0000	-0.0100	230.3360	0.0000	1.6300	58.5062	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.3853	0.0000	-0.0000	0.0050	0.0000	0.0000	-0.0100	230.3290	0.0000	1.6300	58.4521	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0354	-1.9153	0.2913	-1.9334	0.1232	0.0000	0.0000	321.0226	0.0000	62.3405	1.9373	0.0047	68.9654
4.4051	0.0000	-0.0000	0.0050	0.0000	0.0000	-0.0100	230.3290	0.0000	1.6300	58.4521	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0354	-1.9153	0.2913	-1.9334	0.1232	0.0000	0.0000	321.0226	0.0000	62.3405	1.9373	0.0047	68.9654
4.9903	0.0000	-0.0000	0.0050	0.0000	0.0000	-0.0100	230.3260	0.0000	1.6300	58.3903	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0354	-1.9153	0.2913	-1.9334	0.1232	0.0000	0.0000	320.9265	0.0000	62.2774	1.9373	0.0199	68.9217
5.1426	0.0000	-0.0000	0.0050	0.0000	0.0000	-0.0100	230.3260	0.0000	1.6300	58.3903	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0354	-1.9153	0.2913	-1.9334	0.1232	0.0000	0.0000	320.9265	0.0000	62.2774	1.9373	0.0199	68.9217
5.5955	0.0000	-0.0000	0.0051	0.0000	0.0000	-0.0100	230.3210	0.0000	1.6400	58.3739	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0354	-1.9153	0.2913	-1.9334	0.1232	0.0000	0.0000	320.9861	0.0000	62.2189	1.9373	0.0048	68.9217
