WindyBPMp50_OrcaH34_Dyno_High_Speed_Power__18000rpm__180Vac_40C_20240917_123512
Report created on: 2024/09/17: 12:50:06


Step N. = 	0
Target Speed = 	18000

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
17792.9963	17792.9963	0.0000	0.0000	0.2154	0.3141	0.2683	-0.0529	-24.5570	0.0133	0.0123	-1.8385	-0.6221	3.3263	-3.5395	0.3386	2.5839	2.5998	-0.0159	-0.6163	0.0000	-14.6530	137.2963	169.2854	150.3091	-18.9763	-12.6248	704.1666	599.0171	-105.1495	-17.5537	179.6880	4.6695	654.6757	0.7803	nan	153.4360	401.3929	67.0115	91.4985	61.3150	47.9459	62.6188	0.8905	669.5509	-70.5338	-11.7749	97.9624	77.2750	0.0834	
17422.1386	17422.1386	0.0000	0.0000	0.2240	0.3146	0.1903	0.0337	15.0267	0.0126	0.0132	-4.6937	-2.2252	2.3228	-3.7909	0.3620	2.5898	2.6106	-0.0208	-0.8047	0.0000	-1.0966	131.6975	162.1475	150.2893	-11.8582	-7.8902	461.6052	607.5944	145.9892	24.0274	179.7880	4.7468	663.9733	0.7780	nan	153.5723	408.6736	67.2693	91.5091	61.5575	49.9334	63.9974	0.9013	646.0264	-38.4320	-6.3253	97.8626	77.1371	0.0865	
17446.0364	17446.0364	0.0000	0.0000	0.2261	0.3341	0.2713	-0.0452	-19.9826	0.0125	0.0146	0.8151	0.1612	3.7336	-3.5298	0.3406	2.5793	2.6093	-0.0300	-1.1649	0.0000	-1.3114	141.0508	173.2685	150.5993	-22.6692	-15.0527	792.3813	602.8133	-189.5680	-31.4472	179.9961	4.7071	658.2533	0.7770	nan	153.7195	413.0937	68.5280	91.5780	62.7568	51.8361	65.3051	0.8960	670.5427	-67.7294	-11.2355	97.9711	68.0801	0.0877	
17406.2696	17406.2696	0.0000	0.0000	0.2257	0.2720	0.2766	-0.0509	-22.5525	0.0142	0.0118	-2.7711	-1.0154	3.3147	-3.6598	0.3504	2.5867	2.5953	-0.0086	-0.3339	0.0000	-1.1478	127.6185	157.0933	150.6192	-6.4741	-4.2983	630.9694	605.0544	-25.9150	-4.2831	180.2544	4.7065	660.6167	0.7787	nan	154.2717	411.3459	67.9841	91.5896	62.2665	53.6203	66.5447	0.8966	645.6269	-40.5725	-6.7056	97.6328	70.5769	0.0872	
17307.3830	17307.3830	0.0000	0.0000	0.2280	0.3262	0.2613	-0.0333	-14.5993	0.0125	0.0130	2.5293	0.6686	3.7851	-3.8669	0.3575	2.5894	2.6099	-0.0205	-0.7926	0.0000	5.5977	107.4990	131.8606	150.5891	18.7285	12.4369	618.3372	606.1000	-12.2372	-2.0190	180.4096	4.7098	661.7267	0.7788	nan	154.0658	413.2316	68.1766	91.5938	62.4454	55.3041	67.7660	0.8974	634.9459	-28.8459	-4.7593	97.7436	68.7251	0.0881	
17312.1649	17312.1649	0.0000	0.0000	0.2293	0.3084	0.3042	-0.0749	-32.6593	0.0137	0.0131	-0.6406	-0.1548	3.6841	-3.6460	0.3210	2.5854	2.6133	-0.0280	-1.0820	0.0000	-11.3796	135.1536	166.5358	150.6611	-15.8747	-10.5367	753.8725	609.1667	-144.7058	-23.7547	180.3758	4.7354	665.0500	0.7786	nan	153.8910	415.7633	68.2584	91.5973	62.5231	56.8696	68.9853	0.9029	694.5139	-85.3472	-14.0105	97.9014	68.9520	0.0887	
17232.4405	17232.4405	0.0000	0.0000	0.2324	0.2827	0.2537	-0.0212	-9.1309	0.0128	0.0121	0.5259	-0.0791	3.4933	-3.5480	0.3104	2.5823	2.6026	-0.0203	-0.7862	0.0000	-7.9956	136.7908	168.5814	150.6491	-17.9323	-11.9033	727.2280	611.1700	-116.0580	-18.9895	180.3491	4.7454	667.1800	0.7796	nan	153.9204	419.4637	68.6378	91.6050	62.8759	58.3721	70.1696	0.9070	682.8596	-71.6896	-11.7299	97.8750	66.8848	0.0900	
17131.5728	17131.5728	0.0000	0.0000	0.2334	0.2717	0.2705	-0.0371	-15.8864	0.0143	0.0124	-1.1923	-0.7209	3.2513	-3.9199	0.3482	2.5868	2.5983	-0.0114	-0.4415	0.0000	-3.8423	135.9426	166.6739	150.4683	-16.2056	-10.7701	670.6206	609.4500	-61.1706	-10.0370	180.3606	4.7212	665.4357	0.7815	nan	154.1398	418.7724	68.7142	91.5867	62.9333	59.7412	71.3223	0.9040	614.3426	-4.8926	-0.8028	97.6182	64.8053	0.0902	
17107.5774	17107.5774	0.0000	0.0000	0.2377	0.3040	0.2636	-0.0258	-10.8628	0.0134	0.0137	-1.3301	-0.4719	3.3893	-3.7619	0.3521	2.5972	2.6123	-0.0151	-0.5824	0.0000	2.4463	144.3216	177.3883	150.3180	-27.0703	-18.0087	743.8617	615.1850	-128.6767	-20.9167	180.3630	4.7902	672.5725	0.7785	nan	154.1553	425.9306	69.2406	91.4671	63.3320	61.0353	72.4276	0.9098	673.8897	-58.7047	-9.5426	97.5115	61.7955	0.0915	
17093.0908	17093.0908	0.0000	0.0000	0.2387	0.3585	0.2622	-0.0235	-9.8653	0.0143	0.0146	0.1403	-0.4263	3.1213	-3.8640	0.3675	2.6009	2.6221	-0.0213	-0.8174	0.0000	0.3516	132.4332	162.6230	150.4866	-12.1364	-8.0648	621.3609	625.3622	4.0013	0.6398	180.3237	4.8549	683.5300	0.7808	nan	153.7562	427.2040	68.3287	91.4900	62.5140	62.3163	73.5686	0.9225	665.8596	-40.4974	-6.4758	97.8736	69.7586	0.0918	
16940.9727	16940.9727	0.0000	0.0000	0.2379	0.3149	0.2564	-0.0185	-7.7938	0.0129	0.0131	1.5035	0.3176	3.5006	-3.7348	0.4059	2.5888	2.6038	-0.0150	-0.5805	0.0000	-5.9816	130.8041	160.5074	150.1587	-10.3488	-6.8919	683.2923	608.6778	-74.6145	-12.2585	180.2037	4.7264	665.0767	0.7809	nan	153.8144	422.0281	69.3365	91.5200	63.4568	63.5638	74.6499	0.9040	661.5089	-52.8311	-8.6797	97.6234	58.8820	0.0919	
16872.8304	16872.8304	0.0000	0.0000	0.2395	0.3532	0.2367	0.0028	1.1562	0.0125	0.0150	2.3230	0.4719	3.3724	-3.6561	0.4227	2.5841	2.6077	-0.0236	-0.9131	0.0000	-12.5708	148.0110	181.9719	150.2548	-31.7171	-21.1089	739.4063	615.7200	-123.6863	-20.0881	180.0673	4.7626	672.7800	0.7845	nan	153.7798	423.1771	68.7426	91.5190	62.9127	64.7262	75.7222	0.9155	667.1330	-51.4130	-8.3501	97.7079	64.7272	0.0927	
16825.0253	16825.0253	0.0000	0.0000	0.2447	0.3202	0.2572	-0.0125	-5.1140	0.0131	0.0129	-0.1075	-0.2972	3.4067	-3.7640	0.3617	2.5880	2.6082	-0.0202	-0.7794	0.0000	2.5699	121.2271	148.6167	150.1244	1.5077	1.0043	605.4934	616.8111	11.3177	1.8349	180.0513	4.7877	674.4578	0.7824	nan	153.5134	431.0778	69.8889	91.4533	63.9155	65.8532	76.7753	0.9166	665.1899	-48.3788	-7.8434	97.7929	57.0231	0.0945	
16742.7367	16742.7367	0.0000	0.0000	0.2467	0.3639	0.2801	-0.0334	-13.5188	0.0129	0.0153	2.7948	0.7597	3.6321	-3.7959	0.3863	2.5905	2.6142	-0.0237	-0.9152	0.0000	-2.1592	139.6005	171.8720	150.1317	-21.7403	-14.4808	746.1956	621.3914	-124.8042	-20.0846	180.1177	4.8405	679.8500	0.7798	nan	153.4981	432.5625	69.6152	91.4014	63.6293	66.9255	77.7963	0.9224	668.2200	-46.8286	-7.5361	97.8072	59.3908	0.0952	
16692.9235	16692.9235	0.0000	0.0000	0.2463	0.2907	0.2609	-0.0146	-5.9267	0.0124	0.0140	1.7244	0.4328	3.6414	-3.8217	0.3819	2.5865	2.6085	-0.0220	-0.8494	0.0000	-8.7421	127.1596	156.4407	150.1040	-6.3367	-4.2216	691.6049	615.3011	-76.3038	-12.4010	180.2456	4.7732	672.7900	0.7820	nan	153.3134	430.6139	69.9884	91.4551	64.0081	68.0274	78.8500	0.9150	688.2713	-72.9701	-11.8593	97.9068	55.1598	0.0952	
16625.0097	16625.0097	0.0000	0.0000	0.2471	0.2860	0.3115	-0.0644	-26.0603	0.0145	0.0142	-1.5200	-0.5162	3.5643	-3.5154	0.3238	2.5957	2.6120	-0.0163	-0.6285	0.0000	1.1546	130.7674	160.3159	150.0168	-10.2991	-6.8653	689.4522	619.8200	-69.6322	-11.2343	180.2819	4.8141	678.2978	0.7815	nan	153.5821	430.2153	69.4106	91.3791	63.4269	69.0739	79.8658	0.9190	689.3233	-69.5033	-11.2135	97.6786	58.6872	0.0952	
