Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	My_Measured_Temp
0.7605	0.0000	-0.0560	0.0000	0.0000	0.0000	-0.0000	230.5760	0.0000	2.3900	23.9318	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4929	0.0000	-0.0560	0.0000	0.0000	0.0000	-0.0000	230.6170	0.0000	2.1400	23.9534	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.2418	0.0000	-0.0560	0.0000	0.0000	0.0000	-0.0000	230.6940	0.0000	2.3700	23.9585	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.1091	0.0000	-0.0560	0.0000	0.0000	0.0000	-0.0000	230.7310	0.0000	2.4000	23.9710	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.8516	0.0000	-0.0560	0.0000	0.0000	0.0000	-0.0000	230.7990	0.0000	2.1500	23.9271	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.4214	0.0000	-0.0560	0.0000	0.0000	0.0000	-0.0000	230.8310	0.0000	2.3900	23.9599	NOT CONNECTED	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.7222	0.0000	25.0000	0.0000	0.0057	39.6581	30.0000
4.5829	0.0000	-0.0560	0.0000	0.0000	0.0000	-0.0000	230.8310	0.0000	2.3900	23.9599	NOT CONNECTED	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.7222	0.0000	25.0000	0.0000	0.0057	39.6581	30.0000
5.0428	0.0000	-0.0560	0.0000	0.0000	0.0000	-0.0000	230.8950	0.0000	2.1700	23.9254	NOT CONNECTED	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.7871	0.0000	25.0000	0.0000	0.0055	39.6469	30.0000
5.3188	0.0000	-0.0560	0.0000	0.0000	0.0000	-0.0000	230.8950	0.0000	2.1700	23.9254	NOT CONNECTED	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.7871	0.0000	25.0000	0.0000	0.0055	39.6469	30.0000
5.6639	0.0000	-0.0560	0.0000	0.0000	0.0000	-0.0000	230.8950	0.0000	2.1700	23.9254	NOT CONNECTED	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.8399	0.0000	25.0000	0.0000	0.0056	39.6357	30.0000
