Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	My_Measured_Temp
0.7396	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0100	264.7890	0.0000	2.5200	86.9544	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4688	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0100	264.7720	0.0000	2.5900	86.7929	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.2083	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0100	264.7630	0.0000	2.5900	86.6875	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.9451	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0100	264.7540	0.0000	2.5900	86.5710	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.6791	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0100	264.7500	0.0000	2.5900	86.4315	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.2194	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0100	264.7410	0.0000	2.5800	86.3129	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0538	-0.8438	-0.6031	-0.9607	-0.3909	0.0000	0.0000	368.4437	0.0000	87.0975	1.0371	0.0053	40.0000	87.0975
4.4132	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0100	264.7410	0.0000	2.5800	86.3129	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0538	-0.8438	-0.6031	-0.9607	-0.3909	0.0000	0.0000	368.4437	0.0000	87.0975	1.0371	0.0053	40.0000	87.0975
4.8418	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0100	264.7310	0.0000	2.5900	86.1907	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0538	-0.8438	-0.6031	-0.9607	-0.3909	0.0000	0.0000	368.3923	0.0000	87.0975	1.0371	0.0057	40.0000	87.0975
5.1429	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0100	264.7310	0.0000	2.5900	86.1907	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0538	-0.8438	-0.6031	-0.9607	-0.3909	0.0000	0.0000	368.3923	0.0000	87.0975	1.0371	0.0057	40.0000	87.0975
5.4626	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0100	264.7310	0.0000	2.5900	86.1907	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0538	-0.8438	-0.6031	-0.9607	-0.3909	0.0000	0.0000	368.4126	0.0000	87.0975	1.0371	0.0060	40.0000	87.0975
