Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7386	0.0000	-0.0360	0.0000	0.0000	0.0000	-0.0100	170.1450	0.0000	1.3200	66.2830	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4636	0.0000	-0.0290	0.0000	0.0000	0.0000	-0.0100	170.1480	0.0000	1.2700	65.9184	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.8327	0.0000	-0.0290	0.0000	0.0000	0.0000	-0.0100	170.1480	0.0000	1.2700	65.9184	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0538	-1.9682	0.6228	-2.0448	0.2837	0.0000	0.0000	236.2518	0.0000	65.6520	2.0644	0.0051	90.1446
2.2291	0.0000	-0.0310	0.0000	0.0000	0.0000	-0.0100	170.1570	0.0000	1.2600	65.5423	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0538	-1.9682	0.6228	-2.0448	0.2837	0.0000	0.0000	236.2396	0.0000	65.5818	2.0644	0.0052	90.1446
2.4326	0.0000	-0.0310	0.0000	0.0000	0.0000	-0.0100	170.1570	0.0000	1.2600	65.5423	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0538	-1.9682	0.6228	-2.0448	0.2837	0.0000	0.0000	236.2396	0.0000	65.5818	2.0644	0.0052	90.1446
2.9546	0.0000	-0.0320	0.0000	0.0000	0.0000	-0.0100	170.1630	0.0000	1.2700	65.1850	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0538	-1.9682	0.6228	-2.0448	0.2837	0.0000	0.0000	236.2667	0.0000	65.5174	2.0644	0.0052	90.0602
3.0301	0.0000	-0.0320	0.0000	0.0000	0.0000	-0.0100	170.1630	0.0000	1.2700	65.1850	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0538	-1.9682	0.6228	-2.0448	0.2837	0.0000	0.0000	236.2667	0.0000	65.5174	2.0644	0.0052	90.0602
3.6130	0.0000	-0.0330	0.0000	0.0000	0.0000	-0.0100	170.1690	0.0000	1.2600	64.7972	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0538	-1.9682	0.6228	-2.0448	0.2837	0.0000	0.0000	236.2748	0.0000	65.4585	2.0644	0.0050	90.0602
3.7144	0.0000	-0.0330	0.0000	0.0000	0.0000	-0.0100	170.1690	0.0000	1.2600	64.7972	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0538	-1.9682	0.6228	-2.0448	0.2837	0.0000	0.0000	236.2748	0.0000	65.4585	2.0644	0.0050	90.0602
4.2080	0.0000	-0.0400	0.0000	0.0000	0.0000	-0.0100	170.1800	0.0000	1.2600	64.4425	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0538	-1.9682	0.6228	-2.0448	0.2837	0.0000	0.0000	236.2761	0.0000	65.4066	2.0644	0.0052	89.9761
