Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7376	0.0000	-0.0140	0.0071	0.0000	0.0000	-0.0200	230.8210	0.0000	1.3100	79.7341	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4805	0.0000	-0.0140	0.0071	0.0000	0.0000	-0.0200	230.8370	0.0000	1.3100	79.5002	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.7847	0.0000	-0.0140	0.0071	0.0000	0.0000	-0.0200	230.8370	0.0000	1.3100	79.5002	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.3275	0.1138	-1.3308	0.0632	0.0000	0.0000	321.5515	0.0000	75.7128	1.3323	0.0052	95.2872
2.2201	0.0000	-0.0140	0.0071	0.0000	0.0000	-0.0200	230.8610	0.0000	1.3100	79.3110	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.3275	0.1138	-1.3308	0.0632	0.0000	0.0000	321.5718	0.0000	75.6582	1.3323	0.0052	95.2872
2.3892	0.0000	-0.0140	0.0071	0.0000	0.0000	-0.0200	230.8610	0.0000	1.3100	79.3110	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.3275	0.1138	-1.3308	0.0632	0.0000	0.0000	321.5718	0.0000	75.6582	1.3323	0.0052	95.2872
2.9628	0.0000	-0.0140	0.0071	0.0000	0.0000	-0.0200	230.8690	0.0000	1.3000	79.1010	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.3275	0.1138	-1.3308	0.0632	0.0000	0.0000	321.5867	0.0000	75.6065	1.3323	0.0054	95.1868
2.9956	0.0000	-0.0140	0.0071	0.0000	0.0000	-0.0200	230.8690	0.0000	1.3000	79.1010	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.3275	0.1138	-1.3308	0.0632	0.0000	0.0000	321.5867	0.0000	75.6065	1.3323	0.0054	95.1868
3.6001	0.0000	-0.0140	0.0071	0.0000	0.0000	-0.0200	230.8820	0.0000	1.3200	78.9275	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.3275	0.1138	-1.3308	0.0632	0.0000	0.0000	321.6151	0.0000	75.5553	1.3323	0.0054	95.1868
3.7009	0.0000	-0.0140	0.0071	0.0000	0.0000	-0.0200	230.8820	0.0000	1.3200	78.9275	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.3275	0.1138	-1.3308	0.0632	0.0000	0.0000	321.6151	0.0000	75.5553	1.3323	0.0054	95.1868
4.2063	0.0000	-0.0140	0.0071	0.0000	0.0000	-0.0200	230.8870	0.0000	1.3300	78.6533	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.3275	0.1138	-1.3308	0.0632	0.0000	0.0000	321.6273	0.0000	75.5085	1.3323	0.0051	95.0867
