Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	My_Measured_Temp
0.7431	0.0000	-0.0090	0.0298	0.0000	0.9750	-0.0300	230.6110	0.0331	1.8900	34.5271	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4899	0.0000	-0.0080	0.0106	0.0000	0.0000	-0.0300	230.5790	0.0000	1.3100	34.5097	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.2198	0.0000	-0.0090	0.0106	0.0000	0.0000	-0.0300	230.5610	0.0000	1.3100	34.5223	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.9596	0.0000	-0.0090	0.0106	0.0000	0.0000	-0.0300	230.5320	0.0000	1.3100	34.5090	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.6940	0.0000	-0.0120	0.0106	0.0000	0.0000	-0.0300	230.5210	0.0000	1.3200	34.5258	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.4269	0.0000	-0.0090	0.0106	0.0000	0.0000	-0.0300	230.5070	0.0000	1.3100	34.5246	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.4910	0.0000	-0.0090	0.0106	0.0000	0.0000	-0.0300	230.5070	0.0000	1.3100	34.5246	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4638	0.2113	-1.4748	0.1120	0.0000	0.0000	320.8454	0.0000	32.5497	1.4790	0.0054	48.3459	45.1559
5.1128	0.0000	-0.0080	0.0106	0.0000	0.0000	-0.0300	230.5030	0.0000	1.3100	34.5251	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4638	0.2113	-1.4748	0.1120	0.0000	0.0000	320.8481	0.0000	32.5324	1.4790	0.0053	48.3408	45.1559
5.1723	0.0000	-0.0080	0.0106	0.0000	0.0000	-0.0300	230.5030	0.0000	1.3100	34.5251	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4638	0.2113	-1.4748	0.1120	0.0000	0.0000	320.8481	0.0000	32.5324	1.4790	0.0053	48.3408	45.1559
5.7339	0.0000	-0.0100	0.0106	0.0000	0.0000	-0.0300	230.5020	0.0000	1.3100	34.5021	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4638	0.2113	-1.4748	0.1120	0.0000	0.0000	320.8021	0.0000	32.5170	1.4790	0.0053	48.3408	45.1559
5.9032	0.0000	-0.0100	0.0106	0.0000	0.0000	-0.0300	230.5020	0.0000	1.3100	34.5021	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4638	0.2113	-1.4748	0.1120	0.0000	0.0000	320.8021	0.0000	32.5170	1.4790	0.0053	48.3408	45.1559
6.3552	0.0000	-0.0100	0.0106	0.0000	0.0000	-0.0300	230.5060	0.0000	1.3100	34.5017	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4638	0.2113	-1.4748	0.1120	0.0000	0.0000	320.7655	0.0000	32.5031	1.4790	0.0055	48.3358	45.1559
