Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7417	0.0000	-0.0000	0.0107	0.0000	0.3040	-0.0400	230.7690	0.0000	1.3900	41.5880	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4642	0.0000	-0.0000	0.0107	0.0000	0.3040	-0.0400	230.8070	0.0000	1.3200	41.5561	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4291	0.2139	-1.4405	0.1147	0.0000	0.0000	321.1944	0.0000	31.0226	1.4450	0.0054	53.2787
1.4755	0.0000	-0.0000	0.0107	0.0000	0.3040	-0.0400	230.8070	0.0000	1.3200	41.5561	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4291	0.2139	-1.4405	0.1147	0.0000	0.0000	321.1944	0.0000	31.0226	1.4450	0.0054	53.2787
2.0701	0.0000	-0.0000	0.0108	0.0000	0.3040	-0.0400	230.8250	0.0000	1.3300	41.5824	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4291	0.2139	-1.4405	0.1147	0.0000	0.0000	321.2120	0.0000	31.0041	1.4450	0.0054	53.2690
2.2245	0.0000	-0.0000	0.0108	0.0000	0.3040	-0.0400	230.8250	0.0000	1.3300	41.5824	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4291	0.2139	-1.4405	0.1147	0.0000	0.0000	321.2120	0.0000	31.0041	1.4450	0.0054	53.2690
2.6756	0.0000	-0.0000	0.0108	0.0000	0.3040	-0.0400	230.8600	0.0000	1.3500	41.5369	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4291	0.2139	-1.4405	0.1147	0.0000	0.0000	321.2486	0.0000	30.9880	1.4450	0.0053	53.2593
2.9692	0.0000	-0.0000	0.0108	0.0000	0.3040	-0.0400	230.8600	0.0000	1.3500	41.5369	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4291	0.2139	-1.4405	0.1147	0.0000	0.0000	321.2486	0.0000	30.9880	1.4450	0.0053	53.2593
3.2799	0.0000	-0.0000	0.0108	0.0000	0.3040	-0.0400	230.8600	0.0000	1.3500	41.5369	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4291	0.2139	-1.4405	0.1147	0.0000	0.0000	321.2932	0.0000	30.9732	1.4450	0.0053	53.2593
3.8866	0.0000	-0.0000	0.0108	0.0000	0.3040	-0.0400	230.8600	0.0000	1.3500	41.5369	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4291	0.2139	-1.4405	0.1147	0.0000	0.0000	321.3067	0.0000	30.9597	1.4450	0.0054	53.2497
4.4767	0.0000	-0.0000	0.0108	0.0000	0.3040	-0.0400	230.9140	0.0000	1.3300	41.5075	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.4291	0.2139	-1.4405	0.1147	0.0000	0.0000	321.3122	0.0000	30.9472	1.4450	0.0052	53.2497
