Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7457	0.0000	-0.0190	0.0069	0.0000	0.0000	-0.0200	230.4770	0.0000	1.3700	72.4548	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4830	0.0000	-0.0190	0.0068	0.0000	0.0000	-0.0200	230.4880	0.0000	1.3600	72.2651	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.8431	0.0000	-0.0190	0.0068	0.0000	0.0000	-0.0200	230.4880	0.0000	1.3600	72.2651	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0534	-1.6217	0.3054	-1.6430	0.1546	0.0000	0.0000	320.8562	0.0000	81.1384	1.6502	0.0054	109.7726
2.2165	0.0000	-0.0170	0.0068	0.0000	0.0000	-0.0200	230.4930	0.0000	1.3700	72.0551	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0534	-1.6217	0.3054	-1.6430	0.1546	0.0000	0.0000	320.8792	0.0000	81.1101	1.6502	0.0056	109.6197
2.4490	0.0000	-0.0170	0.0068	0.0000	0.0000	-0.0200	230.4930	0.0000	1.3700	72.0551	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0534	-1.6217	0.3054	-1.6430	0.1546	0.0000	0.0000	320.8792	0.0000	81.1101	1.6502	0.0056	109.6197
3.0545	0.0000	-0.0170	0.0068	0.0000	0.0000	-0.0200	230.4930	0.0000	1.3700	72.0551	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0534	-1.6217	0.3054	-1.6430	0.1546	0.0000	0.0000	320.8765	0.0000	81.0812	1.6502	0.0055	109.6197
3.6604	0.0000	-0.0150	0.0068	0.0000	0.0000	-0.0200	230.5220	0.0000	1.3700	71.5384	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0534	-1.6217	0.3054	-1.6430	0.1546	0.0000	0.0000	320.9022	0.0000	81.0553	1.6502	0.0053	109.4674
4.2659	0.0000	-0.0150	0.0068	0.0000	0.0000	-0.0200	230.5220	0.0000	1.3700	71.5384	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0534	-1.6217	0.3054	-1.6430	0.1546	0.0000	0.0000	320.8954	0.0000	81.0275	1.6502	0.0053	109.4674
4.4814	0.0000	-0.0150	0.0068	0.0000	0.0000	-0.0200	230.5220	0.0000	1.3700	71.5384	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0534	-1.6217	0.3054	-1.6430	0.1546	0.0000	0.0000	320.8954	0.0000	81.0275	1.6502	0.0053	109.4674
4.8713	0.0000	-0.0170	0.0068	0.0000	0.0000	-0.0200	230.5270	0.0000	1.3600	71.3413	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0534	-1.6217	0.3054	-1.6430	0.1546	0.0000	0.0000	320.9022	0.0000	81.0012	1.6502	0.0055	109.3157
