WindyBPMp50_OrcaH34_Dyno_Speed_Torque__230Vac_40C_Yongchang_B3Y02_20250414_095454
Report created on: 2025/04/14: 11:29:44


Step N. = 	0
Target Speed = 	381

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
382.3746	377.5556	-4.8190	-1.2764	2.7996	3.2061	3.2114	-0.4119	-14.7120	0.1443	0.1445	11.4226	3.0753	3.7161	-2.2068	4.2788	3.4002	3.4188	-0.0186	-0.5482	0.0000	20.0989	46.5873	62.1558	60.8754	-1.2804	-2.1033	352.4118	343.0022	-9.4096	-2.7433	230.2253	2.3516	396.8022	0.7329	nan	206.4698	110.6875	32.2703	86.4413	27.8948	47.1851	61.5900	0.9567	350.4381	-7.4359	-2.1679	29.4839	24.5001	0.8234	
377.9789	379.3750	1.3961	0.3680	2.6981	3.3317	3.3949	-0.6968	-25.8261	0.1467	0.1465	11.0929	2.8592	3.8770	-2.1804	4.2430	3.3031	3.3630	-0.0600	-1.8160	0.0000	19.6964	45.7491	61.0133	60.6557	-0.3575	-0.5895	350.8228	334.1825	-16.6403	-4.9794	230.3166	2.2913	384.7775	0.7291	nan	207.1266	107.1913	32.0762	86.8507	27.8583	55.9132	65.5204	0.9630	346.7189	-12.5364	-3.7514	29.2843	24.5472	0.8169	
384.5244	378.4444	-6.0800	-1.6066	2.6012	3.3158	3.3183	-0.7170	-27.5655	0.1474	0.1467	10.0505	2.6797	3.7518	-2.0611	4.1154	3.2149	3.2574	-0.0425	-1.3220	0.0000	17.4268	47.5696	62.0498	60.2350	-1.8148	-3.0129	337.8925	324.7622	-13.1303	-4.0431	230.5944	2.2272	372.9256	0.7261	nan	208.0507	103.0880	31.7431	87.0849	27.6434	63.7196	67.2982	0.9683	337.2087	-12.4465	-3.8325	28.9520	24.5279	0.8091	
384.0150	379.5000	-4.5150	-1.1897	2.5003	3.3205	3.3330	-0.8327	-33.3057	0.1479	0.1469	9.2099	2.4558	3.7518	-1.9707	3.9931	3.1318	3.1798	-0.0480	-1.5336	0.0000	16.1607	46.9380	60.8012	59.6593	-1.1420	-1.9141	323.6313	314.7625	-8.8688	-2.8176	230.3995	2.1648	360.8925	0.7236	nan	208.4519	99.3628	31.5682	87.2177	27.5330	70.3084	68.3813	0.9726	325.7771	-11.0146	-3.4993	28.6201	24.0160	0.7983	
388.6798	379.6250	-9.0548	-2.3852	2.4000	3.2467	3.3149	-0.9149	-38.1196	0.1464	0.1454	8.5225	2.2527	3.7814	-1.8957	3.9138	3.0456	3.0893	-0.0438	-1.4370	0.0000	15.4327	46.9755	60.5713	58.8705	-1.7008	-2.8891	318.4994	303.1650	-15.3344	-5.0581	230.2269	2.0932	347.4038	0.7209	nan	208.5748	95.4102	31.4716	87.2658	27.4639	75.9744	69.2503	0.9762	312.1663	-9.0013	-2.9691	28.2251	23.2690	0.7880	
384.7202	381.2222	-3.4980	-0.9176	2.2999	3.2156	3.2232	-0.9233	-40.1457	0.1449	0.1441	7.6132	2.0554	3.7092	-1.9842	3.7214	2.9512	3.0144	-0.0632	-2.1418	0.0000	13.6689	46.1358	58.9387	57.7936	-1.1451	-1.9814	298.6419	289.2744	-9.3674	-3.2383	230.5384	2.0040	331.4022	0.7173	nan	209.1373	91.8153	31.7403	87.2880	27.7055	80.3788	69.9082	0.9792	300.2474	-10.9729	-3.7933	27.6343	21.6800	0.7793	
391.2733	380.0000	-11.2733	-2.9667	2.1997	3.0701	3.1267	-0.9270	-42.1437	0.1419	0.1418	6.6965	1.8234	3.6710	-1.8379	3.6354	2.8522	2.8992	-0.0469	-1.6458	0.0000	13.0449	45.3067	57.7496	56.5756	-1.1740	-2.0751	285.1891	274.4022	-10.7869	-3.9310	230.5987	1.9102	314.3978	0.7137	nan	209.7686	87.5326	31.8994	87.2787	27.8414	83.9574	70.4338	0.9818	285.7495	-11.3473	-4.1353	26.9705	20.7469	0.7712	
386.7262	381.0000	-5.7262	-1.5029	2.1006	2.9856	3.0099	-0.9094	-43.2911	0.1394	0.1395	5.8614	1.6263	3.6021	-1.8520	3.4943	2.7496	2.8190	-0.0695	-2.5265	0.0000	11.9479	45.3245	57.4168	55.1767	-2.2401	-4.0598	274.1797	258.5614	-15.6183	-6.0405	230.4571	1.8121	296.4629	0.7099	nan	210.0737	83.8090	32.4136	87.2155	28.2696	86.5333	70.8481	0.9840	269.2080	-10.6466	-4.1176	26.2654	19.0762	0.7640	
387.1861	381.0000	-6.1861	-1.6236	1.9986	2.8343	2.8296	-0.8309	-41.5760	0.1364	0.1366	5.1781	1.4972	3.4537	-1.7048	3.3449	2.6395	2.6864	-0.0469	-1.7777	0.0000	10.9311	43.5618	55.0140	53.6155	-1.3985	-2.6084	250.3683	241.6637	-8.7045	-3.6019	230.2844	1.7072	277.4325	0.7057	nan	210.4228	79.7419	32.9971	87.1072	28.7429	88.4233	71.1198	0.9859	252.5880	-10.9242	-4.5204	25.4799	17.5891	0.7572	
385.7063	379.4444	-6.2619	-1.6503	1.8994	2.6810	2.6909	-0.7914	-41.6664	0.1340	0.1335	4.7399	1.4171	3.3421	-1.6331	3.1942	2.5207	2.5757	-0.0550	-2.1823	0.0000	9.7825	42.7918	53.7655	51.8968	-1.8687	-3.6008	235.4782	223.7922	-11.6860	-5.2218	230.2388	1.5951	257.3067	0.7006	nan	210.8212	75.4751	33.7256	86.9749	29.3328	89.5986	71.2676	0.9877	234.7048	-10.9126	-4.8762	24.6165	16.1812	0.7535	
381.6036	381.3333	-0.2702	-0.0709	1.7989	2.5334	2.5399	-0.7410	-41.1920	0.1302	0.1303	3.9805	1.2214	3.2523	-1.5484	3.0698	2.3971	2.4489	-0.0518	-2.1610	0.0000	9.0533	40.9102	51.3222	50.0612	-1.2610	-2.5189	216.3411	205.6044	-10.7367	-5.2220	230.3007	1.4796	236.8567	0.6951	nan	211.4346	71.8356	34.9387	86.8054	30.3286	90.1200	71.3121	0.9892	215.7841	-10.1797	-4.9511	23.6770	14.0766	0.7504	
382.5671	381.3333	-1.2338	-0.3235	1.6993	2.3580	2.3538	-0.6545	-38.5143	0.1266	0.1267	3.3074	1.0688	3.0950	-1.5266	2.8731	2.2678	2.3270	-0.0592	-2.6120	0.0000	7.7101	39.8307	49.6906	48.1199	-1.5707	-3.2641	197.2991	187.2344	-10.0647	-5.3754	230.4719	1.3618	216.2311	0.6889	nan	212.1368	67.8596	36.2432	86.5900	31.3829	89.9132	71.2615	0.9906	197.7631	-10.5287	-5.6233	22.6835	12.3222	0.7493	
388.9619	381.2500	-7.7119	-2.0228	1.5998	2.1264	2.1387	-0.5389	-33.6889	0.1223	0.1223	2.6569	0.9111	2.9180	-1.4174	2.7258	2.1366	2.1757	-0.0391	-1.8322	0.0000	7.0641	38.0538	47.4033	46.1520	-1.2513	-2.7113	176.2148	169.4025	-6.8123	-4.0214	230.6142	1.2471	196.3025	0.6826	nan	213.0656	63.8692	37.7026	86.2967	32.5361	89.1858	71.1117	0.9918	175.6603	-6.2578	-3.6940	21.6609	10.7260	0.7487	
382.8353	381.7778	-1.0575	-0.2770	1.4994	2.0043	2.0005	-0.5011	-33.4180	0.1198	0.1198	2.3140	0.8300	2.7801	-1.3687	2.5819	2.0032	2.0648	-0.0616	-3.0748	0.0000	6.3053	36.5958	45.4840	44.1408	-1.3432	-3.0430	160.6032	152.0933	-8.5099	-5.5952	230.6831	1.1354	176.8989	0.6754	nan	213.6540	59.9473	39.4148	85.9775	33.8879	88.0078	70.8974	0.9931	161.2756	-9.1822	-6.0372	20.6600	9.1200	0.7485	
382.0425	380.6250	-1.4175	-0.3724	1.3994	1.8324	1.8103	-0.4109	-29.3658	0.1162	0.1166	1.7347	0.6685	2.5942	-1.2166	2.3945	1.8658	1.9160	-0.0502	-2.6925	0.0000	5.1554	35.1700	43.5356	42.0906	-1.4450	-3.4331	142.0926	135.2188	-6.8739	-5.0835	230.6886	1.0252	157.9750	0.6679	nan	214.3346	55.7778	41.2503	85.5950	35.3081	86.3218	70.6228	0.9941	143.4637	-8.2450	-6.0975	19.6379	7.8098	0.7500	
384.2199	381.1111	-3.1087	-0.8157	1.2999	1.6626	1.6508	-0.3509	-26.9970	0.1135	0.1135	1.4194	0.5840	2.4262	-1.1153	2.2448	1.7300	1.7880	-0.0580	-3.3550	0.0000	4.3785	33.6474	41.5593	40.0573	-1.5020	-3.7496	126.3380	119.4578	-6.8802	-5.7595	230.6409	0.9210	140.2456	0.6603	nan	214.9742	51.8785	43.4289	85.1776	36.9915	84.4513	70.2999	0.9953	127.3837	-7.9259	-6.6349	18.6336	6.3668	0.7514	
384.1267	382.3333	-1.7934	-0.4691	1.1986	1.5104	1.5159	-0.3174	-26.4783	0.1111	0.1108	1.1058	0.4843	2.2820	-1.0101	2.0751	1.5949	1.6497	-0.0548	-3.4336	0.0000	3.4518	32.0577	39.4919	38.0300	-1.4619	-3.8440	112.2882	104.6811	-7.6071	-7.2669	230.5458	0.8223	123.6689	0.6523	nan	215.5595	47.9876	45.8417	84.6463	38.8033	82.2460	69.9448	0.9964	112.5602	-7.8791	-7.5268	17.6425	5.0388	0.7515	
384.1309	381.4444	-2.6865	-0.7043	1.0993	1.3671	1.3691	-0.2697	-24.5358	0.1083	0.1083	0.7149	0.3390	2.1069	-0.9334	1.9370	1.4691	1.5239	-0.0548	-3.7321	0.0000	2.8953	30.6245	37.6763	36.0936	-1.5827	-4.3850	98.2981	91.6278	-6.6703	-7.2798	230.4274	0.7339	109.0000	0.6446	nan	216.0972	43.9126	47.9251	84.0622	40.2869	79.8566	69.5778	0.9977	98.6249	-6.9971	-7.6364	16.7025	4.2304	0.7483	
382.3929	382.0000	-0.3929	-0.1029	0.9986	1.2346	1.2451	-0.2465	-24.6805	0.1062	0.1061	0.4584	0.2347	1.9512	-0.8352	1.7575	1.3476	1.3844	-0.0369	-2.7349	0.0000	2.1352	29.4234	36.1327	34.1996	-1.9331	-5.6524	86.9272	79.7212	-7.2060	-9.0390	230.3143	0.6523	95.5837	0.6362	nan	216.6784	39.9480	50.1098	83.4046	41.7938	77.3226	69.2109	0.9987	86.0046	-6.2834	-7.8817	15.7836	3.4909	0.7410	
386.9013	380.7500	-6.1513	-1.6156	0.8998	1.0824	1.0848	-0.1851	-20.5706	0.1038	0.1037	0.1995	0.1149	1.7419	-0.7281	1.5802	1.2231	1.2648	-0.0416	-3.4046	0.0000	1.2417	27.8214	34.1084	32.2578	-1.8507	-5.7371	72.9027	68.2975	-4.6052	-6.7429	230.4200	0.5723	82.7450	0.6275	nan	217.4082	35.8749	52.5280	82.5397	43.3563	74.7835	68.8633	0.9994	73.7846	-5.4871	-8.0342	14.8374	2.7855	0.7356	
383.8529	381.2500	-2.6029	-0.6827	0.7995	0.9921	0.9809	-0.1814	-22.6920	0.1022	0.1023	0.0725	0.0429	1.5912	-0.6879	1.4374	1.0949	1.1539	-0.0589	-5.3830	0.0000	0.7625	26.6811	32.6922	30.3426	-2.3495	-7.7433	63.8154	57.4800	-6.3354	-11.0219	230.5766	0.4952	70.5050	0.6175	nan	218.1116	31.9196	55.5319	81.5262	45.2731	72.2914	68.5226	0.9989	64.2107	-6.7307	-11.7096	13.9116	2.0096	0.7302	
383.0272	381.3333	-1.6938	-0.4442	0.6999	0.8646	0.8620	-0.1621	-23.1553	0.1005	0.1006	-0.1128	-0.0780	1.4337	-0.6234	1.2776	0.9709	1.0263	-0.0554	-5.7038	0.0000	0.2452	25.2492	30.9284	28.4646	-2.4638	-8.6558	54.3351	47.7033	-6.6317	-13.9020	230.6881	0.4251	59.4456	0.6062	nan	219.0051	27.9488	58.5890	80.2471	47.0160	69.7037	68.1548	0.9965	53.9986	-6.2952	-13.1966	12.9972	1.3971	0.7208	
384.8684	381.4444	-3.4240	-0.8976	0.5996	0.7340	0.7356	-0.1361	-22.6988	0.0988	0.0989	-0.1585	-0.1293	1.2440	-0.5887	1.1275	0.8496	0.9001	-0.0505	-5.9381	0.0000	-0.2988	23.8287	29.1877	26.6681	-2.5196	-9.4480	44.5970	38.8822	-5.7148	-14.6977	230.7466	0.3603	49.4533	0.5949	nan	219.8249	23.9492	61.5944	78.6240	48.4279	67.1932	67.7965	0.9908	44.8346	-5.9524	-15.3087	12.1316	0.9971	0.7057	
381.9541	381.0000	-0.9541	-0.2504	0.5001	0.6341	0.6238	-0.1237	-24.7301	0.0974	0.0975	-0.2096	-0.1977	1.0655	-0.5234	0.9422	0.7294	0.7874	-0.0580	-7.9571	0.0000	-0.7652	22.4449	27.5060	24.9552	-2.5507	-10.2213	36.1377	30.8856	-5.2521	-17.0051	230.7307	0.3002	40.3322	0.5823	nan	220.5589	19.9536	64.6065	76.5778	49.4739	64.8045	67.4569	0.9796	36.4761	-5.5906	-18.1009	11.3146	0.7455	0.6856	
385.4526	381.7500	-3.7026	-0.9699	0.4000	0.4905	0.5045	-0.1045	-26.1141	0.0960	0.0959	-0.2129	-0.2440	0.8753	-0.4999	0.7742	0.6056	0.6526	-0.0470	-7.7659	0.0000	-1.1675	20.9300	25.6757	23.2925	-2.3832	-10.2316	27.9647	23.4550	-4.5097	-19.2269	230.6277	0.2429	31.8000	0.5677	nan	221.3066	15.9909	68.1770	73.7577	50.2856	62.4769	67.1271	0.9600	27.8134	-4.3584	-18.5818	10.5250	0.4988	0.6605	
382.6507	381.4444	-1.2063	-0.3162	0.3009	0.3955	0.3858	-0.0849	-28.2161	0.0949	0.0949	-0.1657	-0.2460	0.6760	-0.3871	0.6135	0.4615	0.5314	-0.0698	-15.1260	0.0000	-1.2943	19.5302	23.9721	21.7488	-2.2233	-10.2228	20.3515	16.2444	-4.1070	-25.2827	230.4327	0.1854	23.4700	0.5493	nan	221.9234	12.0189	73.9947	69.2133	51.2134	60.3421	66.8211	0.9343	20.7751	-4.5306	-27.8903	9.8002	0.2100	0.6519	
384.0500	382.8889	-1.1611	-0.3033	0.2072	0.2617	0.2756	-0.0684	-32.9894	0.0942	0.0941	-0.0815	-0.1597	0.4872	-0.2213	0.4391	0.2785	0.3683	-0.0898	-32.2527	0.0000	-0.7924	18.1070	22.2008	20.7731	-1.4277	-6.8729	13.5041	9.6489	-3.8553	-39.9555	230.3754	0.1300	15.7378	0.5254	nan	222.8167	8.3093	86.2177	61.2830	52.8207	58.2413	66.5052	0.9630	13.2601	-3.6112	-37.4257	9.3231	-0.1117	0.7440	
382.1443	381.0000	-1.1443	-0.3003	0.1091	0.1469	0.1469	-0.0378	-34.6451	0.0935	0.0935	0.0167	0.0760	0.2617	0.0243	0.2633	0.1654	0.2072	-0.0418	-25.2740	0.0000	0.3432	16.6414	20.3906	20.2044	-0.1862	-0.9215	6.6306	4.9550	-1.6756	-33.8169	230.5866	0.0914	10.4800	0.4975	nan	224.0807	4.3530	87.9217	47.2306	41.5059	56.1987	66.1829	0.8551	6.4220	-1.4670	-29.6061	9.0167	0.0940	0.6597	



Step N. = 	1
Target Speed = 	508

