Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7287	0.0000	-0.0140	0.0000	0.0000	0.0000	-0.0100	230.5380	0.0000	1.2900	58.1934	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4677	0.0000	-0.0140	0.0000	0.0000	0.0000	-0.0100	230.5480	0.0000	1.2900	57.9533	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.1979	0.0000	-0.0140	0.0000	0.0000	0.0000	-0.0100	230.5520	0.0000	1.2900	57.7432	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.9279	0.0000	-0.0140	0.0116	0.0000	0.3820	-0.0100	230.5620	0.0000	1.5300	57.5603	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.6537	0.0000	-0.0140	0.0000	0.0000	0.0000	-0.0100	230.5660	0.0000	1.2800	57.3351	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.7985	0.0000	-0.0140	0.0000	0.0000	0.0000	-0.0100	230.5660	0.0000	1.2800	57.3351	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0534	-1.9218	0.3638	-1.9486	0.1687	0.0000	0.0000	320.9496	0.0000	61.5076	1.9559	0.0053	93.6670
4.3758	0.0000	-0.0140	0.0000	0.0000	0.0000	-0.0100	230.5740	0.0000	1.2800	57.1569	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0534	-1.9218	0.3638	-1.9486	0.1687	0.0000	0.0000	320.9766	0.0000	61.4875	1.9559	0.0051	93.6670
4.3887	0.0000	-0.0140	0.0000	0.0000	0.0000	-0.0100	230.5740	0.0000	1.2800	57.1569	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0534	-1.9218	0.3638	-1.9486	0.1687	0.0000	0.0000	320.9766	0.0000	61.4875	1.9559	0.0051	93.6670
4.9787	0.0000	-0.0140	0.0000	0.0000	0.0000	-0.0100	230.5780	0.0000	1.2800	56.9627	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0534	-1.9218	0.3638	-1.9486	0.1687	0.0000	0.0000	320.9550	0.0000	61.4674	1.9559	0.0051	93.5717
5.1004	0.0000	-0.0140	0.0000	0.0000	0.0000	-0.0100	230.5780	0.0000	1.2800	56.9627	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0534	-1.9218	0.3638	-1.9486	0.1687	0.0000	0.0000	320.9550	0.0000	61.4674	1.9559	0.0051	93.5717
