WindyBPMp50_OrcaH34_Dyno_Speed_Torque__230Vac_40C_Yongchang_Y108_20250311_120239
Report created on: 2025/03/11: 13:34:38


Step N. = 	0
Target Speed = 	381

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
374.7427	379.5000	4.7573	1.2536	2.7996	3.3729	3.3109	-0.5112	-18.2611	0.1460	0.1474	10.7382	2.8467	3.7803	-2.2089	4.2414	3.3478	3.3710	-0.0232	-0.6933	0.0000	18.4541	46.8709	61.6958	60.2997	-1.3960	-2.3152	344.3860	335.9825	-8.4035	-2.5012	230.6891	2.3021	387.9600	0.7305	nan	207.1105	111.2603	33.1154	86.6022	28.6786	50.4111	56.4776	0.9609	346.3668	-10.3843	-3.0907	29.1148	20.8577	0.8363	
386.3270	378.5714	-7.7555	-2.0486	2.7006	3.3782	3.4517	-0.7511	-27.8131	0.1485	0.1482	10.5554	2.7186	3.8835	-2.0252	4.2386	3.2627	3.3173	-0.0547	-1.6752	0.0000	18.7058	46.1616	61.0021	60.1676	-0.8346	-1.3871	345.2736	328.7186	-16.5550	-5.0362	230.5940	2.2535	377.9014	0.7272	nan	207.7414	107.0613	32.5701	86.9851	28.3310	60.1347	60.2678	0.9668	341.2203	-12.5017	-3.8032	28.9627	21.1471	0.8277	
382.1552	381.2500	-0.9052	-0.2374	2.6010	3.4162	3.3931	-0.7921	-30.4526	0.1477	0.1483	9.1663	2.3888	3.8385	-2.0707	4.0339	3.1811	3.2356	-0.0545	-1.7137	0.0000	16.3252	46.6391	60.5222	59.7377	-0.7844	-1.3131	327.0087	319.8500	-7.1587	-2.2381	230.4717	2.1967	366.8525	0.7246	nan	208.1612	103.8434	32.4668	87.1875	28.3070	68.5697	62.1182	0.9718	329.7542	-9.9042	-3.0965	28.6978	19.7180	0.8176	
375.9250	379.2000	3.2750	0.8637	2.5004	3.4372	3.4357	-0.9353	-37.4051	0.1483	0.1487	8.7671	2.2674	3.8640	-2.0969	3.9797	3.1010	3.1458	-0.0448	-1.4437	0.0000	15.5077	47.1691	60.8200	59.1807	-1.6393	-2.7700	326.3093	310.2220	-16.0873	-5.1857	230.3489	2.1363	355.3330	0.7221	nan	208.4400	99.2902	32.0069	87.3045	27.9435	75.9938	63.2513	0.9759	321.9341	-11.7121	-3.7754	28.3922	19.6534	0.8063	
383.4174	378.8889	-4.5286	-1.1952	2.3991	3.3599	3.2995	-0.9004	-37.5314	0.1467	0.1472	7.4643	1.9923	3.7454	-2.0052	3.8485	3.0225	3.0699	-0.0474	-1.5667	0.0000	14.2367	46.3597	59.4038	58.4854	-0.9184	-1.5703	302.9669	299.8878	-3.0791	-1.0268	230.3496	2.0709	343.2644	0.7196	nan	208.7740	95.1897	31.7418	87.3635	27.7307	82.2178	64.1998	0.9794	308.7793	-8.8916	-2.9650	28.0137	19.2035	0.7937	
382.7980	379.6667	-3.1313	-0.8247	2.2992	3.2914	3.3038	-1.0046	-43.6940	0.1460	0.1461	7.3196	1.9428	3.7710	-1.8798	3.6993	2.9358	2.9829	-0.0471	-1.6036	0.0000	12.9318	46.5559	59.1804	57.5041	-1.6763	-2.9151	300.9089	287.2300	-13.6789	-4.7624	230.4064	1.9912	328.7144	0.7165	nan	209.1710	91.4140	31.8267	87.3798	27.8101	86.9455	64.9057	0.9823	298.5181	-11.2881	-3.9300	27.4914	18.1026	0.7832	
378.3299	380.2500	1.9201	0.5050	2.1993	3.2184	3.2083	-1.0091	-45.8820	0.1440	0.1444	6.6208	1.7852	3.7118	-1.9230	3.5974	2.8423	2.8892	-0.0469	-1.6484	0.0000	12.0437	46.1660	58.4347	56.3245	-2.1102	-3.7466	289.2496	273.0500	-16.1996	-5.9328	230.4780	1.9019	312.5725	0.7131	nan	209.6270	87.5733	32.0725	87.3557	28.0171	90.6153	65.4628	0.9847	285.5278	-12.4778	-4.5698	26.8689	16.9300	0.7738	
382.4200	379.8750	-2.5450	-0.6700	2.0996	3.0549	3.0588	-0.9592	-45.6852	0.1413	0.1409	5.6943	1.5782	3.6075	-1.7899	3.4551	2.7413	2.7788	-0.0375	-1.3685	0.0000	10.9692	44.2282	55.8113	54.9571	-0.8542	-1.5543	265.3467	257.5213	-7.8255	-3.0388	230.5482	1.8047	295.0525	0.7091	nan	210.1892	83.5240	32.4338	87.2798	28.3082	93.4584	65.8991	0.9869	266.8990	-9.3778	-3.6415	26.1465	15.7961	0.7659	
380.2995	381.8750	1.5755	0.4126	1.9996	2.9232	2.9110	-0.9113	-45.5756	0.1377	0.1383	4.8168	1.3671	3.5252	-1.7608	3.3401	2.6334	2.6788	-0.0454	-1.7245	0.0000	10.3479	43.5775	54.8574	53.4345	-1.4229	-2.6629	251.6202	240.9925	-10.6277	-4.4100	230.6460	1.7005	276.4038	0.7047	nan	210.7419	79.9649	33.1816	87.1886	28.9306	95.3601	66.2008	0.9888	251.1133	-10.1208	-4.1996	25.3554	14.1584	0.7593	
384.7788	381.1429	-3.6360	-0.9540	1.8989	2.7364	2.7424	-0.8436	-44.4249	0.1341	0.1344	3.9898	1.1693	3.4138	-1.7828	3.1550	2.5204	2.5658	-0.0453	-1.7984	0.0000	8.9969	42.1936	52.8404	51.7934	-1.0470	-2.0215	231.8307	223.9471	-7.8836	-3.5203	230.7687	1.5924	257.2414	0.7000	nan	211.3934	75.7895	33.8426	87.0572	29.4624	96.4505	66.3972	0.9905	231.3712	-7.4240	-3.3151	24.5010	13.1582	0.7534	
384.2619	381.6250	-2.6369	-0.6910	1.7993	2.5694	2.5965	-0.7973	-44.3125	0.1312	0.1310	3.5485	1.0730	3.3063	-1.6776	3.0138	2.4010	2.4471	-0.0461	-1.9219	0.0000	8.0807	40.7025	50.8239	49.9988	-0.8252	-1.6504	214.8733	206.2550	-8.6183	-4.1785	230.8091	1.4809	237.4112	0.6946	nan	212.0035	71.9047	34.8620	86.8767	30.2870	96.8272	66.4552	0.9920	215.0694	-8.8144	-4.2735	23.5839	11.7024	0.7494	
380.8129	381.2000	0.3871	0.1016	1.6983	2.4074	2.3728	-0.6745	-39.7162	0.1275	0.1278	2.9600	0.9547	3.1025	-1.5645	2.8698	2.2740	2.3224	-0.0484	-2.1299	0.0000	7.2730	40.0122	49.8083	48.0970	-1.7113	-3.5581	196.6489	188.1750	-8.4739	-4.5032	230.7765	1.3664	217.1950	0.6888	nan	212.5649	67.7949	36.0275	86.6387	31.2138	96.5291	66.4142	0.9933	196.1647	-7.9897	-4.2459	22.6270	10.4639	0.7468	
383.5456	379.5556	-3.9900	-1.0512	1.5999	2.2279	2.2487	-0.6488	-40.5524	0.1239	0.1242	2.3015	0.7616	3.0225	-1.5347	2.6908	2.1444	2.1998	-0.0554	-2.5838	0.0000	6.1077	38.4313	47.6595	46.1447	-1.5149	-3.2828	181.2630	170.4678	-10.7952	-6.3327	230.7128	1.2533	197.3156	0.6824	nan	213.0706	63.5909	37.3040	86.3935	32.2282	95.7168	66.3528	0.9946	179.4141	-8.9463	-5.2481	21.6570	9.3788	0.7461	
378.7501	382.2222	3.4722	0.9084	1.4994	2.0808	2.0472	-0.5477	-36.5284	0.1205	0.1211	1.9141	0.6735	2.8344	-1.3926	2.5658	2.0140	2.0694	-0.0554	-2.7499	0.0000	5.5443	36.8134	45.5988	44.1757	-1.4231	-3.2216	162.2341	153.4478	-8.7863	-5.7259	230.6628	1.1439	178.2733	0.6757	nan	213.6379	60.0171	39.1124	86.0744	33.6658	94.3892	66.1890	0.9958	162.6380	-9.1902	-5.9892	20.6779	7.7877	0.7445	
378.4729	382.0000	3.5271	0.9233	1.3995	1.8933	1.8531	-0.4536	-32.4096	0.1168	0.1175	1.4120	0.5320	2.6457	-1.2567	2.3959	1.8772	1.9223	-0.0451	-2.4050	0.0000	4.6775	35.3715	43.7012	42.1404	-1.5608	-3.7038	144.2210	136.5762	-7.6447	-5.5974	230.5841	1.0342	159.3413	0.6681	nan	214.2985	55.9843	40.9912	85.7131	35.1348	92.6341	65.9479	0.9968	143.9024	-7.3261	-5.3641	19.6644	6.6027	0.7455	
386.7519	380.5714	-6.1805	-1.6240	1.3013	1.6811	1.6776	-0.3764	-28.9223	0.1139	0.1138	1.1908	0.4839	2.4575	-1.2338	2.2016	1.7405	1.7834	-0.0429	-2.4637	0.0000	3.5419	33.5785	41.3536	40.1119	-1.2417	-3.0956	126.3662	120.6643	-5.7019	-4.7254	230.4839	0.9297	141.5414	0.6605	nan	214.8919	51.8608	42.9800	85.2501	36.6404	90.4844	65.6648	0.9978	127.2153	-6.5511	-5.4292	18.6661	5.6253	0.7476	
385.0064	382.0000	-3.0064	-0.7870	1.1994	1.5428	1.5302	-0.3308	-27.5773	0.1112	0.1115	0.8280	0.3599	2.2922	-1.1227	2.0741	1.6063	1.6605	-0.0542	-3.3738	0.0000	3.0872	32.3301	39.7772	38.0956	-1.6817	-4.4143	112.8763	105.8543	-7.0220	-6.6337	230.4406	0.8310	124.9214	0.6523	nan	215.4341	47.9807	45.3275	84.7367	38.4090	88.1410	65.3372	0.9987	113.4252	-7.5709	-7.1522	17.6832	4.4673	0.7467	
382.1135	382.0000	-0.1135	-0.0297	1.1005	1.4106	1.3922	-0.2917	-26.5067	0.1087	0.1090	0.4418	0.2064	2.1320	-1.0286	1.9134	1.4837	1.5384	-0.0547	-3.6845	0.0000	2.4360	31.0309	38.1229	36.2132	-1.9096	-5.2733	100.0227	93.0025	-7.0202	-7.5484	230.5577	0.7439	110.5325	0.6445	nan	216.1595	44.0231	47.3361	84.1404	39.8287	85.6453	64.9933	0.9993	99.9078	-6.9053	-7.4249	16.7531	3.7779	0.7417	
385.0009	382.1111	-2.8898	-0.7563	0.9998	1.2581	1.2512	-0.2514	-25.1480	0.1066	0.1065	0.3224	0.1643	1.9570	-0.9004	1.7473	1.3637	1.4125	-0.0488	-3.5769	0.0000	1.4714	29.2756	35.9012	34.3394	-1.5618	-4.5481	86.3212	81.0800	-5.2412	-6.4643	230.7468	0.6615	97.1078	0.6362	nan	216.9971	40.0056	49.3411	83.4948	41.1972	82.8752	64.6578	0.9996	87.4591	-6.3791	-7.8676	15.8249	3.2329	0.7331	
381.5806	381.6667	0.0861	0.0226	0.8996	1.1522	1.1285	-0.2290	-25.4552	0.1046	0.1048	0.0948	0.0525	1.7921	-0.8491	1.6019	1.2419	1.2940	-0.0522	-4.2008	0.0000	0.8875	28.0198	34.3354	32.4318	-1.9036	-5.8695	75.4212	69.6878	-5.7335	-8.2274	230.8348	0.5823	84.3244	0.6273	nan	217.7377	35.9534	51.5925	82.6423	42.6372	80.1324	64.3347	0.9990	76.5160	-6.8282	-9.7983	14.8949	2.6334	0.7244	
384.3476	381.2500	-3.0976	-0.8125	0.8001	1.0018	0.9941	-0.1940	-24.2455	0.1024	0.1026	-0.0997	-0.0636	1.6119	-0.8295	1.4527	1.1159	1.1643	-0.0485	-4.3435	0.0000	0.4386	26.7739	32.7960	30.5290	-2.2670	-7.4257	64.7358	58.8075	-5.9283	-10.0809	230.8639	0.5056	72.0650	0.6174	nan	218.5091	31.9445	54.3205	81.6034	44.3274	77.3320	64.0059	0.9967	65.4131	-6.6056	-11.2325	13.9715	1.9857	0.7171	
382.9148	379.8571	-3.0577	-0.8049	0.6993	0.8916	0.8814	-0.1821	-26.0453	0.1009	0.1011	-0.2376	-0.1637	1.4603	-0.7680	1.2761	0.9975	1.0497	-0.0522	-5.2305	0.0000	-0.2104	25.3353	31.0321	28.7247	-2.3074	-8.0328	55.5952	49.2271	-6.3680	-12.9360	230.8747	0.4369	61.2257	0.6070	nan	219.2173	27.8166	56.5065	80.4027	45.4328	74.6036	63.6858	0.9919	55.7374	-6.5103	-13.2250	13.1033	1.7110	0.7010	
380.9838	381.8889	0.9051	0.2370	0.6002	0.7674	0.7464	-0.1461	-24.3482	0.0989	0.0992	-0.3290	-0.2634	1.2537	-0.7036	1.0912	0.8816	0.9242	-0.0426	-4.8363	0.0000	-0.8583	23.7991	29.1670	26.9653	-2.2016	-8.1647	45.1206	40.4611	-4.6595	-11.5159	230.8522	0.3729	51.3433	0.5965	nan	219.9576	24.0037	59.3271	78.8046	46.7524	71.8135	63.3395	0.9827	45.5169	-5.0558	-12.4955	12.2594	1.2150	0.6809	
382.7510	382.2222	-0.5288	-0.1383	0.5007	0.6482	0.6342	-0.1335	-26.6698	0.0977	0.0977	-0.2801	-0.2585	1.0873	-0.6099	0.9552	0.7627	0.8174	-0.0547	-7.1748	0.0000	-1.1842	22.4949	27.5897	25.2452	-2.3445	-9.2869	37.1768	32.2489	-4.9279	-15.2809	230.7792	0.3116	41.9889	0.5838	nan	220.5792	20.0398	62.1445	76.8028	47.7284	69.0871	63.0254	0.9670	37.5275	-5.2786	-16.3684	11.4450	0.9060	0.6565	
384.4650	381.5556	-2.9094	-0.7625	0.4022	0.5261	0.5295	-0.1273	-31.6479	0.0964	0.0963	-0.2985	-0.3265	0.9149	-0.5672	0.8062	0.6435	0.7023	-0.0588	-9.1401	0.0000	-1.5226	21.1401	25.9610	23.6086	-2.3524	-9.9642	29.7885	24.7622	-5.0263	-20.2981	230.6712	0.2545	33.4322	0.5695	nan	221.1652	16.0715	64.9038	74.0667	48.0719	66.6552	62.7328	0.9411	30.0791	-5.3169	-21.4719	10.6747	0.7118	0.6251	
383.0776	383.2500	0.1724	0.0450	0.3047	0.4080	0.4047	-0.1000	-32.8130	0.0950	0.0950	-0.2606	-0.3667	0.7109	-0.5137	0.6261	0.5082	0.5739	-0.0657	-12.9303	0.0000	-1.6410	19.7345	24.2534	22.0679	-2.1856	-9.9038	21.9820	17.5288	-4.4533	-25.4054	230.5866	0.1973	25.1125	0.5520	nan	221.9582	12.2307	69.7746	69.7968	48.7005	64.2151	62.4357	0.9024	21.9324	-4.4036	-25.1223	9.9424	0.3641	0.5997	
381.9143	383.0000	1.0857	0.2835	0.2183	0.2993	0.2911	-0.0728	-33.3485	0.0943	0.0943	-0.1643	-0.3128	0.5136	-0.3642	0.4435	0.3408	0.4300	-0.0892	-26.1788	0.0000	-1.4747	18.2680	22.4477	21.0350	-1.4127	-6.7161	14.8191	11.0800	-3.7391	-33.7461	230.5260	0.1435	17.5657	0.5307	nan	222.8014	8.7549	79.1574	63.0493	49.8902	62.0674	62.1492	0.8924	14.6993	-3.6193	-32.6648	9.4412	0.1226	0.6405	



Step N. = 	1
Target Speed = 	508

