Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7505	0.0000	-0.0140	0.0143	0.0000	0.3640	-0.0400	230.9050	0.0000	1.3300	48.4224	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4871	0.0000	-0.0140	0.0143	0.0000	0.3640	-0.0400	230.9000	0.0000	1.3300	48.4061	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.2261	0.0000	-0.0140	0.0143	0.0000	0.3640	-0.0400	230.8870	0.0000	1.3200	48.4092	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.2299	0.0000	-0.0150	0.0143	0.0000	0.3640	-0.0400	230.8700	0.0000	1.3200	48.3472	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.9664	0.0000	-0.0150	0.0143	0.0000	0.3640	-0.0400	230.8620	0.0000	1.3200	48.3273	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.7199	0.0000	-0.0140	0.0144	0.0000	0.3640	-0.0400	230.8430	0.0000	1.3200	48.2978	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.9471	0.0000	-0.0140	0.0144	0.0000	0.3640	-0.0400	230.8430	0.0000	1.3200	48.2978	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.2377	0.0000	25.0000	0.0000	0.0051	40.0000
5.4600	0.0000	-0.0140	0.0144	0.0000	0.3640	-0.0400	230.8330	0.0000	1.3200	48.2621	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.2553	0.0000	25.0000	0.0000	0.0053	40.0000
5.5521	0.0000	-0.0140	0.0144	0.0000	0.3640	-0.0400	230.8330	0.0000	1.3200	48.2621	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.2553	0.0000	25.0000	0.0000	0.0053	40.0000
6.1486	0.0000	-0.0140	0.0144	0.0000	0.3640	-0.0400	230.8150	0.0000	1.3200	48.2837	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.2458	0.0000	25.0000	0.0000	0.0052	40.0000
6.2273	0.0000	-0.0140	0.0144	0.0000	0.3640	-0.0400	230.8150	0.0000	1.3200	48.2837	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.2458	0.0000	25.0000	0.0000	0.0052	40.0000
6.7507	0.0000	-0.0140	0.0143	0.0000	0.3640	-0.0400	230.8050	0.0000	1.3200	48.2735	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1809	0.0000	25.0000	0.0000	0.0054	40.0000
6.9575	0.0000	-0.0140	0.0143	0.0000	0.3640	-0.0400	230.8050	0.0000	1.3200	48.2735	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1809	0.0000	25.0000	0.0000	0.0054	40.0000
7.3422	0.0000	-0.0150	0.0144	0.0000	0.3640	-0.0400	230.7960	0.0000	1.3100	48.2353	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1945	0.0000	25.0000	0.0000	0.0053	40.0000
7.7085	0.0000	-0.0150	0.0144	0.0000	0.3640	-0.0400	230.7960	0.0000	1.3100	48.2353	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1593	0.0000	25.0000	0.0000	0.0055	40.0000
7.9328	0.0000	-0.0150	0.0144	0.0000	0.3640	-0.0400	230.7960	0.0000	1.3100	48.2353	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1593	0.0000	25.0000	0.0000	0.0055	40.0000
8.4489	0.0000	-0.0140	0.0144	0.0000	0.3630	-0.0400	230.7770	0.0000	1.3000	48.2179	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1227	0.0000	25.0000	0.0000	0.0054	40.0000
8.5244	0.0000	-0.0140	0.0144	0.0000	0.3630	-0.0400	230.7770	0.0000	1.3000	48.2179	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1227	0.0000	25.0000	0.0000	0.0054	40.0000
9.1237	0.0000	-0.0140	0.0144	0.0000	0.3630	-0.0400	230.7690	0.0000	1.3100	48.1794	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1444	0.0000	25.0000	0.0000	0.0051	40.0000
9.1837	0.0000	-0.0140	0.0144	0.0000	0.3630	-0.0400	230.7690	0.0000	1.3100	48.1794	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1444	0.0000	25.0000	0.0000	0.0051	40.0000
9.7119	0.0000	-0.0140	0.0143	0.0000	0.3640	-0.0400	230.7520	0.0000	1.3100	48.1660	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1052	0.0000	25.0000	0.0000	0.0055	40.0000
9.9167	0.0000	-0.0140	0.0143	0.0000	0.3640	-0.0400	230.7520	0.0000	1.3100	48.1660	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1052	0.0000	25.0000	0.0000	0.0055	40.0000
10.3033	0.0000	-0.0140	0.0144	0.0000	0.3630	-0.0400	230.7460	0.0000	1.3000	48.1689	NOT CONNECTED	654.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1011	0.0000	25.0000	0.0000	0.0053	40.0000
10.6576	0.0000	-0.0140	0.0144	0.0000	0.3630	-0.0400	230.7460	0.0000	1.3000	48.1689	NOT CONNECTED	1000.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0754	0.0000	25.0000	0.0000	0.0055	40.0000
10.9171	0.0000	-0.0140	0.0144	0.0000	0.3630	-0.0400	230.7460	0.0000	1.3000	48.1689	NOT CONNECTED	1000.0000	458.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0754	0.0000	25.0000	0.0000	0.0055	40.0000
11.3973	0.0000	-0.0140	0.0144	0.0000	0.3640	-0.0400	230.7310	0.0000	1.3100	48.1600	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0673	0.0000	25.0000	0.0000	0.0054	40.0000
11.5133	0.0000	-0.0140	0.0144	0.0000	0.3640	-0.0400	230.7310	0.0000	1.3100	48.1600	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0673	0.0000	25.0000	0.0000	0.0054	40.0000
12.1108	0.0000	-0.3310	0.2753	0.0000	2.4500	1.5000	230.7200	0.0534	3.6900	48.1399	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0497	0.0000	25.0000	0.0000	0.0056	40.0000
12.1366	0.0000	-0.3310	0.2753	0.0000	2.4500	1.5000	230.7200	0.0534	3.6900	48.1399	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0497	0.0000	25.0000	0.0000	0.0056	40.0000
12.7113	0.0000	-0.3860	1.9934	0.0000	18.7500	84.8500	230.6370	0.7221	112.3800	48.1363	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0402	0.0000	25.0000	0.0000	0.0054	40.0000
12.8758	0.0000	-0.3860	1.9934	0.0000	18.7500	84.8500	230.6370	0.7221	112.3800	48.1363	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0402	0.0000	25.0000	0.0000	0.0054	40.0000
13.3223	0.0000	-0.2170	2.0175	0.0000	19.0270	87.1400	230.6420	0.7459	116.2100	48.1794	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0416	0.0000	25.0000	0.0000	0.0054	40.0000
13.6159	0.0000	-0.2170	2.0175	0.0000	19.0270	87.1400	230.6420	0.7459	116.2100	48.1794	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0416	0.0000	25.0000	0.0000	0.0054	40.0000
13.9236	0.0000	-0.2170	2.0175	0.0000	19.0270	87.1400	230.6420	0.7459	116.2100	48.1794	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0050	0.0000	25.0000	0.0000	0.0056	40.0000
14.3546	0.0000	-0.5140	0.6341	0.0000	6.9690	10.2200	230.6810	0.1532	19.2500	48.2339	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0008	0.0000	0.0931	0.0000	0.0763	0.0023	0.0000	0.0000	0.9450	0.0000	320.9983	-0.0001	25.0000	0.0000	0.0051	40.0000
14.5125	0.0000	-0.5140	0.6341	0.0000	6.9690	10.2200	230.6810	0.1532	19.2500	48.2339	NOT CONNECTED	1000.0000	450.0000	0.0000	0.0000	0.0008	0.0000	0.0931	0.0000	0.0763	0.0023	0.0000	0.0000	0.9450	0.0000	320.9983	-0.0001	25.0000	0.0000	0.0051	40.0000
15.0937	435.0000	-0.0990	0.9637	0.0000	17.0310	23.4800	230.6510	0.2733	36.6600	48.2612	NOT CONNECTED	1000.0000	450.0000	0.0000	-0.3782	-0.0059	0.0000	0.1880	0.0000	2.0269	-0.0057	2.0430	-0.0117	14.6650	0.0000	305.8915	44.7256	25.0088	2.0229	1.2577	40.0010
15.6680	758.0000	-0.1110	0.1709	0.0000	31.6940	8.9600	230.6530	0.1211	14.6400	48.3065	NOT CONNECTED	1000.0000	450.0000	0.0000	-0.1122	-0.0150	0.0000	0.2203	0.0000	3.0142	-0.0125	3.0383	-0.0186	20.9999	0.0000	296.7218	95.3281	25.2393	3.0103	1.5849	40.0010
15.8325	758.0000	-0.1110	0.1709	0.0000	31.6940	8.9600	230.6530	0.1211	14.6400	48.3065	NOT CONNECTED	1000.0000	450.0000	0.0000	-0.1122	-0.0150	0.0000	0.2203	0.0000	3.0142	-0.0125	3.0383	-0.0186	20.9999	0.0000	296.7218	95.3281	25.2393	3.0103	1.5849	40.0010
16.5615	1013.0000	-0.0530	0.1746	0.0000	42.5680	12.5700	230.6420	0.1502	18.7100	48.3166	NOT CONNECTED	1000.0000	450.0000	0.0000	-0.0504	-0.0108	0.0000	0.1581	0.0000	0.9672	-0.0119	0.9833	-0.0093	8.2249	0.0000	314.8335	12.0289	26.0621	0.9713	0.6911	40.3224
16.8323	1013.0000	-0.0530	0.1746	0.0000	42.5680	12.5700	230.6420	0.1502	18.7100	48.3166	NOT CONNECTED	1000.0000	450.0000	0.0000	-0.0504	-0.0108	0.0000	0.1581	0.0000	0.9672	-0.0119	0.9833	-0.0093	8.2249	0.0000	314.8335	12.0289	26.0621	0.9713	0.6911	40.3224
