WindyBPMp50_OrcaH34_Dyno_Speed_Torque__230Vac_Yongchang_Y110_20250307_132854
Report created on: 2025/03/07: 15:27:30


Step N. = 	0
Target Speed = 	381

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
372.2980	379.6250	7.3270	1.9301	2.7989	3.2901	3.1747	-0.3758	-13.4272	0.1441	0.1456	10.7892	2.9523	3.6585	-2.3151	4.2453	3.3946	3.4113	-0.0166	-0.4905	0.0000	19.1679	47.9715	63.2766	61.8991	-1.3775	-2.2253	347.9434	349.1037	1.1603	0.3324	230.4816	2.3821	403.1750	0.7343	nan	205.8319	111.2672	31.8734	86.5883	27.5984	50.6644	66.3909	0.9592	354.2263	-5.1225	-1.4673	30.0726	28.0318	0.8245	
384.7865	379.8889	-4.8976	-1.2892	2.7016	3.3721	3.3821	-0.6805	-25.1896	0.1476	0.1472	11.1287	2.9067	3.8294	-2.4325	4.2456	3.3092	3.3948	-0.0856	-2.5879	0.0000	19.3709	48.4006	63.8571	61.8864	-1.9706	-3.1843	362.5233	342.4733	-20.0499	-5.8544	230.4813	2.3360	393.2144	0.7303	nan	206.8492	107.4729	31.3821	87.0957	27.3323	59.3761	70.9366	0.9655	361.2367	-18.7634	-5.4788	29.9186	29.2806	0.8164	
378.9092	378.8889	-0.0203	-0.0054	2.6009	3.4677	3.4281	-0.8272	-31.8062	0.1484	0.1491	9.8006	2.5478	3.8418	-2.2521	4.1428	3.2340	3.3104	-0.0764	-2.3629	0.0000	17.9543	48.5991	63.4834	61.7212	-1.7621	-2.8550	348.7059	335.7333	-12.9725	-3.8639	230.4562	2.2909	384.2044	0.7277	nan	207.5171	103.1957	30.7375	87.3839	26.8596	67.7877	73.1450	0.9711	351.3341	-15.6007	-4.6468	29.7427	30.2089	0.8042	
378.4696	379.8571	1.3875	0.3653	2.4999	3.5240	3.5451	-1.0453	-41.8130	0.1497	0.1505	9.5780	2.4147	3.9619	-2.1135	4.0712	3.1583	3.2496	-0.0913	-2.8901	0.0000	16.9020	49.1467	63.6560	61.2400	-2.4160	-3.9452	353.4547	326.6971	-26.7575	-8.1903	230.3516	2.2336	373.2257	0.7254	nan	207.7782	99.4406	30.4382	87.5334	26.6436	74.6596	74.4186	0.9752	347.8605	-21.1633	-6.4780	29.4737	29.7277	0.7915	
384.0214	379.3000	-4.7214	-1.2448	2.3994	3.4601	3.4652	-1.0658	-44.4176	0.1494	0.1496	8.5220	2.2063	3.8680	-1.9289	4.0017	3.0847	3.1601	-0.0754	-2.4427	0.0000	16.2083	48.7494	62.9230	60.6776	-2.2454	-3.7006	336.5504	317.3640	-19.1864	-6.0456	230.3447	2.1747	362.2130	0.7231	nan	208.1634	95.3047	30.0308	87.6180	26.3123	81.0852	75.4072	0.9789	332.7766	-15.4126	-4.8564	29.1490	29.5631	0.7778	
379.4036	379.7500	0.3464	0.0912	2.2975	3.4411	3.3876	-1.0901	-47.4481	0.1491	0.1487	7.8798	2.0814	3.7834	-2.1261	3.8480	3.0062	3.0763	-0.0701	-2.3305	0.0000	14.3839	48.3848	61.8270	59.8270	-2.0000	-3.3430	319.8089	305.9175	-13.8914	-4.5409	230.4862	2.1021	348.9900	0.7203	nan	208.6100	91.3654	29.8664	87.6579	26.1802	86.5806	76.2880	0.9820	321.1014	-15.1839	-4.9634	28.6788	28.4263	0.7642	
375.5831	379.9000	4.3169	1.1363	2.2002	3.3805	3.3304	-1.1302	-51.3666	0.1470	0.1476	6.9372	1.8383	3.7721	-1.9055	3.7218	2.9157	2.9907	-0.0750	-2.5738	0.0000	13.2698	47.6558	60.5958	58.8314	-1.7644	-2.9991	306.3300	292.4650	-13.8650	-4.7407	230.6398	2.0174	333.6340	0.7170	nan	209.1575	87.5308	29.9288	87.6604	26.2357	90.9796	76.9556	0.9844	308.2420	-15.7770	-5.3945	28.1278	27.3666	0.7546	
386.2038	382.1111	-4.0927	-1.0711	2.1012	3.2086	3.2324	-1.1311	-53.8321	0.1450	0.1443	6.5815	1.7708	3.7191	-1.9381	3.5995	2.8212	2.8923	-0.0711	-2.5205	0.0000	12.3763	46.4053	58.8323	57.5198	-1.3125	-2.2818	291.8118	277.3089	-14.5029	-5.2299	230.7437	1.9223	316.4900	0.7135	nan	209.7320	84.0801	30.3207	87.6201	26.5670	94.5860	77.5184	0.9866	292.6821	-15.3732	-5.5437	27.4254	25.0716	0.7448	
381.4382	382.2222	0.7840	0.2051	1.9994	3.1035	3.1079	-1.1084	-55.4377	0.1413	0.1419	5.2103	1.4203	3.6680	-1.8673	3.4335	2.7175	2.7870	-0.0695	-2.5591	0.0000	10.9600	45.7906	57.6678	56.0272	-1.6406	-2.9282	275.3950	260.6711	-14.7239	-5.6484	230.7791	1.8188	297.7744	0.7094	nan	210.2418	80.0300	30.7014	87.5398	26.8760	97.2344	77.9232	0.9885	275.5336	-14.8625	-5.7016	26.6490	23.3259	0.7358	
387.6579	382.2222	-5.4357	-1.4221	1.9004	2.9162	2.9285	-1.0281	-54.0963	0.1384	0.1382	4.6475	1.3176	3.5273	-1.8930	3.2766	2.6081	2.6929	-0.0847	-3.2491	0.0000	9.7131	44.7870	56.1296	54.3423	-1.7873	-3.2889	256.2187	243.0844	-13.1342	-5.4032	230.7854	1.7093	278.0544	0.7049	nan	210.7567	76.0676	31.2927	87.4233	27.3571	99.1218	78.1884	0.9902	257.4075	-14.3231	-5.8922	25.7844	21.2500	0.7287	
