Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp
0.7402	0.0000	-0.0410	0.0148	0.0000	0.6810	-0.0400	230.6500	0.0000	1.2900	61.9457	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4741	0.0000	-0.0440	0.0148	0.0000	0.6810	-0.0400	230.7090	0.0000	1.2800	61.8974	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.5791	0.0000	-0.0440	0.0148	0.0000	0.6810	-0.0400	230.7090	0.0000	1.2800	61.8974	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2223	-0.1163	-1.2260	-0.0670	0.0000	0.0000	321.2662	0.0000	82.7815	1.2279	0.0053	62.3766
2.1848	0.0000	-0.0410	0.0148	0.0000	0.6820	-0.0400	230.7390	0.0000	1.3200	61.8545	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2223	-0.1163	-1.2260	-0.0670	0.0000	0.0000	321.2756	0.0000	82.7349	1.2279	0.0055	62.3550
2.2126	0.0000	-0.0410	0.0148	0.0000	0.6820	-0.0400	230.7390	0.0000	1.3200	61.8545	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2223	-0.1163	-1.2260	-0.0670	0.0000	0.0000	321.2756	0.0000	82.7349	1.2279	0.0055	62.3550
2.7904	0.0000	-0.0410	0.0148	0.0000	0.6810	-0.0400	230.7970	0.0000	1.3100	61.8094	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2223	-0.1163	-1.2260	-0.0670	0.0000	0.0000	321.3338	0.0000	82.6932	1.2279	0.0053	62.3335
2.9501	0.0000	-0.0410	0.0148	0.0000	0.6810	-0.0400	230.7970	0.0000	1.3100	61.8094	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2223	-0.1163	-1.2260	-0.0670	0.0000	0.0000	321.3338	0.0000	82.6932	1.2279	0.0053	62.3335
3.3948	0.0000	-0.0410	0.0148	0.0000	0.6810	-0.0400	230.8270	0.0000	1.3300	61.7909	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2223	-0.1163	-1.2260	-0.0670	0.0000	0.0000	321.3554	0.0000	82.6544	1.2279	0.0054	62.3335
3.7033	0.0000	-0.0410	0.0148	0.0000	0.6810	-0.0400	230.8270	0.0000	1.3300	61.7909	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2223	-0.1163	-1.2260	-0.0670	0.0000	0.0000	321.4312	0.0000	82.6165	1.2279	0.0053	62.3120
4.0009	0.0000	-0.0410	0.0148	0.0000	0.6810	-0.0400	230.8270	0.0000	1.3300	61.7909	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2223	-0.1163	-1.2260	-0.0670	0.0000	0.0000	321.4312	0.0000	82.6165	1.2279	0.0053	62.3120
