Time	speed	torque	motor_current	motor_voltage	motor_power	line_voltage	line_current	line_power	Bridge	PFC	IGBT2	Temp_Ext	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	My_Measured_Temp
0.5237	0.0000	0.0130	0.0000	0.0000	-0.0100	230.9350	0.0000	2.1600	0.0000	0.0000	0.0000	0.0000	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.0350	0.0000	0.0130	0.0000	0.0000	-0.0100	230.9400	0.0000	2.1700	39.4948	37.7863	55.1590	24.0019	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.5535	0.0000	0.0120	0.0000	0.0000	-0.0100	230.9450	0.0000	2.1700	39.4948	37.7863	55.1590	24.0019	0.0000	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.6971	0.0000	0.0120	0.0000	0.0000	-0.0100	230.9450	0.0000	2.1700	39.4948	37.7863	55.1590	24.0019	0.0000	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.8425	0.0000	25.0000	0.0000	0.0053	40.0000	30.0000
2.2852	0.0000	0.0130	0.0000	0.0000	-0.0100	230.9480	0.0000	2.1600	39.4920	37.7560	55.1212	24.0686	0.0000	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.8222	0.0000	25.0000	0.0000	0.0058	40.0000	30.0000
2.3151	0.0000	0.0130	0.0000	0.0000	-0.0100	230.9480	0.0000	2.1600	39.4920	37.7560	55.1212	24.0686	0.0000	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.8222	0.0000	25.0000	0.0000	0.0058	40.0000	30.0000
2.8264	0.0000	0.0130	0.0000	0.0000	-0.0100	230.9490	0.0000	2.1700	39.4538	37.7518	55.0604	24.1452	0.0000	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.8750	0.0000	25.0000	0.0000	0.0058	40.0000	30.0000
2.9375	0.0000	0.0130	0.0000	0.0000	-0.0100	230.9490	0.0000	2.1700	39.4538	37.7518	55.0604	24.1452	0.0000	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.8750	0.0000	25.0000	0.0000	0.0058	40.0000	30.0000
3.3476	0.0000	0.0130	0.0000	0.0000	-0.0100	230.9490	0.0000	2.1600	39.4361	37.7625	55.0143	24.1768	0.0000	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.9034	0.0000	25.0000	0.0000	0.0055	40.0000	30.0000
3.5424	0.0000	0.0130	0.0000	0.0000	-0.0100	230.9490	0.0000	2.1600	39.4361	37.7625	55.0143	24.1768	0.0000	635.0000	445.0000	0.0000	0.0000	0.0000	0.0000	0.0672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.9034	0.0000	25.0000	0.0000	0.0055	40.0000	30.0000
